
[00:00:00.000 --> 00:00:02.940]  各位弟兄姊妹 大家 主內平安
[00:00:02.940 --> 00:00:07.020]  感恩我們又在逐日的時候 一同相聚
[00:00:07.020 --> 00:00:10.020]  那麼 今天我們的講道系列呢 來到了
[00:00:10.020 --> 00:00:12.280]  鐵撒羅尼加的後書
[00:00:12.280 --> 00:00:15.580]  講道的題目呢 我比較少啊 平時
[00:00:15.580 --> 00:00:16.700]  很少用
[00:00:16.700 --> 00:00:19.820]  訪問的形式來作為題目
[00:00:19.820 --> 00:00:24.060]  但是否配得 配上今天的經文呢
[00:00:24.060 --> 00:00:27.420]  更讓我們可以更好的解析
[00:00:27.420 --> 00:00:30.440]  和領受 今天這段經文
[00:00:30.440 --> 00:00:31.880]  對我們的提醒
[00:00:31.880 --> 00:00:35.400]  我們在看這段經文 第一到第二節
[00:00:35.400 --> 00:00:38.400]  的時候 我們就可以看到 同樣也是
[00:00:38.400 --> 00:00:41.080]  保羅希拉提莫泰
[00:00:41.080 --> 00:00:44.000]  一個的團隊 寫信
[00:00:44.000 --> 00:00:47.240]  給了鐵撒羅尼加 這樣的一個教會
[00:00:47.240 --> 00:00:50.920]  在聖經的經卷分類的來說呢
[00:00:50.920 --> 00:00:52.100]  這同樣和
[00:00:52.100 --> 00:00:55.480]  鐵撒羅尼加的前書呢 同樣算作是一篇
[00:00:55.480 --> 00:00:58.140]  教會的書信
[00:00:58.140 --> 00:01:01.340]  那麼 盼望上帝當年
[00:01:01.340 --> 00:01:03.600]  透過保羅的團隊
[00:01:03.600 --> 00:01:07.080]  要和鐵撒羅尼加教會的話語
[00:01:07.080 --> 00:01:10.280]  今天 也透過我們的
[00:01:10.280 --> 00:01:13.440]  崇拜 同樣對我們來說話
[00:01:13.440 --> 00:01:17.100]  在經文的一開始 保羅就
[00:01:17.100 --> 00:01:20.100]  問他們的安 向他們問好
[00:01:20.100 --> 00:01:22.820]  同樣 也是我們每次聚集的時候
[00:01:22.820 --> 00:01:25.320]  我們向神傾心吐憶
[00:01:25.440 --> 00:01:28.440]  我們的心就向神所敞開
[00:01:28.440 --> 00:01:30.680]  我們一起先來禱告
[00:01:30.680 --> 00:01:34.740]  天父 我們感謝你
[00:01:34.740 --> 00:01:36.880]  是你的恩典
[00:01:36.880 --> 00:01:39.380]  讓我們可以站立得住
[00:01:39.380 --> 00:01:42.260]  是主 我們的福分
[00:01:42.260 --> 00:01:46.060]  你讓我們今天可以聚在你的殿中
[00:01:46.060 --> 00:01:48.900]  一同來思想 是否
[00:01:48.900 --> 00:01:50.820]  配得這樣一個的主題
[00:01:50.820 --> 00:01:54.520]  求主 你讓我們可以打開我們的心扉
[00:01:54.580 --> 00:01:57.560]  將你的話語 充充滿滿的澆灌在我們的
[00:01:57.560 --> 00:01:58.560]  心田裡面
[00:01:58.560 --> 00:02:01.560]  以至於我們聽到 行到
[00:02:01.560 --> 00:02:03.980]  得蒙主你的陶藻
[00:02:03.980 --> 00:02:06.920]  主啊 願我口中的話語
[00:02:06.920 --> 00:02:09.120]  眾弟兄姊妹的心懷意念
[00:02:09.120 --> 00:02:11.760]  都得逢天父上帝你的願啊
[00:02:11.760 --> 00:02:14.220]  同心禱告 奉主明求
[00:02:14.220 --> 00:02:15.480]  Amen
[00:02:15.480 --> 00:02:18.880]  那麼 如果對於
[00:02:18.880 --> 00:02:21.840]  細心留意讀經的弟兄姊妹呢
[00:02:21.840 --> 00:02:25.240]  一定會察覺 今天的題目呢
[00:02:25.240 --> 00:02:27.820]  來自於今天
[00:02:27.820 --> 00:02:29.520]  經文當中的
[00:02:29.520 --> 00:02:32.540]  五節和十一節
[00:02:32.540 --> 00:02:34.140]  分別
[00:02:34.140 --> 00:02:37.420]  在保羅的書信裡面呢 是這樣對
[00:02:37.420 --> 00:02:39.900]  帖薩諾尼迦的弟兄姊妹說的
[00:02:39.900 --> 00:02:43.740]  你們可算配得上帝的國
[00:02:43.740 --> 00:02:47.060]  願你們配得過
[00:02:47.060 --> 00:02:48.320]  索蒙的詔
[00:02:49.420 --> 00:02:52.580]  那麼 配得是否配得的這樣一個
[00:02:52.580 --> 00:02:54.600]  挑戰
[00:02:54.600 --> 00:02:56.340]  一個的訪問
[00:02:56.340 --> 00:03:00.060]  對我們所有的基督的門徒
[00:03:00.060 --> 00:03:03.940]  同樣是值得去思考的一個主題
[00:03:03.940 --> 00:03:06.720]  有一幅漫畫很特別
[00:03:06.720 --> 00:03:09.780]  我們相信所有弟兄姊妹啊
[00:03:09.780 --> 00:03:11.780]  特別是上了啟發課程
[00:03:11.780 --> 00:03:14.900]  蒙文靈禧的弟兄姊妹一定會知道
[00:03:14.900 --> 00:03:18.080]  什麼叫做 因信成義
[00:03:18.080 --> 00:03:21.080]  信了 我們就可被稱為
[00:03:21.080 --> 00:03:22.080]  算作義了
[00:03:22.080 --> 00:03:25.820]  但是在我們所有的行為表徵的
[00:03:25.820 --> 00:03:26.820]  背後
[00:03:26.820 --> 00:03:29.780]  我們各樣的行為 卻會
[00:03:29.780 --> 00:03:32.660]  體現出來 我們到底
[00:03:32.660 --> 00:03:33.660]  信得如何
[00:03:33.660 --> 00:03:35.640]  信得是什麼
[00:03:35.640 --> 00:03:39.260]  有一幅漫畫是這樣來體現的
[00:03:39.260 --> 00:03:43.060]  他說了 今生他做了一個比喻啊
[00:03:43.060 --> 00:03:45.660]  只是一個試用期
[00:03:46.180 --> 00:03:49.020]  我們如何使用主人所
[00:03:49.020 --> 00:03:50.760]  分發給我們的資源
[00:03:50.760 --> 00:03:53.860]  將顯出我們是否配得
[00:03:53.860 --> 00:03:56.900]  我們以後 他為我們所
[00:03:56.900 --> 00:03:59.040]  預備的永恆的福樂
[00:03:59.040 --> 00:04:03.600]  神給你眾多的祝福
[00:04:03.600 --> 00:04:05.520]  你吃得白白胖胖
[00:04:05.520 --> 00:04:09.480]  卻忘了自己是神的門徒
[00:04:09.480 --> 00:04:12.480]  恩典的管道 卻要
[00:04:12.480 --> 00:04:13.980]  用這些資源
[00:04:14.380 --> 00:04:17.520]  配得上上帝各樣的託付
[00:04:17.520 --> 00:04:21.100]  就好像當時保羅寫給
[00:04:21.100 --> 00:04:24.160]  帖薩諾尼迦弟兄姊妹的這封書信一樣
[00:04:24.160 --> 00:04:27.120]  他們也面對各樣的挑戰
[00:04:27.120 --> 00:04:28.480]  和壓力
[00:04:28.480 --> 00:04:32.380]  在當時的一個帖薩諾尼迦呢
[00:04:32.380 --> 00:04:35.380]  他們是在羅馬統治下
[00:04:35.380 --> 00:04:38.240]  馬其頓省的一個首府
[00:04:38.240 --> 00:04:41.120]  他呢 屬於一個 大家看地圖
[00:04:41.120 --> 00:04:43.380]  在這裡 屬於一個
[00:04:43.380 --> 00:04:45.440]  港口型的一個城市
[00:04:45.440 --> 00:04:47.300]  在信仰當中呢
[00:04:47.300 --> 00:04:50.560]  他受到了當時
[00:04:50.560 --> 00:04:54.020]  羅馬管治政府下的逼迫
[00:04:54.020 --> 00:04:57.480]  甚至呢 還會有一些的誤導
[00:04:57.480 --> 00:05:00.580]  耶穌什麼時候會再來呀
[00:05:00.580 --> 00:05:03.400]  所以呢 保羅也就會特別的寫
[00:05:03.400 --> 00:05:05.480]  帖薩諾尼迦的後書
