
[00:00:00.000 --> 00:00:02.880]  Hello 各位Explorer
[00:00:02.880 --> 00:00:04.680]  先問你們一個問題
[00:00:04.680 --> 00:00:08.400]  當你聽到「醫治」這個字
[00:00:08.400 --> 00:00:10.680]  What comes to your mind?
[00:00:10.680 --> 00:00:13.000]  你首先不用想太多
[00:00:13.000 --> 00:00:15.560]  你想起你的貓、你的狗都可以
[00:00:15.560 --> 00:00:17.600]  當你聽到「醫治」這個字
[00:00:17.600 --> 00:00:20.240]  你會想到些什麼?
[00:00:20.240 --> 00:00:21.480]  看醫生
[00:00:21.480 --> 00:00:23.200]  這個很正路
[00:00:23.200 --> 00:00:24.280]  還有呢?
[00:00:24.280 --> 00:00:26.400]  「醫治」你會想到些什麼?
[00:00:26.400 --> 00:00:29.480]  我看到Sarah笑得很開心
[00:00:29.480 --> 00:00:32.000]  是否有些什麼想到?
[00:00:32.000 --> 00:00:33.920]  OK
[00:00:33.920 --> 00:00:35.160]  「因典」
[00:00:35.160 --> 00:00:36.280]  哦「因典」
[00:00:36.280 --> 00:00:36.800]  OK
[00:00:36.800 --> 00:00:38.120]  「醫治」你會想到「因典」
[00:00:38.120 --> 00:00:39.080]  還有呢?
[00:00:39.080 --> 00:00:41.360]  「醫治」
[00:00:41.360 --> 00:00:43.240]  有沒有人想分享?
[00:00:43.240 --> 00:00:45.600]  當你說到「醫治」
[00:00:45.600 --> 00:00:48.800]  看到Hugo笑得很開心
[00:00:48.800 --> 00:00:53.320]  一定想到些什麼
[00:00:53.320 --> 00:00:54.720]  「心」
[00:00:54.720 --> 00:00:56.200]  哦「心」
[00:00:56.200 --> 00:00:56.760]  「心」
[00:00:56.760 --> 00:00:58.560]  哦
[00:00:58.560 --> 00:00:59.680]  「醫治」你會想到「心」
[00:00:59.680 --> 00:01:00.960]  OK
[00:01:00.960 --> 00:01:02.120]  還有呢?
[00:01:02.120 --> 00:01:03.640]  我看到Gabriel不停地看著我
[00:01:03.640 --> 00:01:04.320]  是嗎?
[00:01:04.320 --> 00:01:04.800]  是嗎?
[00:01:04.800 --> 00:01:06.880]  即是可能你真的…
[00:01:06.880 --> 00:01:07.960]  好,你說吧
[00:01:07.960 --> 00:01:09.080]  「神的治癒」
[00:01:09.080 --> 00:01:11.360]  哦「治癒」就想起「神的治癒」
[00:01:11.360 --> 00:01:12.080]  哇,OK
[00:01:12.080 --> 00:01:15.920]  我們今天會看看「神的治癒」
[00:01:15.920 --> 00:01:20.120]  不過我們首先看看定義
[00:01:20.120 --> 00:01:23.720]  「醫治」的定義是些什麼?
[00:01:23.720 --> 00:01:30.720]  今天是我自己按
[00:01:30.720 --> 00:01:34.400]  對了,其實「醫治」
[00:01:34.400 --> 00:01:37.480]  透過一些治療的手段
[00:01:37.480 --> 00:01:40.600]  剛才Aunt Fiona也有說
[00:01:40.600 --> 00:01:42.120]  要有治療
[00:01:42.120 --> 00:01:43.760]  本身是在生病的
[00:01:43.760 --> 00:01:46.200]  但因為你透過吃了藥物
[00:01:46.200 --> 00:01:48.000]  或者去做一些手術
[00:01:48.000 --> 00:01:49.280]  你會康復
[00:01:49.280 --> 00:01:50.840]  你的身體會康復
[00:01:50.840 --> 00:01:54.600]  但「醫治」不只是表面的
[00:01:54.600 --> 00:01:56.600]  心靈上的「醫治」也可以
[00:01:56.600 --> 00:01:59.080]  剛才Issac說了「心」
[00:01:59.080 --> 00:02:00.640]  也是可以的
[00:02:00.640 --> 00:02:06.000]  可以應用在心理上的層面
[00:02:06.000 --> 00:02:08.520]  對了,剛才Gabriel也有說到
[00:02:08.520 --> 00:02:10.040]  「神的治癒」
[00:02:10.040 --> 00:02:13.240]  耶穌的「醫治」的定義是
[00:02:13.240 --> 00:02:16.240]  那個人的靈、魂、體
[00:02:16.240 --> 00:02:19.400]  能夠全人的恢復
[00:02:19.400 --> 00:02:22.760]  透過耶穌對我們的「恩恩」
[00:02:22.760 --> 00:02:24.760]  「愛」和「力量」
[00:02:24.760 --> 00:02:28.280]  讓我們能夠完全康復
[00:02:28.280 --> 00:02:30.640]  還有當我們生病的時候
