
[00:00:00.000 --> 00:00:02.000]  早晨呀各位
[00:00:02.000 --> 00:00:06.160]  今日繼續去睇呼召系列
[00:00:06.160 --> 00:00:08.460]  我地嚟到第幾次呀
[00:00:08.460 --> 00:00:09.260]  第幾講呀
[00:00:09.260 --> 00:00:10.000]  所謂
[00:00:10.000 --> 00:00:11.260]  第三次啦
[00:00:11.260 --> 00:00:14.460]  上兩次就講咗咩人物呀
[00:00:14.460 --> 00:00:17.420]  嗌出嚟聽到
[00:00:17.420 --> 00:00:18.620]  聽咩人物呀
[00:00:18.620 --> 00:00:19.420]  約斯亞
[00:00:19.420 --> 00:00:20.920]  約斯亞 嘩 非常好
[00:00:20.920 --> 00:00:21.920]  仲有呢
[00:00:21.920 --> 00:00:23.420]  第一次呢
[00:00:23.420 --> 00:00:25.620]  約斯亞之前
[00:00:25.620 --> 00:00:28.920]  好熟嘅 同約斯亞好friend嘅
[00:00:28.920 --> 00:00:30.920]  係
[00:00:30.920 --> 00:00:33.920]  係 Thank you
[00:00:33.920 --> 00:00:36.920]  係啦 咁呀 要問下大家啲問題啦
[00:00:36.920 --> 00:00:39.920]  等大家醒啲啦 即係醒咗啲
[00:00:39.920 --> 00:00:41.920]  好 咁呢就都Recap一下啦
[00:00:41.920 --> 00:00:43.920]  我哋上一次呢就講咗約斯亞嘅
[00:00:43.920 --> 00:00:45.920]  即係照明啦
[00:00:45.920 --> 00:00:47.920]  佢嘅點樣去蒙照呀
[00:00:47.920 --> 00:00:49.920]  Recap一下上一次嘅內容
[00:00:49.920 --> 00:00:52.920]  我哋話呢 從約斯亞佢嗰段嘅經歷裏面呢
[00:00:52.920 --> 00:00:55.920]  我哋睇得見呢至少有三樣嘢
[00:00:55.920 --> 00:00:58.920]  第一就係上帝能夠喺一個好困難
[00:00:58.920 --> 00:01:01.920]  看似好黑暗嘅時代呀
[00:01:01.920 --> 00:01:03.920]  去到呼召人呀
[00:01:03.920 --> 00:01:05.920]  呢個係我哋睇嘅When 係咪
[00:01:05.920 --> 00:01:08.920]  不過呢上帝嘅呼召唔係咁簡單呀
[00:01:08.920 --> 00:01:10.920]  上帝就算呼召我哋做一啲嘢
[00:01:10.920 --> 00:01:13.920]  唔代表冇挑戰㗎 認唔認同呀
[00:01:13.920 --> 00:01:16.920]  係咪 就算你覺得係上帝呢去揀選我哋
[00:01:16.920 --> 00:01:18.920]  做肌肉圖都好
[00:01:18.920 --> 00:01:20.920]  唔係真係咁容易㗎 有時候行嘅路
[00:01:20.920 --> 00:01:22.920]  都係好難行㗎
[00:01:22.920 --> 00:01:23.920]  呢個係Watts呀
[00:01:23.920 --> 00:01:26.920]  就好似昔日上帝點樣帶領約斯亞
[00:01:26.920 --> 00:01:29.920]  叫佢去帶領以色列人去入到迦南地
[00:01:29.920 --> 00:01:31.920]  入到迦南地之後
[00:01:31.920 --> 00:01:33.920]  佢哋面臨嘅係乜嘢呀
[00:01:33.920 --> 00:01:35.920]  係打一場又一場嘅仗
[00:01:35.920 --> 00:01:37.920]  然後打勝仗呀
[00:01:37.920 --> 00:01:40.920]  先能夠呢可以得著嗰個嘅地方
[00:01:40.920 --> 00:01:43.920]  而第三我哋最後就係話
[00:01:43.920 --> 00:01:46.920]  上帝嘅呼召哪怕你接受咗呢個嘅呼召
[00:01:46.920 --> 00:01:48.920]  呢個嘅所謂召命之後呀
[00:01:48.920 --> 00:01:51.920]  我哋仍然需要呢係靠上帝嘅能力
[00:01:51.920 --> 00:01:53.920]  我哋仍然需要依靠佢
[00:01:53.920 --> 00:01:55.920]  我哋先能夠fulfill
[00:01:55.920 --> 00:01:58.920]  先能夠去到承擔呢個嘅呼召呀
