
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:05.520]   - Good evening.
[00:00:05.520 --> 00:00:06.860]   How is everybody doing?
[00:00:06.860 --> 00:00:09.700]   Can you believe it?
[00:00:09.700 --> 00:00:12.900]   2022 is almost over.
[00:00:12.900 --> 00:00:14.160]   We can take a deep breath.
[00:00:14.160 --> 00:00:15.440]   Wow.
[00:00:15.440 --> 00:00:18.020]   What a year it has been.
[00:00:18.020 --> 00:00:23.020]   What is one word you would use to describe 2022?
[00:00:23.020 --> 00:00:26.120]   What is one word you would use?
[00:00:26.120 --> 00:00:26.960]   What is one word?
[00:00:26.960 --> 00:00:28.100]   Okay, somebody said COVID.
[00:00:28.100 --> 00:00:31.400]   Okay, everybody shout out the word in one, two, three.
[00:00:31.400 --> 00:00:32.240]   Okay?
[00:00:32.240 --> 00:00:33.880]   One, two, three, shout out your word.
[00:00:33.880 --> 00:00:35.480]   - COVID.
[00:00:35.480 --> 00:00:36.880]   - Okay, I heard some great.
[00:00:36.880 --> 00:00:41.600]   I had some COVID, so I didn't hear anything else.
[00:00:41.600 --> 00:00:43.680]   But I would say that this year
[00:00:43.680 --> 00:00:46.240]   has been a year of uncertainty.
[00:00:46.240 --> 00:00:47.280]   Uncertainty.
[00:00:47.280 --> 00:00:50.520]   Yes, COVID has been mutating,
[00:00:50.520 --> 00:00:52.680]   and we had alpha, beta, delta,
[00:00:52.680 --> 00:00:55.280]   and Omnicron was at the height.
[00:00:55.280 --> 00:00:58.500]   When I was back in Canada in January,
[00:00:58.500 --> 00:01:00.120]   and you remember these lockdowns,
[00:01:00.120 --> 00:01:02.900]   they would just randomly lock down your block,
[00:01:02.900 --> 00:01:05.420]   you remember, and you would be trapped there.
[00:01:05.420 --> 00:01:06.940]   It was, you had no idea, right?
[00:01:06.940 --> 00:01:11.940]   You would just be randomly trapped in that quarantine zone.
[00:01:11.940 --> 00:01:15.180]   And not only was COVID still going on,
[00:01:15.180 --> 00:01:18.180]   a war started.
[00:01:18.180 --> 00:01:20.780]   Ukraine was attacked by Russia,
[00:01:20.780 --> 00:01:24.580]   and this left lots of people, refugees,
[00:01:24.580 --> 00:01:28.580]   running out of Ukraine to other countries.
[00:01:28.580 --> 00:01:33.580]   And with this war came the threat of nuclear, nuclear war,
[00:01:33.580 --> 00:01:38.820]   and a lot of sanctions were happening against Russia,
[00:01:38.820 --> 00:01:42.300]   and so because of that, energy prices went up,
[00:01:42.300 --> 00:01:44.940]   and the markets went crazy,
[00:01:44.940 --> 00:01:47.240]   and we don't know, it's going up and down,
[00:01:47.240 --> 00:01:49.340]   up and down, up and down.
[00:01:49.340 --> 00:01:54.340]   And on top of that, 2022, the queen died,
[00:01:54.340 --> 00:01:59.060]   and that was a very, just shocking thing,
[00:01:59.060 --> 00:02:02.660]   that the queen had reigned for so many years, and she died.
