
[00:00:00.000 --> 00:00:04.000]  (字幕提供:Sky Vision Media)
[00:00:04.000 --> 00:00:08.000]  這是我們很少讀這麼一段長的經文
[00:00:08.000 --> 00:00:12.000]  不過我覺得這整體一件歷史性的事情
[00:00:12.000 --> 00:00:15.000]  讓大家有一個感覺
[00:00:15.000 --> 00:00:17.000]  因為這個是在基督教的歷史裡面
[00:00:17.000 --> 00:00:20.000]  一件非常關鍵性的歷史
[00:00:20.000 --> 00:00:24.000]  我們過去講了耶穌基督
[00:00:24.000 --> 00:00:27.000]  祂的生平 祂的言論
[00:00:27.000 --> 00:00:30.000]  不管是基督教學者 或不是基督教學者
[00:00:30.000 --> 00:00:32.000]  回教的學者 我們都看見
[00:00:32.000 --> 00:00:36.000]  他們都同意基督這個人是存在在這世界上
[00:00:36.000 --> 00:00:40.000]  我們就看見從預言各種角度
[00:00:40.000 --> 00:00:44.000]  祂真的是一個奇妙的救主
[00:00:44.000 --> 00:00:47.000]  那麼祂死後發生什麼事情
[00:00:47.000 --> 00:00:50.000]  祂復活之後 升天之後發生什麼事情呢
[00:00:50.000 --> 00:00:53.000]  現在我們就想選幾個人物
[00:00:53.000 --> 00:00:56.000]  讓大家有初期教會
[00:00:56.000 --> 00:00:59.000]  第一代的教會 發生什麼事情
[00:00:59.000 --> 00:01:01.000]  我們會在接下來的講道系列
[00:01:01.000 --> 00:01:04.000]  有幾個人物 想初期教會
[00:01:04.000 --> 00:01:06.000]  生命改變的講道系列
[00:01:06.000 --> 00:01:10.000]  今天我們要看的第一個人物就是彼得
[00:01:10.000 --> 00:01:13.000]  那麼背景是什麼呢
[00:01:13.000 --> 00:01:17.000]  背景就是主耶穌死後復活
[00:01:17.000 --> 00:01:20.000]  復活之後 祂顯現給門徒看
[00:01:20.000 --> 00:01:23.000]  開始的時候有些門徒還不相信
[00:01:23.000 --> 00:01:26.000]  他聽人家說 耶穌復活了還不相信
[00:01:26.000 --> 00:01:28.000]  後來一個一個親身經歷了
[00:01:28.000 --> 00:01:30.000]  見到了復活的耶穌也相信了
[00:01:30.000 --> 00:01:35.000]  然後保羅在他的寫作也記載
[00:01:35.000 --> 00:01:41.000]  他說後來也顯現給當時候的超過500人看
[00:01:41.000 --> 00:01:45.000]  那麼保羅寫了一句話 可圈可點
[00:01:45.000 --> 00:01:49.000]  其中一大半到如今還在
[00:01:49.000 --> 00:01:52.000]  有一些人死了 保羅是後來才信主了
[00:01:52.000 --> 00:01:56.000]  後來信主寫這封信的時候
[00:01:56.000 --> 00:01:58.000]  他說有些人已經死了
[00:01:58.000 --> 00:02:01.000]  但是那500多個人裡面一大半
[00:02:01.000 --> 00:02:02.000]  如今還在
[00:02:02.000 --> 00:02:04.000]  為什麼這句話可圈可點呢
[00:02:04.000 --> 00:02:08.000]  意思就是說 這件事情你都可以去問
[00:02:08.000 --> 00:02:11.000]  有很多人見過復活之後的耶穌
[00:02:11.000 --> 00:02:16.000]  所以保羅就在《哥林多後書》15章那邊這樣記載了
[00:02:16.000 --> 00:02:18.000]  然後在耶穌升天之後
[00:02:18.000 --> 00:02:21.000]  他就吩咐門徒兩件事情
[00:02:21.000 --> 00:02:25.000]  第一件事情 不要離開耶路撒冷
[00:02:25.000 --> 00:02:28.000]  耶路撒冷雖然是一個危險的地方
[00:02:28.000 --> 00:02:29.000]  為什麼危險
[00:02:29.000 --> 00:02:33.000]  因為他們的主耶穌被人家拉去釘十字架
[00:02:33.000 --> 00:02:34.000]  危險的地方
[00:02:34.000 --> 00:02:36.000]  不要離開耶路撒冷
