
[00:00:00.000 --> 00:00:03.140]  今天我們要講一個題目
[00:00:03.140 --> 00:00:06.220]  是跟我們很貼近的
[00:00:06.220 --> 00:00:09.220]  可能你有聽過
[00:00:09.220 --> 00:00:11.720]  但不知道是什麼東西
[00:00:11.720 --> 00:00:13.720]  我想先問一下
[00:00:13.720 --> 00:00:17.520]  誰是喜歡聖誕節的舉手
[00:00:17.520 --> 00:00:22.020]  都很多人喜歡聖誕節
[00:00:22.020 --> 00:00:24.520]  為什麼呢?除了有假放之外
[00:00:24.520 --> 00:00:27.020]  除了有假放之外
[00:00:27.020 --> 00:00:29.020]  為什麼喜歡聖誕節呢?
[00:00:29.040 --> 00:00:31.040]  溫書
[00:00:31.040 --> 00:00:32.040]  有東西吃
[00:00:32.040 --> 00:00:34.040]  剛才我聽到有東西吃
[00:00:34.040 --> 00:00:36.040]  有什麼?
[00:00:36.040 --> 00:00:38.040]  有優惠
[00:00:38.040 --> 00:00:40.040]  OK
[00:00:40.040 --> 00:00:42.040]  有沒有其他?
[00:00:42.040 --> 00:00:45.040]  有人覺得有禮物收
[00:00:45.040 --> 00:00:47.040]  都是一個好的節日
[00:00:47.040 --> 00:00:51.040]  相比農曆新年
[00:00:51.040 --> 00:00:54.040]  農曆新年和聖誕節
[00:00:54.040 --> 00:00:55.040]  舉手
[00:00:55.040 --> 00:00:57.040]  農曆新年喜歡的舉手
[00:00:58.040 --> 00:01:00.040]  竟然少了一點
[00:01:00.040 --> 00:01:04.040]  有利是收
[00:01:04.040 --> 00:01:06.040]  已經習慣了
[00:01:06.040 --> 00:01:09.040]  所以不理我了
[00:01:09.040 --> 00:01:14.040]  忍受20分鐘
[00:01:14.040 --> 00:01:16.040]  我就講完了
[00:01:16.040 --> 00:01:21.040]  今天我們有三段經文
[00:01:21.040 --> 00:01:23.040]  不過後面路加福音
[00:01:23.040 --> 00:01:25.040]  兩段大經文
[00:01:25.040 --> 00:01:28.040]  大家可以分組去看
[00:01:28.040 --> 00:01:34.040]  我想拿第一段經文和大家分享
[00:01:34.040 --> 00:01:36.040]  其實在聖誕節裏
[00:01:36.040 --> 00:01:39.040]  我剛才看到大家都很喜歡
[00:01:39.040 --> 00:01:41.040]  我自己都很喜歡聖誕節
[00:01:41.040 --> 00:01:43.040]  因為每一次見到聖誕樹
[00:01:43.040 --> 00:01:46.040]  商場裝飾
[00:01:46.040 --> 00:01:50.040]  教會都開始放聖誕樹
[00:01:50.040 --> 00:01:53.040]  我們都知道聖誕節除了是
[00:01:53.040 --> 00:01:56.040]  紀念主耶穌降生的時候
[00:01:56.040 --> 00:01:59.040]  其實我們都要為
[00:01:59.040 --> 00:02:02.040]  主耶穌第二次降臨
[00:02:02.040 --> 00:02:05.040]  做一些準備
[00:02:05.040 --> 00:02:08.040]  所以我們今天會看看
[00:02:08.040 --> 00:02:10.040]  在章林期裏
[00:02:10.040 --> 00:02:13.040]  我們真正有什麼意思呢?
[00:02:13.040 --> 00:02:15.040]  我們一起讀讀
[00:02:15.040 --> 00:02:19.040]  《倚窗書》九章六到七節
[00:02:19.040 --> 00:02:24.040]  (國語)
[00:02:24.040 --> 00:02:27.040]  (國語)
[00:02:27.040 --> 00:02:30.460]  政權必擔在他的肩頭上
[00:02:30.460 --> 00:02:38.580]  他名稱為奇妙策士、全能的神、永在的父、和平的君
[00:02:38.580 --> 00:02:42.720]  他的政權與平安必加增無窮
[00:02:42.720 --> 00:02:47.640]  他必在大位的寶座上治理他的國
[00:02:47.640 --> 00:02:54.800]  以公平、公義使國堅定穩固,從今直到永遠
[00:02:54.800 --> 00:02:59.920]  萬君之夜和華的熱心必成就這事
[00:02:59.920 --> 00:03:05.680]  以賽亞先知在舊約的時間已經預言了
[00:03:05.680 --> 00:03:09.400]  會有一個君王的出現
[00:03:09.400 --> 00:03:19.480]  這個英孩的出現不單被稱為奇妙的策士、全能的神、永在的父、和平的君王
[00:03:19.480 --> 00:03:25.560]  耶穌的出現正是應驗了以賽亞先知的預言
[00:03:25.560 --> 00:03:29.160]  我們說張臨期是什麼意思呢?
[00:03:29.160 --> 00:03:31.960]  張臨期是什麼呢?
[00:03:31.960 --> 00:03:37.480]  其實張臨期是期待和預備的
[00:03:37.480 --> 00:03:44.440]  張臨期這個英文是源自於拉丁文的來臨的意思
[00:03:44.440 --> 00:03:51.720]  張臨期是在聖誕節四個星期日前開始
[00:03:51.720 --> 00:03:57.480]  不是告訴我們聖誕節是一個倒數的日子
[00:03:57.480 --> 00:04:06.120]  聖誕節是一個讓我們預備更深入思考耶穌基督降生的意義
[00:04:06.120 --> 00:04:11.160]  期待慶祝第一次耶穌的降生
[00:04:11.160 --> 00:04:16.120]  相信以賽亞先知所預言的
[00:04:16.120 --> 00:04:19.000]  耶穌的出生應驗了
[00:04:19.000 --> 00:04:25.240]  應驗了神到城獄身來到世界上與我們同在
[00:04:25.240 --> 00:04:30.280]  這不是一個偶然的事情
[00:04:30.280 --> 00:04:35.960]  而是上帝早已安排為我們救贖的計劃
[00:04:35.960 --> 00:04:44.920]  所以我們要好好思考聖誕節真正的原因是什麼
[00:04:44.920 --> 00:04:48.760]  並不是我們有聖誕禮物
[00:04:48.760 --> 00:04:53.640]  並不是我們放假這麼簡單的事
[00:04:53.640 --> 00:04:55.160]  第二個期待
[00:04:55.160 --> 00:05:01.800]  第二個期待是期待耶穌基督再來的時間
[00:05:01.800 --> 00:05:06.760]  在耶穌基督再來的時間提醒我們
[00:05:06.760 --> 00:05:08.760]  祂是會再來的
[00:05:08.760 --> 00:05:11.320]  祂是會審判這個世界
[00:05:11.320 --> 00:05:13.880]  建立祂永恆的角度
[00:05:13.880 --> 00:05:18.120]  提醒我們要有預備
[00:05:18.120 --> 00:05:23.240]  用聖潔的生活去迎接祂再來的時間
[00:05:23.240 --> 00:05:27.960]  就像馬太福音24章44節所說
[00:05:27.960 --> 00:05:29.960]  所以你們也要預備
[00:05:29.960 --> 00:05:32.600]  因為你們想不到的時候
[00:05:32.600 --> 00:05:34.600]  人子就來了
[00:05:34.600 --> 00:05:37.880]  人子再來的時間
[00:05:37.880 --> 00:05:41.800]  我記得之前我們也有說過
[00:05:41.800 --> 00:05:43.800]  祂是怎樣的
[00:05:43.800 --> 00:05:45.800]  主耶穌會再來的時間
[00:05:45.800 --> 00:05:48.600]  好像賊一樣
[00:05:48.600 --> 00:05:50.600]  賊一樣來
[00:05:50.600 --> 00:05:52.600]  是不知道什麼時候會來的
[00:05:52.600 --> 00:05:57.640]  所以我們一定要好好地去預備
[00:05:57.640 --> 00:06:00.520]  我們怎樣去預備呢
[00:06:00.520 --> 00:06:02.520]  第一個是
[00:06:02.520 --> 00:06:05.960]  聖靈上的預備就是
[00:06:05.960 --> 00:06:10.840]  我們要讓我們自己畫了這麼多年的教會
[00:06:10.840 --> 00:06:13.880]  我們可不可以祈禱、讀經
