
[00:00:00.000 --> 00:00:04.200]  感謝主我們能夠一起在神的家來聆聽祂的話語
[00:00:04.200 --> 00:00:07.340]  求神預備我們的心來領受祂的道
[00:00:07.340 --> 00:00:09.000]  我們一起同心禱告
[00:00:09.000 --> 00:00:14.500]  親愛的主我們滿心感謝讚美祢
[00:00:14.500 --> 00:00:17.500]  因為祢的道是多麼的寶貴
[00:00:17.500 --> 00:00:19.700]  我們每次打開祢的話語
[00:00:19.700 --> 00:00:25.000]  就如真的是露水那樣的來滋潤我們的心靈
[00:00:25.000 --> 00:00:27.000]  我們求祢讓我們的心
[00:00:27.000 --> 00:00:30.000]  真的是在這個時候成為一片好土
[00:00:30.000 --> 00:00:31.500]  就好像耶穌說的
[00:00:31.500 --> 00:00:34.000]  當我們謙卑受教的時候
[00:00:34.000 --> 00:00:36.000]  能夠領受上帝祢的道
[00:00:36.000 --> 00:00:38.000]  能夠結出生命的果子
[00:00:38.000 --> 00:00:39.500]  我們感謝讚美祢
[00:00:39.500 --> 00:00:41.000]  求祢與我們同在
[00:00:41.000 --> 00:00:43.500]  禱告奉耶穌基督聖名祈求
[00:00:43.500 --> 00:00:44.500]  Amen
[00:00:44.500 --> 00:00:47.500]  弟兄姊妹在2025年開始
[00:00:47.500 --> 00:00:53.000]  我很想跟大家一起來建立一個我們的生命
[00:00:53.000 --> 00:00:56.500]  包括了上一次我講到專心跟從
[00:00:56.500 --> 00:00:58.500]  要專心跟從主
[00:00:58.500 --> 00:01:02.000]  今天我要再強調我們要尊主為大
[00:01:02.000 --> 00:01:06.500]  所以我選了今天的這段經文來跟大家起個頭
[00:01:06.500 --> 00:01:10.000]  我們會看到不同尊主為大的功課
[00:01:10.000 --> 00:01:13.000]  希望我們能夠彼此勉勵彼此學習
[00:01:13.000 --> 00:01:17.500]  這段經文是瑪利亞說的
[00:01:17.500 --> 00:01:22.500]  瑪利亞大家都熟悉她是上帝所揀選
[00:01:22.500 --> 00:01:28.000]  然後就讓神的兒子能夠道成肉身
[00:01:28.000 --> 00:01:29.500]  這個基督教的術語
[00:01:29.500 --> 00:01:31.500]  道就是上帝的道
[00:01:31.500 --> 00:01:35.000]  上帝創造這個世界是藉著祂的話語
[00:01:35.000 --> 00:01:37.500]  祂說要有光就有了光
[00:01:37.500 --> 00:01:39.000]  祂就是那道
[00:01:39.000 --> 00:01:41.000]  那道就是生命
[00:01:41.000 --> 00:01:44.000]  結果這道是上帝一體的聖父聖子聖靈
[00:01:44.000 --> 00:01:49.000]  這聖子成了肉身成了人來代表我們
[00:01:49.000 --> 00:01:52.000]  來代表我們經歷我們不能夠經歷的
[00:01:52.000 --> 00:01:54.000]  我們不能夠勝過的各種的試探
[00:01:54.000 --> 00:01:56.000]  祂勝過了 祂沒有罪
[00:01:56.000 --> 00:01:59.000]  有資格為我們死在十字架
[00:01:59.000 --> 00:02:01.000]  然後任何一個願意去說
[00:02:01.000 --> 00:02:04.000]  我願意真的是悔改認識你
[00:02:04.000 --> 00:02:06.000]  就能夠得到永生
[00:02:06.000 --> 00:02:11.000]  而瑪利亞就是被揀選來生耶穌基督
[00:02:11.000 --> 00:02:13.000]  但這個過程是不容易的
[00:02:13.000 --> 00:02:17.000]  因為她剛剛許配給了約瑟
[00:02:17.000 --> 00:02:21.000]  她就要懷孕了
[00:02:21.000 --> 00:02:24.000]  因為聖靈感應他們都還沒有同房
[00:02:24.000 --> 00:02:27.000]  還沒有同房她懷孕了
[00:02:27.000 --> 00:02:32.000]  所以她要面對的是一個當時候的人的眼光
[00:02:32.000 --> 00:02:34.000]  她要面對的不是那麼簡單的一個
[00:02:34.000 --> 00:02:36.000]  我一懷孕了我就尊主為大
[00:02:36.000 --> 00:02:41.000]  當時候那種古老的社會怎麼樣看待這件事情
[00:02:41.000 --> 00:02:45.000]  但是她竟然明白了神的旨意之後
[00:02:45.000 --> 00:02:50.000]  她要生的這個孩子將來要成為世界的救世主
[00:02:50.000 --> 00:02:52.000]  要拯救世人
[00:02:52.000 --> 00:02:55.000]  所以她說我心尊主為大
[00:02:55.000 --> 00:02:58.000]  我靈以神我的救主為樂
[00:02:58.000 --> 00:03:01.000]  因為她顧念祂使你的卑微
[00:03:01.000 --> 00:03:04.000]  從今以後萬代要稱我有福
[00:03:04.000 --> 00:03:08.000]  這事情也真的是成就了
[00:03:08.000 --> 00:03:11.000]  那有權能的為我成就了大事
[00:03:11.000 --> 00:03:13.000]  祂的名為聖
[00:03:13.000 --> 00:03:15.000]  我們了解祂背景的不簡單
[00:03:15.000 --> 00:03:19.000]  才能夠體會這句話背後是多麼大的信心
[00:03:19.000 --> 00:03:21.000]  我心尊主為大
[00:03:21.000 --> 00:03:26.000]  一個單純愛上帝的少女
[00:03:26.000 --> 00:03:29.000]  能夠看見上帝的旨意
[00:03:29.000 --> 00:03:34.000]  比自己怎麼樣被人家批評更重要
[00:03:34.000 --> 00:03:37.000]  能夠說我心尊主為大
[00:03:37.000 --> 00:03:39.000]  這裡我寫著柏麗痕
[00:03:39.000 --> 00:03:43.000]  因為我每次看到瑪利亞生耶穌這件事情
[00:03:43.000 --> 00:03:46.000]  我就想起這個美妙的事情
[00:03:46.000 --> 00:03:50.000]  在我們當中的朋友已經很熟悉了這個預言
[00:03:50.000 --> 00:03:54.000]  但是在我們當中的新朋友可能不知道這個預言
[00:03:54.000 --> 00:03:56.000]  這個是必須再宣告的
[00:03:56.000 --> 00:04:00.000]  因為這件事情證明了聖經是何等的真實
[00:04:00.000 --> 00:04:04.000]  因為在耶穌還沒誕生之前的幾百年前
[00:04:04.000 --> 00:04:07.000]  就已經有一個先知叫做米加
[00:04:07.000 --> 00:04:10.000]  他說救世主會出生在柏麗痕
[00:04:10.000 --> 00:04:12.000]  幾百年前喔
[00:04:12.000 --> 00:04:14.000]  你想想看預言
[00:04:14.000 --> 00:04:16.000]  孩子會出生不是在耶路撒冷
[00:04:16.000 --> 00:04:18.000]  不是在拿撒勒
[00:04:18.000 --> 00:04:21.000]  在柏麗痕
[00:04:21.000 --> 00:04:26.000]  而瑪利亞不住在柏麗痕
[00:04:26.000 --> 00:04:29.000]  當時候肚子大了要生孩子了
[00:04:29.000 --> 00:04:33.000]  怎麼會冒著生命的危險
[00:04:33.000 --> 00:04:35.000]  勞碌奔波的走到柏麗痕
[00:04:35.000 --> 00:04:39.000]  還要這麼巧那個時間生了孩子
[00:04:39.000 --> 00:04:42.000]  耶穌
[00:04:42.000 --> 00:04:49.000]  因為當時候統治他們的羅馬帝國政府的總督命令他們
[00:04:49.000 --> 00:04:51.000]  要去報上名冊
[00:04:51.000 --> 00:04:54.000]  沒得選擇的
[00:04:54.000 --> 00:04:56.000]  你必須報上名冊
[00:04:56.000 --> 00:05:00.000]  他就跟隨約瑟去到了柏麗痕
[00:05:00.000 --> 00:05:03.000]  要報名冊
[00:05:03.000 --> 00:05:08.000]  回去辦戶籍
