
[00:00:00.000 --> 00:00:10.000]  很高興今天能夠跟大家一起分享
[00:00:10.000 --> 00:00:12.000]  你們好嗎?
[00:00:12.000 --> 00:00:13.000]  好
[00:00:13.000 --> 00:00:14.000]  Wonderful
[00:00:14.000 --> 00:00:18.000]  我想知道我們這裡是不是全部是explorer
[00:00:18.000 --> 00:00:24.000]  即是從Form 1到Form 7
[00:00:24.000 --> 00:00:26.000]  是不是這樣?
[00:00:26.000 --> 00:00:27.000]  大專
[00:00:27.000 --> 00:00:30.000]  OK Wonderful, so good to see you
[00:00:30.000 --> 00:00:33.000]  我們今天時間雖然不是很多
[00:00:33.000 --> 00:00:38.000]  但我希望能夠和大家分享
[00:00:38.000 --> 00:00:41.000]  關於教會的主題
[00:00:41.000 --> 00:00:43.000]  我們的主題是什麼?
[00:00:43.000 --> 00:00:45.000]  知道嗎?
[00:00:45.000 --> 00:00:53.000]  教會說今年我們會裝備聖徒來服侍社群
[00:00:53.000 --> 00:00:54.000]  聖徒是誰?
[00:00:54.000 --> 00:00:56.000]  聖徒就是你和我
[00:00:56.000 --> 00:00:58.000]  我們每一個信主耶穌的人
[00:00:58.000 --> 00:01:01.000]  我們都在神的眼中分別為聖
[00:01:01.000 --> 00:01:03.000]  首先我想問問大家
[00:01:03.000 --> 00:01:05.000]  如果說要關愛輪舍
[00:01:05.000 --> 00:01:08.000]  你知不知道你的輪舍是誰?
[00:01:08.000 --> 00:01:11.000]  誰是你的neighbor?
[00:01:11.000 --> 00:01:14.000]  Do you know your neighbor?
[00:01:14.000 --> 00:01:18.000]  Yes or no?
[00:01:18.000 --> 00:01:20.000]  Yes, right?
[00:01:20.000 --> 00:01:24.000]  那是不是只有我們隔壁才是我們的neighbor?
[00:01:24.000 --> 00:01:26.000]  OK, let's see
[00:01:26.000 --> 00:01:30.000]  我們看看這段經文
[00:01:30.000 --> 00:01:31.000]  看不看得到?
[00:01:31.000 --> 00:01:33.000]  可不可以幫我一起讀出來?
[00:01:33.000 --> 00:01:35.000]  我們一起試試
[00:01:35.000 --> 00:01:36.000]  一起讀出來
[00:01:36.000 --> 00:01:40.000]  有一個律法師起來試探耶穌
[00:01:40.000 --> 00:01:45.000]  說:老師,我該做什麼才可以承受永生?
[00:01:45.000 --> 00:01:47.000]  耶穌對他說:
[00:01:47.000 --> 00:01:49.000]  律法上寫的是什麼?
[00:01:49.000 --> 00:01:51.000]  你是怎樣念的?
[00:01:51.000 --> 00:01:52.000]  他回答說:
[00:01:52.000 --> 00:01:57.000]  你要盡心盡性盡力盡意愛主你的神
[00:01:57.000 --> 00:02:00.000]  又要愛輪舍如己
[00:02:00.000 --> 00:02:02.000]  耶穌對他說:
[00:02:02.000 --> 00:02:04.000]  你回答得正確
[00:02:04.000 --> 00:02:06.000]  你這樣做,就會得永生
[00:02:06.000 --> 00:02:09.000]  那人要證明自己有你
[00:02:09.000 --> 00:02:11.000]  就對耶穌說:
[00:02:11.000 --> 00:02:13.000]  誰是我的輪舍呢?
[00:02:13.000 --> 00:02:18.000]  這條問題原來在聖經真人真事發生
[00:02:18.000 --> 00:02:21.000]  而這位就是律法師
[00:02:21.000 --> 00:02:26.000]  是很熟悉舊約律法的文士
[00:02:26.000 --> 00:02:28.000]  他來做什麼?
[00:02:28.000 --> 00:02:31.000]  聖經說他來試探耶穌
[00:02:31.000 --> 00:02:34.000]  其實耶穌面對這個人的問題時
[00:02:34.000 --> 00:02:38.000]  已經知道他是有備而來
[00:02:38.000 --> 00:02:42.000]  他想試探主耶穌
[00:02:42.000 --> 00:02:44.000]  但耶穌沒有拆穿他
[00:02:44.000 --> 00:02:47.000]  耶穌照著他問的問題
[00:02:47.000 --> 00:02:50.000]  你說怎樣才能有永生?
[00:02:50.000 --> 00:02:54.000]  你告訴我,律法上所說的
[00:02:54.000 --> 00:02:56.000]  你有沒有讀過?
[00:02:56.000 --> 00:03:00.000]  對於他們很熟悉舊約律法
[00:03:00.000 --> 00:03:03.000]  最重要最大的一條誡命是什麼?
[00:03:03.000 --> 00:03:06.000]  就是生命記錄章所說的
