
[00:00:00.000 --> 00:00:03.520]  歡迎大家來到我們的學青崇拜
[00:00:03.520 --> 00:00:06.160]  給點掌聲給你自己和你旁邊的朋友
[00:00:06.160 --> 00:00:07.800]  (掌聲)
[00:00:07.800 --> 00:00:12.400]  在這幾天的預備的時候
[00:00:12.400 --> 00:00:15.880]  我都在想究竟能不能回來港
[00:00:15.880 --> 00:00:18.000]  還是像前兩年一樣
[00:00:18.000 --> 00:00:20.320]  我要看著螢幕對著Zoom
[00:00:20.320 --> 00:00:23.000]  自己錄影自己去港島呢
[00:00:23.000 --> 00:00:25.800]  我發現很感恩
[00:00:25.800 --> 00:00:30.000]  我覺得在開學周聚在一起
[00:00:30.000 --> 00:00:32.800]  我們先在上帝裡面得力
[00:00:32.800 --> 00:00:34.600]  然後我們再去上學
[00:00:34.600 --> 00:00:36.000]  很多挑戰的
[00:00:36.000 --> 00:00:38.400]  舉手誰很想上學的
[00:00:38.400 --> 00:00:40.000]  有啊
[00:00:40.000 --> 00:00:41.800]  放假放了太久了
[00:00:41.800 --> 00:00:44.200]  我們都會覺得很大挑戰
[00:00:44.200 --> 00:00:46.600]  哎呀
[00:00:46.600 --> 00:00:48.400]  星期六日就很開心
[00:00:48.400 --> 00:00:51.800]  星期一就不知道什麼症候群
[00:00:51.800 --> 00:00:54.000]  總之就不想上學不想上班
[00:00:54.000 --> 00:00:55.800]  但是我們都要面對
[00:00:55.800 --> 00:00:59.000]  盼望我們今天可以在神裡面得力
[00:00:59.000 --> 00:01:04.000]  再一次歡迎我們中間的中一
[00:01:04.000 --> 00:01:05.400]  中一的再一次舉手
[00:01:05.400 --> 00:01:06.400]  給點勇氣好不好
[00:01:06.400 --> 00:01:07.600]  (掌聲)
[00:01:07.600 --> 00:01:09.000]  是的沒錯
[00:01:09.000 --> 00:01:12.400]  你已經多睡了一個多小時
[00:01:12.400 --> 00:01:15.000]  平時特別是中一的男生
[00:01:15.000 --> 00:01:17.200]  我過去這一年都和他們一起
[00:01:17.200 --> 00:01:20.000]  我們開始九點鐘
[00:01:20.000 --> 00:01:21.000]  現在十點半了
[00:01:21.000 --> 00:01:22.200]  你多睡一個多小時
[00:01:22.200 --> 00:01:24.000]  歡迎大家
[00:01:24.000 --> 00:01:26.000]  當中有很多新朋友
[00:01:26.000 --> 00:01:28.600]  帶上親朋戚友來
[00:01:28.600 --> 00:01:29.600]  很感恩
[00:01:29.600 --> 00:01:33.600]  我們踏入新的學年
[00:01:33.600 --> 00:01:37.200]  我們回到萬賀福音
[00:01:37.200 --> 00:01:39.600]  對於一個不太熟悉的
[00:01:39.600 --> 00:01:41.000]  可能你剛剛加入我們
[00:01:41.000 --> 00:01:43.600]  我們有些分享
[00:01:43.600 --> 00:01:46.200]  講一下我們過去這段時間做了什麼
[00:01:46.200 --> 00:01:48.400]  我們在過去這兩個月
[00:01:48.400 --> 00:01:50.200]  我們花了一些時間
[00:01:50.200 --> 00:01:52.200]  很興奮
