
[00:00:00.000 --> 00:00:03.000]  在我們今天的社會裏面
[00:00:03.000 --> 00:00:05.000]  如果我們打開報紙
[00:00:05.000 --> 00:00:07.000]  或者聽到很多人的分享裏面
[00:00:07.000 --> 00:00:12.000]  都發現我們可能是一個很邪惡的世界
[00:00:12.000 --> 00:00:14.000]  打開報紙看到
[00:00:14.000 --> 00:00:16.000]  蔡天鳳在大埔屋裏
[00:00:16.000 --> 00:00:17.000]  不單止被殺
[00:00:17.000 --> 00:00:19.000]  還要被煮埋
[00:00:19.000 --> 00:00:21.000]  所以那個兇殘的手段
[00:00:21.000 --> 00:00:25.000]  令人很震驚
[00:00:25.000 --> 00:00:30.000]  另外看看一些和宗教有關的
[00:00:30.000 --> 00:00:32.000]  這個攝理教教主
[00:00:32.000 --> 00:00:35.000]  又用了很多很邪惡的手段
[00:00:35.000 --> 00:00:40.000]  多次性侵年輕女性
[00:00:40.000 --> 00:00:42.000]  甚至我們看看世界的新聞裏面
[00:00:42.000 --> 00:00:44.000]  又看到有些國家
[00:00:44.000 --> 00:00:46.000]  用了自己的私慾
[00:00:46.000 --> 00:00:48.000]  或者人權力的慾望
[00:00:48.000 --> 00:00:51.000]  來發動戰爭
[00:00:51.000 --> 00:00:52.000]  我發現這件事
[00:00:52.000 --> 00:00:57.000]  我們都活在一個充滿邪惡的文化的世界裏面
[00:00:57.000 --> 00:01:00.000]  當我們一聽到邪惡的時候
[00:01:00.000 --> 00:01:03.000]  很多人可能都會很反感
[00:01:03.000 --> 00:01:07.000]  但如果我們很真實地面對邪惡的衝擊的時候
[00:01:07.000 --> 00:01:09.000]  我想一般的反應
[00:01:09.000 --> 00:01:12.000]  可能是有無奈和很多的害怕
[00:01:12.000 --> 00:01:15.000]  甚至不知道怎樣去面對
[00:01:15.000 --> 00:01:19.000]  都根本沒有能力去面對
[00:01:19.000 --> 00:01:22.000]  今天我們看的經文
[00:01:22.000 --> 00:01:24.000]  當然這段經文有兩段序事
[00:01:24.000 --> 00:01:27.000]  一段是耶穌基督面對風浪
[00:01:27.000 --> 00:01:30.000]  一段是耶穌基督面對邪惡
[00:01:30.000 --> 00:01:32.000]  經文的篇幅比較長
[00:01:32.000 --> 00:01:34.000]  所以我們比較集中
[00:01:34.000 --> 00:01:38.000]  在耶穌基督面對性過邪惡的序事當中
[00:01:38.000 --> 00:01:40.000]  馬克福音的五章一節
[00:01:40.000 --> 00:01:42.000]  一開頭經文的開始
