
[00:00:00.000 --> 00:00:02.000]  大家姐妹,平安
[00:00:02.000 --> 00:00:04.000]  非常多謝
[00:00:04.000 --> 00:00:06.000]  我們獻詩小組獻唱這首
[00:00:06.000 --> 00:00:08.000]  榮耀歸於真神
[00:00:08.000 --> 00:00:10.000]  一首我非常喜歡的詩歌
[00:00:10.000 --> 00:00:12.000]  詩歌第三節
[00:00:12.000 --> 00:00:14.000]  歌詞其中一句是
[00:00:14.000 --> 00:00:16.000]  將來得見主面
[00:00:16.000 --> 00:00:18.000]  何等大恩福
[00:00:18.000 --> 00:00:24.000]  這個剛剛和我今天想分享的訊息
[00:00:24.000 --> 00:00:28.000]  準備好見主媽
[00:00:28.000 --> 00:00:30.000]  和這個主題有密切的關係
[00:00:30.000 --> 00:00:32.000]  我想這個問題
[00:00:32.000 --> 00:00:36.000]  準備好見主媽
[00:00:36.000 --> 00:00:38.000]  很少我們會問其他人
[00:00:38.000 --> 00:00:42.000]  其中有一次我在教會
[00:00:42.000 --> 00:00:44.000]  問我們的師班
[00:00:44.000 --> 00:00:46.000]  這條問題
[00:00:46.000 --> 00:00:48.000]  你們知不知道那些師班員
[00:00:48.000 --> 00:00:50.000]  大部分的答案是什麼呢
[00:00:50.000 --> 00:00:52.000]  他說最好遲一點才來
[00:00:52.000 --> 00:00:56.000]  為什麼?因為還沒準備好
[00:00:56.000 --> 00:00:58.000]  也想在這裡問
[00:00:58.000 --> 00:01:02.000]  你準備好見主了嗎?
[00:01:02.000 --> 00:01:04.000]  準備好的請舉手
[00:01:04.000 --> 00:01:06.000]  有些,不是很多
[00:01:06.000 --> 00:01:08.000]  還沒準備好的請舉手
[00:01:08.000 --> 00:01:10.000]  也有些
[00:01:10.000 --> 00:01:12.000]  剩下的就是
[00:01:12.000 --> 00:01:14.000]  不知道自己準備好的請舉手
[00:01:14.000 --> 00:01:20.000]  大家都看到
[00:01:20.000 --> 00:01:22.000]  很多人還沒準備好見主耶穌
[00:01:22.000 --> 00:01:24.000]  原因或許是
[00:01:24.000 --> 00:01:26.000]  不知道
[00:01:26.000 --> 00:01:28.000]  主耶穌何時會來
[00:01:28.000 --> 00:01:30.000]  打個比方
[00:01:30.000 --> 00:01:32.000]  如果你有朋友來探望你
[00:01:32.000 --> 00:01:34.000]  你一定會想知道他何時會來
[00:01:34.000 --> 00:01:36.000]  不然你如何準備他來呢
[00:01:36.000 --> 00:01:38.000]  同樣
[00:01:38.000 --> 00:01:40.000]  如果你不知道主耶穌何時會來
[00:01:40.000 --> 00:01:42.000]  你也不知道如何準備
[00:01:42.000 --> 00:01:46.000]  但耶穌怎樣說
[00:01:46.000 --> 00:01:48.000]  在馬太福音24節
[00:01:48.000 --> 00:01:50.000]  跟他說
[00:01:50.000 --> 00:01:52.000]  他將來來的時候
[00:01:52.000 --> 00:01:54.000]  沒有人知道
[00:01:54.000 --> 00:01:56.000]  連天上的使者也不知道
[00:01:56.000 --> 00:01:58.000]  耶穌自己也不知道
[00:01:58.000 --> 00:02:00.000]  唯獨天父知道
[00:02:00.000 --> 00:02:04.000]  這個日子可能有很多災難
[00:02:04.000 --> 00:02:08.000]  也可能是太平盛世的日子
