
[00:00:00.000 --> 00:00:05.000]  各位靈性的姐妹早安
[00:00:05.000 --> 00:00:07.000]  很開心再次見到大家
[00:00:07.000 --> 00:00:11.000]  來到這個時候能夠和大家分享上帝的話
[00:00:11.000 --> 00:00:14.000]  今天我們會繼續看傳道書的經文
[00:00:14.000 --> 00:00:16.000]  記得上兩個禮拜之前
[00:00:16.000 --> 00:00:18.000]  林牧師和我們分享了
[00:00:18.000 --> 00:00:21.000]  傳道書第三章下半段的經文
[00:00:21.000 --> 00:00:23.000]  不知道大家還記不記得那個內容
[00:00:23.000 --> 00:00:25.000]  他給了我們一個很好的訊息
[00:00:25.000 --> 00:00:27.000]  一個很好的提醒
[00:00:27.000 --> 00:00:32.000]  我們如何面對世上一些不公義的處境
[00:00:32.000 --> 00:00:35.000]  而今天我們會去到傳道書的第四章
[00:00:35.000 --> 00:00:39.000]  我為今天的訊息定了一個主題
[00:00:39.000 --> 00:00:42.000]  就是為誰勞碌為誰亡
[00:00:42.000 --> 00:00:45.000]  看似都很容易回答這個問題
[00:00:45.000 --> 00:00:48.000]  我們知道我們都是為上帝而活
[00:00:48.000 --> 00:00:52.000]  我們知道我們應該是為祂而勞碌
[00:00:52.000 --> 00:00:55.000]  但就好像敬畏神這三個字一樣
[00:00:55.000 --> 00:00:57.000]  但我們卻深深體會到
[00:00:57.000 --> 00:01:00.000]  我們要走出來一點都不容易
[00:01:00.000 --> 00:01:03.000]  不過今天我們要進入經文之先
[00:01:03.000 --> 00:01:07.000]  也讓我們一起去看看第四章的結構
[00:01:07.000 --> 00:01:11.000]  第四章大概可以分成四個部分
[00:01:11.000 --> 00:01:15.000]  第一個部分就是社會中的欺壓現象
[00:01:15.000 --> 00:01:18.000]  就是一至三節
[00:01:18.000 --> 00:01:20.000]  第四至六節就是第二個部分
[00:01:20.000 --> 00:01:24.000]  就是工作上的一致彼此疾度的狀況
[00:01:24.000 --> 00:01:26.000]  七至十二就是第三部分
[00:01:26.000 --> 00:01:28.000]  就是一些孤單感覺
[00:01:28.000 --> 00:01:30.000]  在現實生活當中的孤單
[00:01:30.000 --> 00:01:32.000]  而第十三到第十六節
[00:01:32.000 --> 00:01:35.000]  就是政權的變幻無常
[00:01:35.000 --> 00:01:38.000]  這裡每一個部分是說什麼
[00:01:38.000 --> 00:01:40.000]  就是傳道者在日常生活
