
[00:00:00.000 --> 00:00:04.320]  (影片播放中)
[00:00:04.320 --> 00:00:07.040]  好,我再聽多一次
[00:00:07.040 --> 00:00:11.440]  我的經文是新漢語的版本
[00:00:11.440 --> 00:00:15.360]  耶穌聽見這消息就上船離開那裡
[00:00:15.360 --> 00:00:18.800]  私下到荒野之地
[00:00:18.800 --> 00:00:22.240]  在日本叫做曠野的地方
[00:00:22.240 --> 00:00:29.200]  群眾聽見就從各城步行來跟隨主耶穌
[00:00:29.200 --> 00:00:35.840]  耶穌就上岸看見一大群人憐憫他們
[00:00:35.840 --> 00:00:38.400]  治好了他們的病
[00:00:38.400 --> 00:00:42.960]  傍晚門徒來到耶穌那裡
[00:00:42.960 --> 00:00:46.400]  說這是荒野之地
[00:00:46.400 --> 00:00:50.640]  時後很晚了
[00:00:50.640 --> 00:00:54.640]  很晚的意思是要回去吃東西
[00:00:54.640 --> 00:00:57.600]  然後門徒就跟耶穌說
[00:00:57.600 --> 00:01:00.480]  不如打發群眾散去
[00:01:00.480 --> 00:01:02.720]  讓他們自己回家
[00:01:02.720 --> 00:01:08.800]  讓他們去村莊買自己的食物
[00:01:08.800 --> 00:01:10.800]  接著十六節
[00:01:10.800 --> 00:01:12.560]  耶穌的回應是
[00:01:12.560 --> 00:01:14.640]  他們不用離開
[00:01:14.640 --> 00:01:16.640]  你們給他們吃吧
[00:01:16.640 --> 00:01:18.160]  門徒就說
[00:01:18.160 --> 00:01:21.120]  我們這裡什麼都沒有
[00:01:21.120 --> 00:01:23.200]  大家知道剛才的場景是什麼
[00:01:23.200 --> 00:01:25.920]  是一個荒野的場景
[00:01:25.920 --> 00:01:27.360]  這裡什麼都沒有
[00:01:27.360 --> 00:01:29.920]  只有五個餅
[00:01:29.920 --> 00:01:31.360]  兩條魚
[00:01:31.360 --> 00:01:34.880]  耶穌就拿起來
[00:01:34.880 --> 00:01:38.480]  吩咐群眾坐在草地上
[00:01:38.480 --> 00:01:41.760]  自己拿起那五個餅和兩條魚
[00:01:41.760 --> 00:01:44.800]  看著天竺瀉了之後
[00:01:44.800 --> 00:01:48.080]  然後就張開大腿的門徒
[00:01:48.080 --> 00:01:50.560]  門徒就大腿群眾
[00:01:50.560 --> 00:01:52.640]  大家都吃了
[00:01:52.640 --> 00:01:54.800]  並且吃飽了
[00:01:54.800 --> 00:01:58.400]  他們剩下的零碎收拾起來
[00:01:58.400 --> 00:02:01.200]  就裝滿了十二個男子
[00:02:01.200 --> 00:02:04.880]  吃的人都沒有計算婦女和孩子
[00:02:04.880 --> 00:02:10.800]  光是男人就已經有五千人
[00:02:10.800 --> 00:02:14.080]  所以這個主題在聖經裡
[00:02:14.080 --> 00:02:15.840]  就算不同的版本
[00:02:15.840 --> 00:02:19.040]  都給一個神蹟的主題
[00:02:19.040 --> 00:02:23.440]  就是耶穌餵飽五千人的神蹟故事
[00:02:23.440 --> 00:02:25.680]  其實這個神蹟故事
[00:02:25.680 --> 00:02:30.480]  都很想跟大家分享兩樣主題
[00:02:30.480 --> 00:02:34.000]  其實我真的很想有圖片
[00:02:34.000 --> 00:02:37.440]  圖片對於我寫關這裡都很重要
[00:02:37.440 --> 00:02:41.600]  希望他講的時候都可以出來
[00:02:41.600 --> 00:02:42.960]  今天所講的
