
[00:00:00.000 --> 00:00:02.000]  早晨 鄭英姐妹
[00:00:02.000 --> 00:00:08.000]  好開心繼續跟大家分享啟示錄的信息
[00:00:08.000 --> 00:00:13.500]  今天我們基本上已經進入了神審判的最後篇章
[00:00:13.500 --> 00:00:16.000]  基本上就像看電影一樣 大結局
[00:00:16.000 --> 00:00:20.000]  大家都要用心去聽和去看
[00:00:20.000 --> 00:00:23.000]  上次我們18章的時候
[00:00:23.000 --> 00:00:26.000]  我們都提到大巴比倫城的慶福
[00:00:26.000 --> 00:00:28.000]  我相信大家都有印象
[00:00:28.000 --> 00:00:37.000]  19章2節的時候也提到神真實和公義的判斷
[00:00:37.000 --> 00:00:40.000]  結果是神徹底審判了
[00:00:40.000 --> 00:00:44.000]  用淫行敗壞世界的大淫婦
[00:00:44.000 --> 00:00:47.000]  接下來就是講到羔羊的婚宴
[00:00:47.000 --> 00:00:52.000]  凡出席羔羊婚宴的都是有福的
[00:00:52.000 --> 00:00:58.000]  19章5到7節又描述所有神的僕人
[00:00:58.000 --> 00:01:00.000]  犯敬畏他的人
[00:01:00.000 --> 00:01:04.000]  無論大大小小都要讚美我們的神
[00:01:04.000 --> 00:01:10.000]  這個是用歡喜快樂的方式將榮耀歸給我們的神
[00:01:10.000 --> 00:01:14.000]  鄭英姐妹 19章1到10節的經文
[00:01:14.000 --> 00:01:18.000]  明顯地和今天我們要提到的經文
[00:01:18.000 --> 00:01:22.000]  11節到21節的經文
[00:01:22.000 --> 00:01:28.000]  成為一個呼應和一個很強烈的對比
[00:01:28.000 --> 00:01:30.000]  呼應的是什麼呢?
[00:01:30.000 --> 00:01:35.000]  對應今天的經文11節到16節
[00:01:35.000 --> 00:01:37.000]  信徒是怎樣呢?
[00:01:37.000 --> 00:01:40.000]  一起歡喜快樂地去讚美神
[00:01:40.000 --> 00:01:44.000]  因為這是信徒盼望已久的日子
[00:01:44.000 --> 00:01:50.000]  羔羊耶穌基督以凱旋德性的君王的姿態
[00:01:50.000 --> 00:01:53.000]  呈現在眾跟隨者的面前
[00:01:53.000 --> 00:01:58.000]  並且這是勝利的訊息
[00:01:58.000 --> 00:02:01.000]  是終極的永遠的勝利
[00:02:01.000 --> 00:02:05.000]  所以這是最終的慶祝
[00:02:05.000 --> 00:02:08.000]  一個強烈的對比是什麼呢?
