
[00:00:00.000 --> 00:00:04.000]  (英文)
[00:00:04.000 --> 00:00:06.000]  Happy Father's Day!
[00:00:06.000 --> 00:00:08.000]  父親節!
[00:00:08.000 --> 00:00:10.000]  蒙恩!快樂!
[00:00:10.000 --> 00:00:14.000]  謝謝Pastor Paul用了很多時間去介紹我
[00:00:14.000 --> 00:00:16.000]  只有一個字,就是老
[00:00:16.000 --> 00:00:20.000]  當你差不多年紀的時候就有很多經歷
[00:00:20.000 --> 00:00:23.000]  然後神也很好,很多恩典給我們的
[00:00:23.000 --> 00:00:26.000]  一開始我就給你這個,好像有點不好
[00:00:26.000 --> 00:00:28.000]  我其實剛回到香港
[00:00:28.000 --> 00:00:31.000]  不用怕,我第九天的時候做了一個檢查
[00:00:31.000 --> 00:00:33.000]  是negative的
[00:00:33.000 --> 00:00:37.000]  OK,我還是戴著我們港府堂的口罩在那邊
[00:00:37.000 --> 00:00:40.000]  COVID-19把整個世界都反轉
[00:00:40.000 --> 00:00:44.000]  Pastor Paul邀請我的時候,我想了很久,禱告
[00:00:44.000 --> 00:00:46.000]  最後我用了這個主題
[00:00:46.000 --> 00:00:48.000]  親眼看見你
[00:00:48.000 --> 00:00:51.000]  當然這個你就是我們的神
[00:00:51.000 --> 00:00:53.000]  我真的經歷得很精彩
[00:00:53.000 --> 00:00:55.000]  好啦,你看看這個數字
[00:00:55.000 --> 00:01:00.000]  殺死人的全世界有五億四千多人確診
[00:01:00.000 --> 00:01:03.000]  另外還有死的人已經六百多人
[00:01:03.000 --> 00:01:06.000]  我們香港更不需要說了
[00:01:06.000 --> 00:01:08.000]  離世的有九千多人
[00:01:08.000 --> 00:01:12.000]  現在我們還在擔心第五波走不走的
[00:01:12.000 --> 00:01:14.000]  所以我常常在網上唱歌
[00:01:14.000 --> 00:01:18.000]  一同唱好歌把這個第五波唱走
[00:01:18.000 --> 00:01:20.000]  我們只有靠著天賦了
[00:01:20.000 --> 00:01:23.000]  那段時間,疫情剛開始的時候
[00:01:23.000 --> 00:01:26.000]  我其實是在紐約
[00:01:26.000 --> 00:01:28.000]  好像不懂
[00:01:28.000 --> 00:01:30.000]  2020年1月份的時候
[00:01:30.000 --> 00:01:33.000]  我也是邀請到那邊分享
[00:01:33.000 --> 00:01:37.000]  你是哪個教會來的,你請我我一定到的
[00:01:37.000 --> 00:01:40.000]  其他地方我不敢說,但是教會請我我一定到
[00:01:40.000 --> 00:01:43.000]  因為我去紐約的時候
[00:01:43.000 --> 00:01:46.000]  其實我不知道有冠狀肺炎,完全不知道
[00:01:46.000 --> 00:01:48.000]  但是在酒店裡面吃飯的時候
[00:01:48.000 --> 00:01:51.000]  哇,為什麼那麼病呢,全都病了
[00:01:51.000 --> 00:01:54.000]  整個大堂餐廳都病了
[00:01:54.000 --> 00:01:57.000]  到最後聽到原來有一個這樣的病毒
[00:01:57.000 --> 00:02:00.000]  我們就躺在酒店裡面不出去了
[00:02:00.000 --> 00:02:02.000]  後來我自己都病了差不多三個星期
[00:02:02.000 --> 00:02:05.000]  在紐約,我不知道紐約是不是COVID
[00:02:05.000 --> 00:02:07.000]  但是很感恩的
[00:02:07.000 --> 00:02:09.000]  我們遇到困難的時候
[00:02:09.000 --> 00:02:11.000]  原來神的恩典真的夠用
[00:02:11.000 --> 00:02:14.000]  所以到不同的地方去分享福音的時候
[00:02:14.000 --> 00:02:17.000]  很多人信主,每個人都很怕
[00:02:17.000 --> 00:02:20.000]  然後我就覺得這樣都不行
[00:02:20.000 --> 00:02:23.000]  因為他們什麼呼吸機都沒有了
[00:02:23.000 --> 00:02:26.000]  我是一個遊客,我不是美國人
[00:02:26.000 --> 00:02:28.000]  我是香港人,中國人
[00:02:28.000 --> 00:02:32.000]  然後我就覺得,怎麼排隊都不排到我了
[00:02:32.000 --> 00:02:34.000]  還是回家,我們有問題一定回家的
[00:02:34.000 --> 00:02:36.000]  然後我就回家了
[00:02:36.000 --> 00:02:39.000]  我在機場的時候,有一個自己很厲害的
[00:02:39.000 --> 00:02:42.000]  戴著一個很大的眼鏡
[00:02:42.000 --> 00:02:45.000]  然後一個3M的口罩,現在不許的
[00:02:45.000 --> 00:02:47.000]  這個很自私的口罩
[00:02:47.000 --> 00:02:50.000]  現在不許的,然後其他人的氣都吸不進來
[00:02:50.000 --> 00:02:53.000]  現在不許的,坐飛機千萬不要坐
[00:02:53.000 --> 00:02:56.000]  然後戴了一個口罩,然後一個雨衣
[00:02:56.000 --> 00:02:58.000]  我以為自己很厲害
[00:02:58.000 --> 00:03:01.000]  一到機場的時候,很多人都沒有口罩
[00:03:01.000 --> 00:03:05.000]  我用20美金買5個口罩,那個年代
[00:03:05.000 --> 00:03:07.000]  也買不到的那種
