
[00:00:00.000 --> 00:00:01.880]  我們回顧一下
[00:00:01.880 --> 00:00:05.320]  上次Auntie Winnie跟我們分享了
[00:00:05.320 --> 00:00:09.720]  我們人原來是需要休息的
[00:00:09.720 --> 00:00:16.000]  但可能有些人喜歡香港人很工作狂
[00:00:16.000 --> 00:00:17.000]  不用休息了
[00:00:17.000 --> 00:00:20.200]  一天到晚都要工作
[00:00:20.200 --> 00:00:23.360]  但上帝的設計是要我們休息
[00:00:23.360 --> 00:00:26.000]  並且祂給我們每一個人的生命
[00:00:26.000 --> 00:00:27.880]  是有一個目的的
[00:00:27.880 --> 00:00:29.120]  我們來到這個世界上
[00:00:29.120 --> 00:00:31.240]  每一個人都有一個呼喚
[00:00:31.240 --> 00:00:32.400]  有一個召命
[00:00:32.400 --> 00:00:34.800]  是上帝想我們去做
[00:00:34.800 --> 00:00:38.280]  去滿足地上的時間
[00:00:38.280 --> 00:00:40.200]  不知道大家能否找到
[00:00:40.200 --> 00:00:40.760]  找到沒有
[00:00:40.760 --> 00:00:42.560]  或者可能正在尋索
[00:00:42.560 --> 00:00:43.040]  沒有問題
[00:00:43.040 --> 00:00:46.800]  我們就是這個背十戒的探測者
[00:00:46.800 --> 00:00:51.120]  另外就是上帝在他的伊甸園裏面
[00:00:51.120 --> 00:00:52.280]  是有界限的
[00:00:52.280 --> 00:00:54.440]  這個地方是有界限的
[00:00:54.440 --> 00:00:59.160]  是否所有樹上的果子都可以吃呢?
[00:00:59.160 --> 00:00:59.920]  在伊甸園
[00:00:59.920 --> 00:01:02.040]  先問一下大家
[00:01:02.040 --> 00:01:03.480]  哪一棵是不能吃的?
[00:01:03.480 --> 00:01:05.920]  有一棵是不能吃的
[00:01:05.920 --> 00:01:07.440]  知善惡樹
[00:01:07.440 --> 00:01:12.640]  分辨善惡的樹上的果子是不能吃的
[00:01:12.640 --> 00:01:13.680]  是嗎?
[00:01:13.680 --> 00:01:16.440]  另外在下一版裏面我們都看到
[00:01:16.440 --> 00:01:18.240]  上次Winnie說到
[00:01:18.240 --> 00:01:22.200]  我們每一個都是上帝製造的
[00:01:22.200 --> 00:01:24.040]  我們每一個人都是獨特的
[00:01:24.040 --> 00:01:26.520]  所以我們其實是很寶貴的
[00:01:26.520 --> 00:01:29.480]  今天我們不只是一個沒有身體
[00:01:29.480 --> 00:01:31.400]  我們不是一個普通的人
[00:01:31.400 --> 00:01:34.120]  而是我們真的是上帝選擇
[00:01:34.120 --> 00:01:35.600]  他手製我們
[00:01:35.600 --> 00:01:40.280]  去看我們為很寶貴的一個人
[00:01:40.280 --> 00:01:43.040]  今天我想在這裏問大家一個問題
[00:01:43.040 --> 00:01:46.880]  誰是喜歡和人有連繫的?
[00:01:46.880 --> 00:01:48.120]  我舉手看看
[00:01:48.120 --> 00:01:49.720]  喜歡和人有連繫
[00:01:49.720 --> 00:01:52.120]  嘩,很少啊
[00:01:52.120 --> 00:01:53.640]  誰是不喜歡的?
[00:01:53.640 --> 00:01:55.200]  不要說不喜歡
[00:01:55.200 --> 00:01:58.640]  誰是比較喜歡自己一個
[00:01:58.640 --> 00:02:00.640]  會比較舒服的?
[00:02:00.640 --> 00:02:02.680]  不用太多聯繫的
[00:02:02.680 --> 00:02:05.200]  好,我現在給兩分鐘大家
[00:02:05.200 --> 00:02:08.080]  在你們的小組去討論一下
[00:02:08.080 --> 00:02:10.280]  為什麼你喜歡和人有連繫
[00:02:10.280 --> 00:02:13.280]  還有為什麼我不太喜歡和人有連繫
[00:02:13.280 --> 00:02:15.040]  好,兩分鐘給大家分享
[00:02:15.040 --> 00:02:16.280]  在你們的小組
[00:02:16.280 --> 00:02:17.320]  好,問一下這一組
[00:02:17.320 --> 00:02:20.840]  你是喜歡還是不喜歡和人有連繫的?
[00:02:20.840 --> 00:02:23.760]  要看那個人談不談得來
[00:02:23.760 --> 00:02:26.400]  如果談不來的話
[00:02:26.400 --> 00:02:28.000]  可能不喜歡和人有連繫
[00:02:28.000 --> 00:02:29.640]  但如果談得來的話
[00:02:29.640 --> 00:02:31.640]  也會想和人有連繫
[00:02:31.640 --> 00:02:34.080]  哦,即是取決於和人有連繫的
