
[00:00:00.000 --> 00:00:02.000]   Doing a great job.
[00:00:02.000 --> 00:00:04.000]   And he did a great job for us last week,
[00:00:04.000 --> 00:00:08.000]   telling us about the Father's heart, the Father's heart.
[00:00:08.000 --> 00:00:12.000]   And the Father so loved the world that he sent his one and only son,
[00:00:12.000 --> 00:00:17.000]   and that is Jesus, to us as an example for us.
[00:00:17.000 --> 00:00:21.000]   And today we're going to learn about Jesus and the leper.
[00:00:21.000 --> 00:00:24.000]   A couple years ago, I went to India.
[00:00:24.000 --> 00:00:27.000]   Actually, that was one of the mission trips I went to.
[00:00:27.000 --> 00:00:29.000]   Has anybody been to India before?
[00:00:29.000 --> 00:00:31.000]   You may have been to India before.
[00:00:31.000 --> 00:00:35.000]   And just like Russell Peter says, when you go to India,
[00:00:35.000 --> 00:00:37.000]   your senses come alive.
[00:00:37.000 --> 00:00:38.000]   Okay?
[00:00:38.000 --> 00:00:43.000]   Your sense of smell, the things you see, the things you hear.
[00:00:43.000 --> 00:00:48.000]   You could be crossing the road with goats and oxes,
[00:00:48.000 --> 00:00:51.000]   and the street just stops for goats.
[00:00:51.000 --> 00:00:55.000]   It's not for goats, for oxes, for cows.
[00:00:55.000 --> 00:01:02.000]   There's such poverty there as well, and it really opens your eyes and your ears.
[00:01:02.000 --> 00:01:06.000]   I remember one time I was riding the trains.
[00:01:06.000 --> 00:01:08.000]   Trains are a crazy experience as well.
[00:01:08.000 --> 00:01:10.000]   Have you been to one of the trains?
[00:01:10.000 --> 00:01:16.000]   Yeah, you have to, like, rush in and, like, basically body check your way in
[00:01:16.000 --> 00:01:18.000]   because there's lots of people.
[00:01:18.000 --> 00:01:20.000]   Imagine the MTR times 10.
[00:01:20.000 --> 00:01:21.000]   Okay?
[00:01:21.000 --> 00:01:23.000]   The MTR times 10.
[00:01:23.000 --> 00:01:27.000]   And to get out, you've got to push your way out near the door
[00:01:27.000 --> 00:01:30.000]   so that you get out the next exit
[00:01:30.000 --> 00:01:34.000]   because on the next exit, do you know who's coming in?
[00:01:34.000 --> 00:01:36.000]   Grandmas are just coming in.
[00:01:36.000 --> 00:01:37.000]   Grandpas are coming in.
[00:01:37.000 --> 00:01:39.000]   They don't care who's there.
