
[00:00:00.000 --> 00:00:05.000]  (看片尾)
[00:00:05.000 --> 00:00:09.000]  在我們馬可福音的講道系列
[00:00:09.000 --> 00:00:13.000]  上一次大家記得的話
[00:00:13.000 --> 00:00:16.000]  我們講到馬可福音第八章最後一段的時候
[00:00:16.000 --> 00:00:19.000]  是講到耶穌醫治蝦子
[00:00:19.000 --> 00:00:21.000]  還有耶穌的預言
[00:00:21.000 --> 00:00:24.000]  他在伯塞達醫好了蝦子
[00:00:24.000 --> 00:00:27.000]  然後他故意的問門徒
[00:00:27.000 --> 00:00:29.000]  人們說我是誰
[00:00:29.000 --> 00:00:33.000]  然後更重要的問題是你們說我是誰
[00:00:33.000 --> 00:00:36.000]  然後就告訴他們要怎麼樣做一個門徒
[00:00:36.000 --> 00:00:40.000]  那麼上次我們看到我們學了幾個重要的功課
[00:00:40.000 --> 00:00:42.000]  第一就是我們不但要看見
[00:00:42.000 --> 00:00:44.000]  更要看得準
[00:00:44.000 --> 00:00:46.000]  不只是要看見還要看得準
[00:00:46.000 --> 00:00:49.000]  不要像那個蝦子一樣開始的時候
[00:00:49.000 --> 00:00:53.000]  只看到人但是好像樹走來走去
[00:00:53.000 --> 00:00:54.000]  要看得準
[00:00:54.000 --> 00:00:56.000]  那麼第二就是讓我們看見
[00:00:56.000 --> 00:01:01.000]  我們即使看不見也可以求主使我們看見
[00:01:01.000 --> 00:01:05.000]  那是一個非常神不喜悅的地方
[00:01:05.000 --> 00:01:08.000]  但是竟然在那裡有一個人
[00:01:08.000 --> 00:01:11.000]  願意得到神的幫助的也能夠得到幫助
[00:01:11.000 --> 00:01:13.000]  所以我們不要對任何人
[00:01:13.000 --> 00:01:18.000]  任何我們的親友還沒有願意信主的失望
[00:01:18.000 --> 00:01:22.000]  我們要相信只要有人願意謙卑
[00:01:22.000 --> 00:01:24.000]  神是可以使他們看見的
[00:01:24.000 --> 00:01:27.000]  第三就是我們不但要看見耶穌的大能
[00:01:27.000 --> 00:01:31.000]  更要看見耶穌的真正的身份和使命
[00:01:31.000 --> 00:01:33.000]  不只是看他的大能而已
[00:01:33.000 --> 00:01:36.000]  能夠教五千人為寶
[00:01:36.000 --> 00:01:38.000]  五千人能夠教四千人為寶
[00:01:38.000 --> 00:01:41.000]  那麼就真正的使命跟身份
[00:01:41.000 --> 00:01:46.000]  是他跟他在十字架上為我們人犧牲有關的
[00:01:46.000 --> 00:01:48.000]  第四就是我們不但要信靠主
[00:01:48.000 --> 00:01:52.000]  更要學習捨己來跟從主
[00:01:52.000 --> 00:01:57.000]  今天我們要一起來看這段經文
[00:01:57.000 --> 00:02:01.000]  這段經文主席已經幫我們讀過了
