
[00:00:00.000 --> 00:00:02.000]  (字幕組: 請勿模仿)
[00:00:02.000 --> 00:00:06.160]  Hello 大家早晨
[00:00:06.160 --> 00:00:09.360]  又是我們學清崇拜的時間
[00:00:09.360 --> 00:00:12.480]  剛剛我們唱完詩歌之後
[00:00:12.480 --> 00:00:17.280]  現在又是來到我們講訊息的時間
[00:00:17.280 --> 00:00:22.080]  記不記得上一個月我們的主題是什麼呢?
[00:00:22.080 --> 00:00:23.480]  不記得?我告訴你
[00:00:23.480 --> 00:00:25.080]  是The Winner
[00:00:25.080 --> 00:00:31.800]  接下來八月我們也有一個新的系列
[00:00:31.800 --> 00:00:35.720]  這次我們回歸一些最基本
[00:00:35.720 --> 00:00:39.080]  我們要知道的基督教核心價值
[00:00:39.080 --> 00:00:41.720]  今天我們會講到
[00:00:41.720 --> 00:00:45.520]  到底什麼才是教會呢?
[00:00:45.520 --> 00:00:47.760]  教會到底是不是一個
[00:00:47.760 --> 00:00:55.200]  逢星期日大家一起來開心分享一個社交群組呢?
[00:00:55.200 --> 00:00:58.320]  我們透過今天在路加福音
[00:00:58.320 --> 00:01:03.000]  第十五章整章的經文來看看
[00:01:03.000 --> 00:01:06.280]  到底教會是什麼呢?
[00:01:06.280 --> 00:01:09.080]  其實這章如果對一些
[00:01:09.080 --> 00:01:12.240]  從小回教會回到大學的同學來說
[00:01:12.240 --> 00:01:15.360]  是一個很熟悉的三個故事
[00:01:15.360 --> 00:01:18.440]  但是耶穌透過這三個故事
[00:01:18.440 --> 00:01:20.360]  或者我們要比喻
[00:01:20.360 --> 00:01:22.680]  想告訴我們一些什麼呢?
[00:01:22.680 --> 00:01:25.680]  今天是我要和大家分享的
[00:01:25.680 --> 00:01:28.960]  而不是逐個故事去講它的內容
[00:01:28.960 --> 00:01:31.880]  它的內容我相信大家都很熟悉
[00:01:31.880 --> 00:01:35.120]  首先可能有些同學
[00:01:35.120 --> 00:01:38.200]  不太知道這三個故事講什麼
[00:01:38.200 --> 00:01:40.720]  我很快地略提一提
[00:01:40.720 --> 00:01:43.320]  第一個故事我們講到
[00:01:43.320 --> 00:01:46.800]  在《失而復得》當中的喜樂裏面
[00:01:46.800 --> 00:01:50.000]  第一個故事是十五章三到七節
[00:01:50.000 --> 00:01:53.520]  它講到沉迴失羊的喜樂
[00:01:53.520 --> 00:01:56.720]  講到牧羊人有一百隻羊
[00:01:56.720 --> 00:02:01.320]  在一百隻羊當中其中有一隻走失了
[00:02:01.320 --> 00:02:05.160]  牧羊人需要放下這九十九隻
[00:02:05.160 --> 00:02:06.840]  去找回牠
[00:02:06.840 --> 00:02:09.640]  這個比喻告訴我們
[00:02:09.640 --> 00:02:13.600]  這九十九隻羊是義人
[00:02:13.600 --> 00:02:15.960]  是不需要悔改的
[00:02:15.960 --> 00:02:20.640]  但是這隻羊找回失落的羊
[00:02:20.640 --> 00:02:24.560]  就是比喻成一個需要悔改的人
[00:02:24.560 --> 00:02:27.360]  在第七節這樣說
[00:02:39.360 --> 00:02:42.080]  看看這個圖片
[00:02:42.080 --> 00:02:44.720]  牧羊人找到這隻羊之後
[00:02:44.720 --> 00:02:47.720]  他和牠的關係變得更加密切
[00:02:47.720 --> 00:02:48.840]  為什麼?
[00:02:48.840 --> 00:02:52.560]  牠不再需要在草地上走
[00:02:52.560 --> 00:02:55.320]  他將牠揹在肩膀上
[00:02:55.320 --> 00:03:00.800]  因為他很開心能夠找到這失落的羊
[00:03:00.800 --> 00:03:03.440]  接下來我們又會看到
[00:03:03.440 --> 00:03:06.640]  一個沉迴失前的喜樂
[00:03:06.640 --> 00:03:10.720]  在第八到第十節短短的三節經文中
[00:03:10.720 --> 00:03:14.800]  講到這個婦女因為一個小錢
[00:03:14.800 --> 00:03:18.800]  而翻整整間屋每一個地方
[00:03:18.800 --> 00:03:22.440]  就是要賺這個錢
[00:03:22.440 --> 00:03:25.000]  這個錢在當時來說
[00:03:25.000 --> 00:03:28.920]  已經是屬於她一天的工資
[00:03:28.920 --> 00:03:32.600]  她賺到之後不單是她自己的開心
[00:03:32.600 --> 00:03:36.280]  還要和其他人一起開心
[00:03:36.280 --> 00:03:37.840]  最後一個比喻
[00:03:37.840 --> 00:03:41.680]  就是大家可能非常熟悉的
[00:03:41.680 --> 00:03:43.680]  就是浪子的比喻
[00:03:43.680 --> 00:03:46.080]  沉迴兒子的喜樂
[00:03:46.080 --> 00:03:48.160]  這個沉迴兒子的喜樂
[00:03:48.160 --> 00:03:52.640]  是一個當小兒子要爸爸分家產
[00:03:52.640 --> 00:03:55.880]  他分完之後又用盡了
[00:03:55.880 --> 00:03:58.440]  沒有錢的時候
[00:03:58.440 --> 00:04:02.640]  他要去幫人做故宮
[00:04:02.640 --> 00:04:05.160]  甚至要吃豬哨的時候
[00:04:05.160 --> 00:04:07.680]  他想起他的爸爸
[00:04:07.680 --> 00:04:12.840]  他怎樣不如回到爸爸那裡做工作
[00:04:12.840 --> 00:04:16.120]  於是他就回到爸爸那裡
[00:04:16.120 --> 00:04:17.520]  看看圖片那裡
[00:04:17.520 --> 00:04:20.360]  他爸爸不單沒有責怪他
[00:04:20.360 --> 00:04:25.160]  還將開雙手去迎接他回來
[00:04:25.160 --> 00:04:26.720]  這三個比喻
[00:04:26.720 --> 00:04:29.880]  都是一個告訴我們
[00:04:29.880 --> 00:04:33.800]  一個失而復得的喜樂
[00:04:33.800 --> 00:04:36.960]  三個比喻都有一個特點
[00:04:36.960 --> 00:04:39.760]  就是失而復得
[00:04:39.760 --> 00:04:42.720]  但頭兩個的失而復得
[00:04:42.720 --> 00:04:48.080]  都是人主動去尋找
[00:04:48.080 --> 00:04:50.080]  然後尋著他
[00:04:50.080 --> 00:04:52.760]  第三個是怎樣呢?
[00:04:52.760 --> 00:04:58.400]  是自己回到原本爸爸的家
[00:04:58.400 --> 00:05:03.480]  這也是失而復得的開心
[00:05:03.480 --> 00:05:10.480]  第二點是有秩序去編排
[00:05:10.480 --> 00:05:16.040]  作者是一個一個比喻去講
[00:05:16.040 --> 00:05:20.040]  其實講這三個比喻的時候
[00:05:20.040 --> 00:05:21.440]  發生什麼事呢?
[00:05:21.440 --> 00:05:24.320]  就是耶穌和一群瑞利人
[00:05:24.320 --> 00:05:30.360]  和一些認為不好的人一起吃飯
[00:05:30.360 --> 00:05:33.360]  而他和他吃飯的期間
[00:05:33.360 --> 00:05:36.680]  發利賽人不是因著
[00:05:36.680 --> 00:05:42.200]  怎樣去幫助瑞利人或不好的人
[00:05:42.200 --> 00:05:45.400]  而是想抽籤主耶穌
[00:05:45.400 --> 00:05:48.400]  為什麼要和這群人一起
[00:05:48.400 --> 00:05:52.360]  所以主耶穌就講了這三個比喻
[00:05:52.360 --> 00:05:56.600]  他的鋪排而且還是有秩序的
[00:05:56.600 --> 00:06:01.200]  由一百分之一、十分之一、二分之一
[00:06:01.200 --> 00:06:09.160]  他講到人的價值不單止是數目來代替
[00:06:09.160 --> 00:06:14.360]  或者不單止是用任何東西去比較
[00:06:14.360 --> 00:06:17.360]  去到人與人之間的關係
[00:06:17.360 --> 00:06:22.640]  那種價值不能用數字來表示
[00:06:22.640 --> 00:06:28.880]  其實這三個比喻到底和教會有什麼關係呢?
[00:06:28.880 --> 00:06:32.280]  教會到底是什麼呢?
[00:06:32.280 --> 00:06:35.280]  其實教會最重要的
[00:06:35.280 --> 00:06:37.880]  就好像這三個比喻所講的
[00:06:37.880 --> 00:06:43.080]  是要去找這群失落的人
[00:06:43.080 --> 00:06:46.600]  這群失落的人可能很多都是
[00:06:46.600 --> 00:06:51.800]  自己不知道自己做了很多錯的事
[00:06:51.800 --> 00:06:53.480]  或者不好的事
[00:06:53.480 --> 00:06:56.840]  甚至那種犯罪的事
[00:06:56.840 --> 00:07:00.280]  這群所謂的罪人或者犯罪的人
