
[00:00:00.000 --> 00:00:02.000]  (字幕組:我已經在等待了)
[00:00:02.000 --> 00:00:06.480]  很久沒見了
[00:00:06.480 --> 00:00:08.480]  大家聽到我的聲音吧
[00:00:08.480 --> 00:00:12.480]  沒想到沒見這麼久
[00:00:12.480 --> 00:00:15.200]  用這樣的方式和大家見面
[00:00:15.200 --> 00:00:19.000]  但是大家很有耐性地在等
[00:00:19.000 --> 00:00:21.000]  也很感謝敬拜隊
[00:00:21.000 --> 00:00:26.280]  用網上和大家敬拜
[00:00:26.280 --> 00:00:28.280]  都很特別,也很感動
[00:00:28.280 --> 00:00:32.280]  沒想到這麼久沒見的時候
[00:00:32.280 --> 00:00:34.280]  用這樣的方式和大家見面
[00:00:34.280 --> 00:00:36.280]  原因是前一陣子
[00:00:36.280 --> 00:00:38.280]  我們幾位牧者和mentor
[00:00:38.280 --> 00:00:40.280]  去了新加坡
[00:00:40.280 --> 00:00:42.280]  參觀這間教會
[00:00:42.280 --> 00:00:45.280]  這間教會叫Heart of God Church
[00:00:45.280 --> 00:00:48.280]  不過當我回來那天
[00:00:48.280 --> 00:00:51.280]  開始有點不舒服
[00:00:51.280 --> 00:00:54.280]  然後就確診到今天
[00:00:54.280 --> 00:00:57.280]  沒想到自己會病了11天
[00:00:57.280 --> 00:00:59.280]  還沒出關
[00:00:59.280 --> 00:01:01.280]  真的挺誇張的
[00:01:01.280 --> 00:01:05.280]  不過在這趟旅程中
[00:01:05.280 --> 00:01:08.280]  其實都很有果實
[00:01:08.280 --> 00:01:12.280]  特別是這間教會叫Heart of God Church
[00:01:12.280 --> 00:01:15.280]  是一間5000人的教會
[00:01:15.280 --> 00:01:18.280]  當中有很多年輕人
[00:01:18.280 --> 00:01:20.280]  因為他們的平均歲數
[00:01:20.280 --> 00:01:23.280]  好像是20歲,23歲左右
[00:01:23.280 --> 00:01:26.280]  所以有很多青少年人
[00:01:26.280 --> 00:01:29.280]  然後他相信下面那句statement
[00:01:29.280 --> 00:01:33.280]  我們相信年輕人不單是未來的棟樑
[00:01:33.280 --> 00:01:37.280]  不只是一個future, tomorrow
[00:01:37.280 --> 00:01:39.280]  也是今天的棟樑
[00:01:39.280 --> 00:01:41.280]  所以各位explorer
[00:01:41.280 --> 00:01:44.280]  不知道你會不會帶著這樣的信念
[00:01:44.280 --> 00:01:47.280]  你相不相信自己也能夠靠著上帝
[00:01:47.280 --> 00:01:52.280]  今天就能夠承擔起教會的使命和職責呢?
[00:01:52.280 --> 00:01:57.280]  你相不相信你能夠承擔起這個角色呢?
[00:01:57.280 --> 00:02:02.280]  當然我沒想過這個business trip
[00:02:02.280 --> 00:02:05.280]  需要冒著生命的危險
[00:02:05.280 --> 00:02:06.280]  但無論如何
[00:02:06.280 --> 00:02:10.280]  我相信今天即使要隔著這個屏幕見到大家
[00:02:10.280 --> 00:02:16.280]  我都相信聖靈會藉著今天的訊息和大家說話
[00:02:16.280 --> 00:02:20.280]  再次歡迎P6和John 忠
[00:02:20.280 --> 00:02:24.280]  一起sing in 學清崇拜
[00:02:24.280 --> 00:02:29.280]  上個月Pastor Tim跟我們分享了提摩太前書
[00:02:29.280 --> 00:02:34.280]  很棒,有Pastor Timothy跟我們講解三次書信
[00:02:34.280 --> 00:02:41.280]  從中我們認識到一個合神心意的教會或群體應該是怎樣
[00:02:41.280 --> 00:02:43.280]  而在這個月我們會跳一跳
[00:02:43.280 --> 00:02:45.280]  我們會看福音書
[00:02:45.280 --> 00:02:52.280]  聽聽主耶穌要我們成為一個怎樣的基督徒或侍奉者
[00:02:52.280 --> 00:02:57.280]  請聽我讀出馬太福音20章1至7節
[00:02:57.280 --> 00:03:01.280]  聽我讀出馬太福音20章1至7節
[00:03:01.280 --> 00:03:02.280]  他是這樣說的
[00:03:02.280 --> 00:03:09.280]  因為天國好比一家主人清早去到故人進他的葡萄園做工
[00:03:09.280 --> 00:03:13.280]  他和工人講定一天一個銀幣
[00:03:13.280 --> 00:03:16.280]  就打發他們進葡萄園去
[00:03:16.280 --> 00:03:18.280]  若在上午九點出去
[00:03:18.280 --> 00:03:21.280]  看見市場上還有行站的人
[00:03:21.280 --> 00:03:23.280]  就對那些人說
[00:03:23.280 --> 00:03:25.280]  你們都進葡萄園去
[00:03:25.280 --> 00:03:27.280]  我會給你們合理的工錢
[00:03:27.280 --> 00:03:29.280]  他們就進去了
[00:03:29.280 --> 00:03:33.280]  若在正午和下午三點又出去
[00:03:33.280 --> 00:03:35.280]  他也是這樣做
[00:03:35.280 --> 00:03:38.280]  然後若在下午的五點再出去
[00:03:38.280 --> 00:03:41.280]  他看見還有人站在那裡
[00:03:41.280 --> 00:03:42.280]  就問他們
[00:03:42.280 --> 00:03:45.280]  你們為何整天在這裏行站呢?
[00:03:45.280 --> 00:03:46.280]  他們就說
[00:03:46.280 --> 00:03:48.280]  因為沒有人顧我們
[00:03:48.280 --> 00:03:52.280]  他說你們也進葡萄園去
[00:03:52.280 --> 00:03:54.280]  這個故事很特別
[00:03:54.280 --> 00:03:56.280]  經文一開始就說
[00:03:56.280 --> 00:03:59.280]  這個是關乎天國的比喻
[00:03:59.280 --> 00:04:00.280]  天國的比喻
[00:04:00.280 --> 00:04:02.280]  即是耶穌要告訴我們
[00:04:02.280 --> 00:04:04.280]  天上帝的國度
[00:04:04.280 --> 00:04:07.280]  天國的國度應該是怎樣的
[00:04:07.280 --> 00:04:10.280]  背後的意思也就是告訴我們
[00:04:10.280 --> 00:04:14.280]  天上的國度和地上的國度是不一樣的
[00:04:14.280 --> 00:04:15.280]  有什麼不同?
[00:04:15.280 --> 00:04:17.280]  我們一起來看看
[00:04:17.280 --> 00:04:21.280]  首先這個比喻裏面的主人
[00:04:21.280 --> 00:04:23.280]  他說有一個葡萄園
[00:04:23.280 --> 00:04:27.280]  當時剛好是收割的季節
[00:04:27.280 --> 00:04:30.280]  所以這個主人或是園主
[00:04:30.280 --> 00:04:35.280]  需要大量的工人在葡萄園裏幫忙收割
[00:04:35.280 --> 00:04:37.280]  於是聖經就說
[00:04:37.280 --> 00:04:42.280]  他一大早就去市集請人上班
[00:04:42.280 --> 00:04:47.280]  當時很有可能是早上六點
[00:04:47.280 --> 00:04:48.280]  因為在古時候
[00:04:48.280 --> 00:04:51.280]  人們在日出就要上班
[00:04:51.280 --> 00:04:55.280]  可能是在早上日光
