
[00:00:00.000 --> 00:00:03.320]  各位X-Force,新年快樂
[00:00:03.320 --> 00:00:07.120]  可能有些X-Force不太認識我
[00:00:07.120 --> 00:00:10.080]  我是Karen,是College Group的Mentor
[00:00:10.080 --> 00:00:14.040]  很感謝Irene今天邀請我分享見證和訊息
[00:00:14.040 --> 00:00:16.200]  其實因為過了下星期
[00:00:16.200 --> 00:00:19.200]  我要暫時跟大家去美國讀神學
[00:00:19.200 --> 00:00:21.800]  所以就趁這個機會跟大家說一些
[00:00:21.800 --> 00:00:24.600]  真是close to my heart的說話
[00:00:24.600 --> 00:00:26.200]  幾個星期前
[00:00:26.200 --> 00:00:28.720]  我的College Girls就問我
[00:00:28.720 --> 00:00:32.440]  怎樣去找尋人生的方向
[00:00:32.440 --> 00:00:37.000]  以及怎樣可以維持對上帝的passion
[00:00:37.000 --> 00:00:40.200]  我rephrase一點他們的問題為
[00:00:40.200 --> 00:00:43.640]  怎樣尋找在上帝
[00:00:43.640 --> 00:00:45.640]  在你們生命裏的照明呢?
[00:00:45.640 --> 00:00:49.200]  我相信每一個對自己生命有要求
[00:00:49.200 --> 00:00:50.760]  和有期望的人
[00:00:50.760 --> 00:00:53.840]  其實都會想知道神在你們
[00:00:53.840 --> 00:00:55.880]  生命上的心意
[00:00:55.880 --> 00:00:59.840]  你們都不會想渾渾噩噩地過你的人生
[00:00:59.840 --> 00:01:03.120]  所以首先,甚麼是照明呢?
[00:01:03.120 --> 00:01:06.120]  神是我們的創造者
[00:01:06.120 --> 00:01:09.320]  我相信祂創造我們每一個人出來
[00:01:09.320 --> 00:01:10.560]  都有一個獨特的照明
[00:01:10.560 --> 00:01:13.240]  即是我有,你們每一個都有
[00:01:13.240 --> 00:01:18.200]  就好像人創造一個電飯煲出來
[00:01:18.200 --> 00:01:19.960]  是為了煮飯的
[00:01:19.960 --> 00:01:21.960]  人創造垃圾桶出來
[00:01:21.960 --> 00:01:23.240]  是去裝垃圾的
[00:01:23.240 --> 00:01:25.320]  人創造一張椅子出來
[00:01:25.320 --> 00:01:27.120]  是給你坐下來的
[00:01:27.120 --> 00:01:28.960]  其實人都是一樣的
[00:01:28.960 --> 00:01:32.480]  當神創造某些人
[00:01:32.480 --> 00:01:34.080]  全部人
[00:01:34.080 --> 00:01:37.040]  其實都會有我們每一個人的獨特使命
[00:01:37.040 --> 00:01:39.320]  例如有人會做老師
[00:01:39.320 --> 00:01:41.480]  有人會做醫生
[00:01:41.480 --> 00:01:42.960]  有人會做音樂家
[00:01:42.960 --> 00:01:44.160]  有人是傳導人
[00:01:44.160 --> 00:01:46.000]  我不知道你們有沒有想過
[00:01:46.000 --> 00:01:47.320]  在神的國裏面
[00:01:47.320 --> 00:01:50.240]  你是一個甚麼樣的人呢?
[00:01:50.240 --> 00:01:52.640]  現在不知道不要緊
[00:01:52.640 --> 00:01:53.520]  因為你們還小
[00:01:53.520 --> 00:01:57.320]  你可以慢慢去探索、去找
[00:01:57.320 --> 00:02:00.000]  還有一樣東西我發覺
[00:02:00.000 --> 00:02:01.800]  也是很特別的
[00:02:01.800 --> 00:02:04.440]  其實神創造的所有生物裏面
[00:02:04.440 --> 00:02:06.520]  你發現
[00:02:06.520 --> 00:02:08.320]  它們每一樣
[00:02:08.320 --> 00:02:09.320]  除了人
[00:02:09.320 --> 00:02:11.880]  都是可以好好地活出
[00:02:11.880 --> 00:02:13.800]  神給它的照明
[00:02:13.800 --> 00:02:17.120]  即是一隻猴子可能會做一隻猴子應該做的事
[00:02:17.120 --> 00:02:19.440]  狗又會做一隻狗應該做的事
[00:02:19.440 --> 00:02:20.920]  唯獨是人
[00:02:21.240 --> 00:02:24.560]  神給予我們自由選擇
[00:02:24.560 --> 00:02:26.680]  我們去做甚麼
[00:02:26.680 --> 00:02:30.120]  雖然祂有放一個心意在我們裏面
[00:02:30.120 --> 00:02:31.680]  祂給予我們自由選擇
[00:02:31.680 --> 00:02:34.360]  因為祂愛我們
[00:02:34.360 --> 00:02:38.320]  當我在你們差不多年紀的時候
[00:02:38.320 --> 00:02:39.720]  我還未認識神
[00:02:39.720 --> 00:02:40.880]  不過我也有想
[00:02:40.880 --> 00:02:43.120]  究竟我的人生有甚麼意義呢?
[00:02:43.120 --> 00:02:45.400]  其實想了很久又問了同學
[00:02:45.400 --> 00:02:47.720]  不過還是找不到答案
[00:02:47.720 --> 00:02:50.840]  唯有跟著世界
[00:02:50.840 --> 00:02:53.200]  認為好的東西去走
[00:02:53.200 --> 00:02:55.440]  我會做甚麼呢?
[00:02:55.440 --> 00:02:59.480]  不外乎都是希望成績好一點
[00:02:59.480 --> 00:03:01.480]  多拿幾個A
[00:03:01.480 --> 00:03:03.520]  考第一
[00:03:03.520 --> 00:03:05.480]  敬逐不同的獎
[00:03:05.480 --> 00:03:07.480]  擴大自己的曝光
[00:03:07.480 --> 00:03:09.720]  畢業後找一份好工作
[00:03:09.720 --> 00:03:11.760]  要做一個成功的人
[00:03:11.760 --> 00:03:13.480]  因為這些就是世界
[00:03:13.480 --> 00:03:15.480]  定義為好的東西
[00:03:15.480 --> 00:03:17.520]  我不知道你們想的是不是
[00:03:17.520 --> 00:03:18.560]  都是差不多
[00:03:18.560 --> 00:03:21.240]  每天上學放學
[00:03:21.240 --> 00:03:23.800]  想敬逐的東西是不是都是這樣呢?
[00:03:23.800 --> 00:03:25.320]  其實這些都是好的
[00:03:25.320 --> 00:03:27.120]  因為都是
[00:03:27.120 --> 00:03:28.560]  你們和我以前
[00:03:28.560 --> 00:03:31.240]  都是做一個學生的本份
[00:03:31.240 --> 00:03:34.240]  不過大概在我中四的時候
[00:03:34.240 --> 00:03:36.000]  有一個新發現
[00:03:36.000 --> 00:03:37.800]  其實以前一直都
[00:03:37.800 --> 00:03:40.880]  中四都很想去考
[00:03:40.880 --> 00:03:42.920]  試試考第一是怎樣的
[00:03:42.920 --> 00:03:44.400]  終於那年就考了
[00:03:44.400 --> 00:03:45.960]  我以為「嘩,成功了」
[00:03:46.000 --> 00:03:49.800]  一定會開心很久
[00:03:49.800 --> 00:03:52.000]  第一天其實真的很開心
[00:03:52.000 --> 00:03:54.440]  覺得自己很威風
[00:03:54.440 --> 00:03:55.960]  第二天
[00:03:55.960 --> 00:03:58.840]  都還有一點點開心
[00:03:58.840 --> 00:04:00.600]  但第三天
[00:04:00.600 --> 00:04:02.120]  我發覺
[00:04:02.120 --> 00:04:05.400]  原來好像甚麼事都沒有發生過
[00:04:05.400 --> 00:04:09.880]  又開始去追求一個目標
[00:04:09.880 --> 00:04:11.920]  當我靜下來的時候
[00:04:11.920 --> 00:04:13.160]  我有點驚訝
[00:04:13.160 --> 00:04:14.360]  我覺得
[00:04:14.360 --> 00:04:15.640]  「啊,這件事」
