
[00:00:00.000 --> 00:00:10.000]  丙姐妹妹曼樂,剛才很感動,我是第一次聽Henrietta姐妹分享她的見證
[00:00:10.000 --> 00:00:16.000]  其實我們人生總有很多是我們預期之外的東西
[00:00:16.000 --> 00:00:20.000]  因為信了耶穌不代表你一帆風順
[00:00:20.000 --> 00:00:26.000]  但是我們在任何你預計不到的困難
[00:00:26.000 --> 00:00:32.000]  甚至一些挑戰,甚至一些你認為好像是否絕路
[00:00:32.000 --> 00:00:37.000]  我們就在這些時候,我們更加考驗我們對神的信靠
[00:00:37.000 --> 00:00:44.000]  剛才我聽到姐妹很多句都是金句,而且是她親身的經歷
[00:00:44.000 --> 00:00:55.000]  我在禮拜四那天開完教會的會議,要講一些功課
[00:00:55.000 --> 00:01:01.000]  那個就是門裡,我們門裡有一本書,每一次我們大早的時候
[00:01:01.000 --> 00:01:08.000]  有五個課文,每一個課文裡面都有很多聖經
[00:01:08.000 --> 00:01:14.000]  當日我要看的一段是詩篇119篇
[00:01:14.000 --> 00:01:21.000]  我正正是剛剛收到徐武豪博士,他在我們當中講過很多次道
[00:01:21.000 --> 00:01:32.000]  他原來在一個郵輪的旅途裡面,我們得悉他感染了一個壞血病
[00:01:32.000 --> 00:01:42.000]  是很危險,他要在下一個港口,星期五的時間,他要做一個緊急的手術
[00:01:42.000 --> 00:01:50.000]  所以我到後來在當時看到的時候都是很擔心,但也都為他祈禱
[00:01:50.000 --> 00:02:00.000]  但正正上帝就透過一段經文,在詩篇119篇,153節到160節那一段
[00:02:00.000 --> 00:02:09.000]  我看到三次那段經文,154、156、159都提到將我救活
[00:02:09.000 --> 00:02:15.000]  原來神是有祂的話語和聖靈自己的帶領
[00:02:15.000 --> 00:02:21.000]  我也都將這段經文和我當日的靈修分享,我就送了給徐博士
[00:02:21.000 --> 00:02:28.000]  我很清楚是神提及,祂會照祂的話將我救活
[00:02:28.000 --> 00:02:35.000]  祂會照祂的典章將我救活,祂也會照祂的慈愛將我救活
[00:02:35.000 --> 00:02:41.000]  我將這三個經文應用在徐博士的身上,繼續為他祈禱
[00:02:41.000 --> 00:02:58.000]  請大家繼續為他禱告,因為他現在都是在一個危險的階段,我們求主繼續看顧保守,讓手術能夠順利
[00:02:58.000 --> 00:03:03.000]  我們打開今天的經文之先,我們一起再次祈禱
[00:03:11.000 --> 00:03:20.000]  祂的話語就滿有你自己的恩典,滿有你自己的能力,也都透過聖靈的光照,給我們心裡頭是有力量的
[00:03:20.000 --> 00:03:30.000]  無論我們每一天的挑戰多大,或者我們生活多勞累,最重要是讓我們懂得轉眼定徵在你的身上
