
[00:00:00.000 --> 00:00:04.480]  今天跟大家分享的這個彼得後書
[00:00:04.480 --> 00:00:06.840]  開頭的一個大段落
[00:00:06.840 --> 00:00:08.840]  而這個大段落
[00:00:08.840 --> 00:00:13.240]  可以說是彼得心目中裏面
[00:00:13.240 --> 00:00:17.840]  一個很重要的訊息
[00:00:17.840 --> 00:00:21.640]  甚至我們可以說是彼得的一個遺言
[00:00:21.640 --> 00:00:23.040]  一個訓誨
[00:00:23.040 --> 00:00:24.360]  為何這樣說呢?
[00:00:24.360 --> 00:00:26.840]  因為經文就是這樣告訴我們
[00:00:26.840 --> 00:00:28.840]  我們先來看看
[00:00:28.840 --> 00:00:30.840]  在這段的段落
[00:00:30.840 --> 00:00:32.840]  我們不是從第一節跟大家思想
[00:00:32.840 --> 00:00:34.840]  我試一下用倒敘法
[00:00:34.840 --> 00:00:36.840]  我們用後面看回頭
[00:00:36.840 --> 00:00:38.840]  在12節到15節
[00:00:38.840 --> 00:00:40.840]  彼得是怎樣說呢?
[00:00:40.840 --> 00:00:42.840]  我們一起讀一次好不好?
[00:00:42.840 --> 00:00:46.840]  他說:雖然你們已經知道這些事
[00:00:46.840 --> 00:00:50.840]  並且在你們已有的真道上得到堅固
[00:00:50.840 --> 00:00:55.840]  我還是要常常提醒你們這些事
[00:00:55.840 --> 00:00:58.840]  究竟這些是甚麼事呢?
[00:00:58.840 --> 00:01:00.840]  在這裏先賣個關子
[00:01:00.840 --> 00:01:03.840]  因為這些事就是我們今天所要看的經文
[00:01:03.840 --> 00:01:05.840]  那個最重要的部份
[00:01:05.840 --> 00:01:09.840]  是彼得心裏面一直都記掛著的東西
[00:01:09.840 --> 00:01:11.840]  所以他不能不說
[00:01:11.840 --> 00:01:13.840]  他也知道
[00:01:13.840 --> 00:01:15.840]  他的交代就是
[00:01:15.840 --> 00:01:17.840]  他就快離世
[00:01:17.840 --> 00:01:18.840]  我們一起讀
[00:01:18.840 --> 00:01:22.840]  我認為趁我還在這帳篷的時候
[00:01:22.840 --> 00:01:24.840]  應該激發你們的記憶
