
[00:00:00.000 --> 00:00:04.000]  好,謝謝Markie,希望姐妹平安。
[00:00:04.000 --> 00:00:08.000]  感謝神讓我們能夠再次聽祂的話語,
[00:00:08.000 --> 00:00:10.000]  讓我們一起同心禱告。
[00:00:10.000 --> 00:00:13.000]  天父上帝,我們滿心感謝讚美祢。
[00:00:13.000 --> 00:00:16.000]  我們每一次相聚在這裡的時候,
[00:00:16.000 --> 00:00:19.000]  祢總是把祢的話語打開,
[00:00:19.000 --> 00:00:24.000]  讓我們都是從祢自己的真理得到很多的激勵、提醒。
[00:00:24.000 --> 00:00:29.000]  主啊,我們求祢讓我們的心在這個時候成為一片好土,
[00:00:29.000 --> 00:00:33.000]  祢自身啊,祢的話語對我們有特別的幫助。
[00:00:33.000 --> 00:00:38.000]  主啊,我們相信主啊,祢的話語一出去,就不會落空而收回。
[00:00:38.000 --> 00:00:43.000]  主啊,但是聽到的人,需要帶著一顆謙卑的心來領受祢自己。
[00:00:43.000 --> 00:00:47.000]  要對我們眾人說的話,也要對我們每一個人,
[00:00:47.000 --> 00:00:51.000]  個別的人在個別的處境上所聽到的話。
[00:00:51.000 --> 00:00:55.000]  求祢幫助我們,禱告奉耶穌基督聖名祈求,Amen。
[00:00:55.000 --> 00:01:00.000]  好的,我們又回到初期教會的生命改變講道系列。
[00:01:00.000 --> 00:01:04.000]  那麼我們要了解耶穌基督升天之後,
[00:01:04.000 --> 00:01:10.000]  第一代的教會,他們在世界上做了什麼事情,上帝做了什麼事情,
[00:01:10.000 --> 00:01:15.000]  以致我們知道初期教會所奠定下的一些屬靈原則,
[00:01:15.000 --> 00:01:19.000]  怎麼樣成為我們今天繼續帶領教會前走的時候,
[00:01:19.000 --> 00:01:22.000]  要怎麼樣按著神的心意來成長。
[00:01:22.000 --> 00:01:31.000]  那麼每逢佳節,我們剛過了一個中秋節,今天又是國慶日,
[00:01:31.000 --> 00:01:34.000]  所以每逢佳節是怎樣呢?
[00:01:34.000 --> 00:01:39.000]  每逢佳節是胖兩斤,是嗎?
[00:01:39.000 --> 00:01:45.000]  大家不斷不斷地吃吃吃,也被撕清了。
[00:01:45.000 --> 00:01:51.000]  那麼希望大家有機會跟家人在一起的時候,
[00:01:51.000 --> 00:01:55.000]  你是一個比去年更美好的見證。
[00:01:55.000 --> 00:02:01.000]  你說話更加的溫柔,你關心人有更加多的愛心。
[00:02:01.000 --> 00:02:08.000]  那麼講到吃,猶太人有一個食物的節禁的條例,
[00:02:08.000 --> 00:02:11.000]  所以今天這段經文大家剛剛讀的,
[00:02:11.000 --> 00:02:14.000]  就是彼得他經歷一個很特別的異象,
[00:02:14.000 --> 00:02:18.000]  就是突然間他看到上帝叫他吃很多,
[00:02:18.000 --> 00:02:22.000]  包括猶太人覺得不應該吃的食物。
[00:02:22.000 --> 00:02:26.000]  所以這段經文非常有意思。
[00:02:26.000 --> 00:02:28.000]  我們要很感謝路加醫生,
[00:02:28.000 --> 00:02:33.000]  路加醫生在兩千年前就聖靈感動他,
[00:02:33.000 --> 00:02:38.000]  把發生在兩千多年前的這件事情仔細地寫下來,
[00:02:38.000 --> 00:02:44.000]  以致我們今天才會知道大概兩千多年前發生什麼事情,
[00:02:44.000 --> 00:02:47.000]  然後裡面有什麼屬靈的功課我們可以學習的。
[00:02:47.000 --> 00:02:49.000]  我們一起來探討。
[00:02:49.000 --> 00:02:52.000]  那麼這段經文,今天我給大家,
[00:02:52.000 --> 00:02:54.000]  讓主席帶領大家讀的,
[00:02:54.000 --> 00:02:57.000]  只是這整張經文的一小段,
[00:02:57.000 --> 00:03:01.000]  因為整篇經文太長了,一節到47節,
[00:03:01.000 --> 00:03:03.000]  所以太長了。
[00:03:03.000 --> 00:03:08.000]  不過我今天會用整段的經文來跟大家分享,
[00:03:08.000 --> 00:03:10.000]  七個重要的生命功課。
[00:03:10.000 --> 00:03:12.000]  不過剛才大家讀一讀,
[00:03:12.000 --> 00:03:14.000]  你就感受到彼得他經歷過什麼。
[00:03:14.000 --> 00:03:17.000]  不過我還是得跟大家說一說,
[00:03:17.000 --> 00:03:19.000]  這第十章的內容的情節,
[00:03:19.000 --> 00:03:22.000]  希望你比較容易地去跟到,
[00:03:22.000 --> 00:03:28.000]  兩千多年前發生的一件影響教會很大的一件事情。
[00:03:28.000 --> 00:03:30.000]  第一就是哥尼牛,
[00:03:30.000 --> 00:03:34.000]  有一個人叫哥尼牛,Colinius,
[00:03:34.000 --> 00:03:36.000]  他是誰呢?
[00:03:36.000 --> 00:03:38.000]  他是一個羅馬的百夫長,
[00:03:38.000 --> 00:03:42.000]  就是一個軍階比較高的軍官。
[00:03:42.000 --> 00:03:45.000]  在凱撒利亞這個地方,
[00:03:45.000 --> 00:03:51.000]  凱撒利亞是當時候羅馬政府,
[00:03:51.000 --> 00:03:55.000]  羅馬帝國,羅馬政府管轄的猶大省,
[00:03:55.000 --> 00:03:58.000]  這個地方的一個首府。
[00:03:58.000 --> 00:04:02.000]  所以這裡是重軍在這裡安頓,
[00:04:02.000 --> 00:04:04.000]  然後在那裡的軍人,
[00:04:04.000 --> 00:04:08.000]  沒有一個不被猶太人所痛恨的。
[00:04:08.000 --> 00:04:13.000]  因為他們要管得好,肯定是手段強硬,
[00:04:13.000 --> 00:04:15.000]  所以非常威嚴。
[00:04:15.000 --> 00:04:18.000]  然後在兵事裡面當然也有一些貪污,
[00:04:18.000 --> 00:04:19.000]  什麼都有,
[00:04:19.000 --> 00:04:25.000]  但是軍官很受人家敬畏。
[00:04:25.000 --> 00:04:27.000]  有一個人就叫哥尼牛,
[00:04:27.000 --> 00:04:30.000]  他是一個羅馬人,
[00:04:30.000 --> 00:04:35.000]  他是在那裡做百夫長。
[00:04:35.000 --> 00:04:37.000]  他雖然是個百夫長,
[00:04:37.000 --> 00:04:40.000]  但是他是一個敬畏神的人。
[00:04:40.000 --> 00:04:41.000]  對猶太人來說,
[00:04:41.000 --> 00:04:45.000]  有些外邦人,他們不是猶太人,
[00:04:45.000 --> 00:04:49.000]  但是他們對猶太教的神,
[00:04:49.000 --> 00:04:53.000]  是相當的欣賞、敬畏、認同。
[00:04:53.000 --> 00:04:57.000]  所以他們也會向神來禱告。
[00:04:57.000 --> 00:05:03.000]  當時候猶太人就把這些人叫做敬畏神的人,
[00:05:03.000 --> 00:05:05.000]  God-fearers,
[00:05:05.000 --> 00:05:07.000]  他們把他叫做God-fearers。
[00:05:07.000 --> 00:05:09.000]  所以聖經就這樣記載這個人,
[00:05:09.000 --> 00:05:11.000]  就是一個敬畏神的人。
[00:05:11.000 --> 00:05:13.000]  他就禱告的時候,
[00:05:13.000 --> 00:05:15.000]  蒙到主的指示,
[00:05:15.000 --> 00:05:17.000]  上帝給他一個指示什麼呢?
[00:05:17.000 --> 00:05:21.000]  上帝讓他去把彼得叫來。
[00:05:21.000 --> 00:05:25.000]  哥尼牛不認識彼得,
[00:05:25.000 --> 00:05:28.000]  所以這段經文你回去讀的時候,
[00:05:28.000 --> 00:05:31.000]  十二行傳第十章,Chapter 10,
[00:05:31.000 --> 00:05:33.000]  裡面就講到,
[00:05:33.000 --> 00:05:36.000]  上帝要叫他去哪裡呢?
[00:05:36.000 --> 00:05:38.000]  去找彼得。
