
[00:00:00.000 --> 00:00:01.760]  好,各位explorer早安
[00:00:01.760 --> 00:00:04.600]  今天我的主題叫做人生最大的錯覺
[00:00:04.600 --> 00:00:09.040]  中學時期,我是一個對網絡都挺沉迷的
[00:00:09.040 --> 00:00:15.200]  我都挺喜歡上不同的論壇,不同的討論區去看一下一些我覺得有趣的post
[00:00:15.200 --> 00:00:19.520]  當中有一個我覺得挺有印象的post
[00:00:19.520 --> 00:00:23.080]  它就叫做人生三大錯覺
[00:00:23.080 --> 00:00:24.840]  先不要給大家看
[00:00:24.840 --> 00:00:27.560]  大家覺得人生你通常有什麼錯覺呢?
[00:00:27.560 --> 00:00:33.000]  你們自己會不會有時候會凝視著,有些誤會,有些錯覺
[00:00:33.000 --> 00:00:37.440]  跟大家說說吧,這個可能你們沒聽過,可能你們比較年輕
[00:00:37.440 --> 00:00:40.800]  第一個錯覺,它就叫做手機響了
[00:00:40.800 --> 00:00:45.200]  現在你們手中拿著的手機,或者你們放在旁邊的手機
[00:00:45.200 --> 00:00:47.920]  你們會不會經常凝視著,覺得它響了呢?
[00:00:47.920 --> 00:00:52.640]  但是明明你在褲袋拿出來的時候,它是沒有人找你的
[00:00:52.640 --> 00:00:54.840]  不知道你們有沒有這個情況
[00:00:54.840 --> 00:00:57.560]  第二個,這個可能你們比較常出現
[00:00:57.560 --> 00:00:59.160]  第二個,照我能反殺
[00:00:59.160 --> 00:01:03.840]  你們自己通常玩的遊戲,例如你們喜歡玩一些
[00:01:03.840 --> 00:01:07.480]  Mario Star,或者其他的mobile game
[00:01:07.480 --> 00:01:11.120]  可能你只剩下一滴血的時候,你就會想嘗試
[00:01:11.120 --> 00:01:15.160]  我要試一下,我一滴血都能贏到它,我這麼厲害,我一定能贏到它
[00:01:15.160 --> 00:01:19.080]  但是其實可能最後你還是會輸
[00:01:19.080 --> 00:01:23.400]  第三個錯覺,就是它喜歡我
[00:01:23.400 --> 00:01:25.800]  這是人生第三大的錯覺
[00:01:25.800 --> 00:01:29.720]  經常都會出現的,就是今天我跟他聊天
[00:01:29.720 --> 00:01:32.240]  他竟然跟我聊天,他竟然回應我
[00:01:32.240 --> 00:01:35.200]  他竟然借了一張紙巾給我
[00:01:35.200 --> 00:01:37.600]  他看到我可能要滲鼻涕,他借了一張紙巾給我
[00:01:37.600 --> 00:01:40.400]  他是不是喜歡我呢?
[00:01:40.400 --> 00:01:45.280]  可能這些錯覺對於你們來說都已經不重要了
[00:01:45.280 --> 00:01:51.280]  但是原來我們人生當中,有多一個錯覺是第四大的錯覺
[00:01:51.280 --> 00:01:55.920]  經常影響我們跟上帝如何相交
[00:01:55.920 --> 00:01:59.760]  甚至影響我們屬靈的成長
[00:01:59.760 --> 00:02:01.560]  到底這個錯覺是什麼呢?
[00:02:01.560 --> 00:02:06.480]  我們如何按照這個錯覺,將它修正過來
