
[00:00:00.000 --> 00:00:03.080]  今日講題是起行與安寧
[00:00:03.080 --> 00:00:06.500]  是文掃記的第十章
[00:00:06.500 --> 00:00:10.960]  我不知道大家有沒有喜歡去日本旅行
[00:00:10.960 --> 00:00:13.560]  我們和家人都喜歡的
[00:00:13.560 --> 00:00:17.860]  上個月尾適逢我兒子放假去了幾天
[00:00:17.860 --> 00:00:20.940]  日本有些很有趣的文化
[00:00:20.940 --> 00:00:22.660]  我不知道你有沒有體驗過
[00:00:22.660 --> 00:00:25.820]  我只懂得幾句日文
[00:00:25.820 --> 00:00:37.820]  和大家一樣「あの」「おはよう」「さようなら」「ありがとう」
[00:00:37.820 --> 00:00:39.240]  就是這幾樣
[00:00:39.240 --> 00:00:40.820]  但每一次去到日本
[00:00:40.820 --> 00:00:45.500]  我覺得日本人常常都覺得我們懂日文
[00:00:45.500 --> 00:00:47.780]  會說很長的話
[00:00:47.780 --> 00:00:49.300]  我記得這次他也是
[00:00:49.300 --> 00:00:51.920]  一去到其中一個酒店
[00:00:51.920 --> 00:00:53.720]  很好的接待 很有禮貌
[00:00:53.720 --> 00:00:56.220]  好像說「みなさん、よこそ」
[00:00:56.220 --> 00:00:57.680]  我當然不知道他在說什麼
[00:00:57.680 --> 00:00:59.020]  我也是亂說的
[00:00:59.020 --> 00:01:05.360]  然後他繼續說「かんやた、よこしゅ」
[00:01:05.360 --> 00:01:08.660]  我就很有禮貌地扮明白
[00:01:08.660 --> 00:01:12.860]  他當然知道我不明白
[00:01:12.860 --> 00:01:14.320]  然後他說到重點
[00:01:14.320 --> 00:01:16.460]  重點就是他說「Welcome」
[00:01:16.460 --> 00:01:18.460]  突然間聽到我明白的東西
[00:01:18.460 --> 00:01:20.460]  然後他再說一句「Dinner」
[00:01:20.460 --> 00:01:22.460]  我明白了 剛剛肚子餓
[00:01:22.460 --> 00:01:25.720]  然後他又繼續說日文
[00:01:25.720 --> 00:01:30.340]  很有趣「よこしゅ」「のしんかん」
[00:01:30.340 --> 00:01:31.720]  我又當然不知道他在說什麼
[00:01:31.720 --> 00:01:33.720]  「Dinner time」
[00:01:33.720 --> 00:01:36.600]  「6.30」 解決了我的問題
[00:01:36.600 --> 00:01:38.600]  很開心 我繼續看
