
[00:00:00.000 --> 00:00:04.000]  (主持人: 各位弟兄姊妹早安)
[00:00:04.000 --> 00:00:05.280]  各位弟兄姊妹早安
[00:00:05.280 --> 00:00:09.000]  很高興再一次在網上跟大家一齊敬拜
[00:00:09.000 --> 00:00:12.200]  我相信在疫情仍然肆虐的時候
[00:00:12.200 --> 00:00:13.680]  我們可以繼續敬拜
[00:00:13.680 --> 00:00:16.400]  看到身體很值得感恩
[00:00:16.400 --> 00:00:21.000]  主耶穌當他在地上有一次用果子做一個比喻
[00:00:21.000 --> 00:00:22.600]  來教導他的門徒的時候
[00:00:22.600 --> 00:00:23.600]  他提到
[00:00:23.600 --> 00:00:26.000]  他說真正屬神的人
[00:00:26.000 --> 00:00:28.600]  在他的生命當中會結出屬靈的果子
[00:00:28.600 --> 00:00:30.000]  是對人有幫助的
[00:00:30.000 --> 00:00:30.800]  有好處的
[00:00:30.800 --> 00:00:33.800]  但是有一些假裝屬神的人
[00:00:33.800 --> 00:00:35.400]  但是他們結出的果子
[00:00:35.400 --> 00:00:36.200]  他們的行為
[00:00:36.200 --> 00:00:37.600]  讓我們看到
[00:00:37.600 --> 00:00:40.000]  他所做的其實是不合神的心意
[00:00:40.000 --> 00:00:42.000]  主耶穌就跟他們說
[00:00:42.000 --> 00:00:44.000]  你們要防備假先知
[00:00:44.000 --> 00:00:46.600]  因為這些假先知來到的目的
[00:00:46.600 --> 00:00:48.800]  是他們外面披著羊皮
[00:00:48.800 --> 00:00:51.000]  裡面是殘暴的豺狼
[00:00:51.000 --> 00:00:53.000]  在《馬拉福音》第七章這樣說
[00:00:53.000 --> 00:00:54.400]  耶穌這樣說的時候
[00:00:54.400 --> 00:00:56.400]  是提醒當時跟從他的門徒
[00:00:56.400 --> 00:00:58.000]  就說他們要小心
[00:00:58.000 --> 00:01:01.600]  因為這些殘暴的豺狼披著羊皮
[00:01:01.600 --> 00:01:03.800]  進入羊群子一個目的
[00:01:03.800 --> 00:01:05.400]  就是擲飛而逝
[00:01:05.400 --> 00:01:07.800]  找機會傷害這些羊
[00:01:07.800 --> 00:01:11.400]  後來耶穌到了《馬拉福音》二十四章
[00:01:11.400 --> 00:01:14.400]  來到跟門徒講論對末世的情況的時候
[00:01:14.400 --> 00:01:15.800]  他又來提醒門徒
[00:01:15.800 --> 00:01:18.600]  說:且有好些假先知起來
