
[00:00:00.000 --> 00:00:06.080]  各位早安,很高興有機會跟大家分享
[00:00:06.080 --> 00:00:11.080]  今天除了我之外,也有神學院的同學會一起分享
[00:00:11.080 --> 00:00:15.480]  而今天分享的主題是來自一個希臘文
[00:00:15.480 --> 00:00:17.480]  就是metamorphosis
[00:00:17.480 --> 00:00:21.280]  這個字的解作是改變
[00:00:21.280 --> 00:00:26.480]  如果我們看字典的話,它有兩個層面的不同
[00:00:26.480 --> 00:00:28.480]  第一個就是一種外在的改變
[00:00:28.480 --> 00:00:34.480]  如果大家記得在馬太福音的十七章
[00:00:34.480 --> 00:00:36.480]  就是講到耶穌登山變相
[00:00:36.480 --> 00:00:42.480]  當中的改變就是屬於這一種,就是一種外在的改變
[00:00:42.480 --> 00:00:49.480]  而除了外在的改變之外,它也可以代表一種內在的改變
[00:00:49.480 --> 00:00:54.480]  在哥倫多後書三章十八節提到
[00:00:54.480 --> 00:01:00.480]  基督徒藉著聖靈慢慢變得像耶穌一樣
[00:01:00.480 --> 00:01:03.480]  而這一種就是一種內在的改變
[00:01:03.480 --> 00:01:08.480]  也是我想跟大家分享的一種改變
[00:01:08.480 --> 00:01:14.480]  當中也有些人剛剛去了Let me see Jesus的營
[00:01:14.480 --> 00:01:18.480]  剛剛被兩個黑羽夾住了
[00:01:18.480 --> 00:01:22.480]  在營裡最後有一個環節
[00:01:22.480 --> 00:01:28.480]  就是叫大家在一張照片中寫下你和神的一個promise
[00:01:28.480 --> 00:01:33.480]  不知道大家這三天之後有沒有一些改變出現呢?
[00:01:33.480 --> 00:01:38.480]  可能三天都很短,很難看到有什麼改變
[00:01:38.480 --> 00:01:44.480]  不過我相信大家真的去努力去做你promise神的那件事
[00:01:44.480 --> 00:01:49.480]  你有一天會看到自己會做出一些很大的改變
[00:01:49.480 --> 00:01:52.480]  而提到有關內在生命的改變
[00:01:52.480 --> 00:02:00.480]  我就想跟大家分享在我讀神學的三年裡有什麼變化
[00:02:00.480 --> 00:02:05.480]  我在想這三年內在的生命有什麼變化
[00:02:05.480 --> 00:02:09.480]  我屬靈方便,我就在這裡數了
[00:02:09.480 --> 00:02:14.480]  首先我想這三年就是我做功課
[00:02:14.480 --> 00:02:24.480]  如果沒有讀神學,我也不會用三四天甚至一個星期的時間去看一節經文
[00:02:24.480 --> 00:02:27.480]  只是一節經文,已經用了我一個星期的時間
[00:02:27.480 --> 00:02:34.480]  我不停在想裡面說了什麼,有什麼解釋呢?
[00:02:34.480 --> 00:02:36.480]  不停地在想
[00:02:36.480 --> 00:02:44.480]  我也在做功課的一兩個月裡不停地去想那一段經文
[00:02:44.480 --> 00:02:49.480]  就像聖經所說的晝夜思想經文
[00:02:49.480 --> 00:02:53.480]  這些都是我人生中在讀神學之前沒有試過的
[00:02:53.480 --> 00:03:00.480]  我沒有試過用這麼多的時間放心思考
[00:03:00.480 --> 00:03:09.480]  我通常靈修,可能我們用三十分鐘已經看完那一節經文
[00:03:09.480 --> 00:03:15.480]  但是因為神學院的裝備時間我才可以這麼深入
[00:03:15.480 --> 00:03:20.480]  第二樣的改變就是有關全福音
[00:03:20.480 --> 00:03:24.480]  我參與了更多全福音的活動
[00:03:24.480 --> 00:03:33.480]  在神學院裡,每一個學生在頭一和第二年都要參與學校的報道團
[00:03:33.480 --> 00:03:40.480]  報道團是什麼呢?其實就是分了很多不同的小組去不同的地方去傳福音
[00:03:40.480 --> 00:03:45.480]  有些人可能會去醫院關心一些病人
[00:03:45.480 --> 00:03:49.480]  又或者有些同學會去中學
[00:03:49.480 --> 00:03:54.480]  而我就是參與了中學的福音活動
[00:03:54.480 --> 00:04:00.480]  那時候我差不多隔一兩個星期就會去中學一次
[00:04:00.480 --> 00:04:04.480]  幫他的團體帶一些活動,分享一些訊息
[00:04:04.480 --> 00:04:08.480]  這也是我在讀神學之前很小事
[00:04:08.480 --> 00:04:15.480]  我以前可能一年才會去一次老人院幫忙傳福音
[00:04:15.480 --> 00:04:22.480]  但是也是在神學院我才會這麼密集去參與福音的工作
[00:04:22.480 --> 00:04:28.480]  然後我再想,我還有什麼改變呢?
[00:04:28.480 --> 00:04:33.480]  可能就是一個很忙碌的生活
[00:04:33.480 --> 00:04:39.480]  就是我七天都接觸一些和基督信仰和基督教有關的東西
[00:04:39.480 --> 00:04:44.480]  就是一到五我就要上課上課做功課
[00:04:44.480 --> 00:04:47.480]  而星期六日我就要去實習
[00:04:47.480 --> 00:04:51.480]  這種密集是我以前真的沒有試過
[00:04:51.480 --> 00:04:55.480]  不論在學校,我都會想著要怎麼做功課
[00:04:55.480 --> 00:05:01.480]  可能和其他同學聊神學,或者聊聊如何講道等等不同的方向
[00:05:01.480 --> 00:05:08.480]  而星期六日可能就是著手去幫忙帶活動教主日學
[00:05:08.480 --> 00:05:16.480]  這些都是在我讀神學之前沒有這些經歷和情況
[00:05:16.480 --> 00:05:21.480]  我想這些都是很大的改變,是我以前沒有
[00:05:21.480 --> 00:05:27.480]  但是如果眼裡的人,可能你已經看到我的標題有個問號
[00:05:27.480 --> 00:05:34.480]  我在想,究竟我有這些是不是代表我的靈命有成長呢?
[00:05:34.480 --> 00:05:42.480]  是不是我花了夠多時間看聖經,或者我參與了很多傳福音的活動
[00:05:42.480 --> 00:05:50.480]  又或者我每天都好像很忙很忙,是不是代表我的靈命有成長呢?
