
[00:00:00.000 --> 00:00:04.000]  我們完成了我們的Romans系列
[00:00:04.000 --> 00:00:07.000]  我們Romans 1-16
[00:00:07.000 --> 00:00:09.000]  是15還是16?
[00:00:09.000 --> 00:00:11.000]  是完成了
[00:00:11.000 --> 00:00:14.000]  我們回到我們的
[00:00:14.000 --> 00:00:16.000]  以色列摩西的故事
[00:00:16.000 --> 00:00:18.000]  有沒有人記得我們之前是說了
[00:00:18.000 --> 00:00:20.000]  摩西和以色列的
[00:00:20.000 --> 00:00:22.000]  記不記得?有沒有人記得?
[00:00:22.000 --> 00:00:23.000]  記得,Jetta記得
[00:00:23.000 --> 00:00:25.000]  OK,一個記得,不錯
[00:00:25.000 --> 00:00:27.000]  我們現在要去
[00:00:27.000 --> 00:00:30.000]  我們看地圖
[00:00:30.000 --> 00:00:32.000]  以色列在哪裡
[00:00:32.000 --> 00:00:34.000]  是當奴隸的
[00:00:34.000 --> 00:00:35.000]  在哪裡?
[00:00:35.000 --> 00:00:36.000]  記不記得?
[00:00:36.000 --> 00:00:37.000]  是埃及
[00:00:37.000 --> 00:00:39.000]  誰去過埃及?
[00:00:39.000 --> 00:00:41.000]  有沒有人想去埃及?
[00:00:41.000 --> 00:00:44.000]  Yeah, who wants to see the pyramids?
[00:00:44.000 --> 00:00:46.000]  Come on, so nice
[00:00:46.000 --> 00:00:49.000]  以色列就在埃及
[00:00:49.000 --> 00:00:51.000]  埃及就在這裡
[00:00:51.000 --> 00:00:55.000]  大概以色列以前就在這裡
[00:00:55.000 --> 00:00:57.000]  以色列以前就在這裡
[00:00:57.000 --> 00:01:01.000]  那你覺得在埃及
[00:01:01.000 --> 00:01:04.000]  走去以色列會多久?
[00:01:04.000 --> 00:01:06.000]  你覺得會走多久?
[00:01:06.000 --> 00:01:09.000]  開車會多久?
[00:01:09.000 --> 00:01:11.000]  OK,八個小時
[00:01:11.000 --> 00:01:13.000]  誰覺得是多於八個小時?
[00:01:13.000 --> 00:01:15.000]  OK
[00:01:15.000 --> 00:01:17.000]  誰覺得少於八個小時?
[00:01:17.000 --> 00:01:19.000]  OK,我們看下一個頁面
[00:01:19.000 --> 00:01:21.000]  下一個頁面
[00:01:21.000 --> 00:01:23.000]  根據Google
[00:01:23.000 --> 00:01:25.000]  不是,下一個頁面
[00:01:25.000 --> 00:01:27.000]  再下一個頁面
[00:01:27.000 --> 00:01:29.000]  根據Google
[00:01:29.000 --> 00:01:32.000]  是九個小時五十五分鐘
[00:01:32.000 --> 00:01:35.000]  這個是有路的
[00:01:35.000 --> 00:01:38.000]  如果要走路
[00:01:38.000 --> 00:01:40.000]  看回上一個頁面
[00:01:40.000 --> 00:01:43.000]  就是145小時
[00:01:43.000 --> 00:01:45.000]  即是多少天?
[00:01:45.000 --> 00:01:46.000]  即是多少天?
[00:01:46.000 --> 00:01:48.000]  有沒有人懂得如何分辨?
[00:01:48.000 --> 00:01:50.000]  24
[00:01:50.000 --> 00:01:51.000]  六點多
[00:01:51.000 --> 00:01:53.000]  六天
[00:01:53.000 --> 00:01:55.000]  走六天
[00:01:55.000 --> 00:01:57.000]  但是
[00:01:57.000 --> 00:01:59.000]  以色列
[00:01:59.000 --> 00:02:01.000]  走多久?
[00:02:01.000 --> 00:02:04.000]  在森林才去到承諾之地
[00:02:04.000 --> 00:02:05.000]  多少天?
[00:02:05.000 --> 00:02:07.000]  40年
[00:02:07.000 --> 00:02:09.000]  為什麼走這麼久?
[00:02:09.000 --> 00:02:13.000]  是不是他們迷路?
[00:02:13.000 --> 00:02:18.000]  是不是他們很喜歡沙漠?
[00:02:18.000 --> 00:02:20.000]  所以留在那裡
[00:02:20.000 --> 00:02:23.000]  走來走去都走一個圈
[00:02:23.000 --> 00:02:25.000]  然後才走到去
[00:02:25.000 --> 00:02:28.000]  我們看以色列的可能路線
[00:02:28.000 --> 00:02:30.000]  就是下一個頁面
[00:02:30.000 --> 00:02:32.000]  可能路線在這裡
[00:02:32.000 --> 00:02:34.000]  OK,他在這裡
[00:02:34.000 --> 00:02:36.000]  出埃及
[00:02:36.000 --> 00:02:38.000]  然後紅海
[00:02:38.000 --> 00:02:41.000]  然後他走到山西
[00:02:41.000 --> 00:02:43.000]  可能在那裡
[00:02:43.000 --> 00:02:45.000]  現在我們看
[00:02:45.000 --> 00:02:49.000]  多數在11號那裡
[00:02:49.000 --> 00:02:52.000]  好,還沒開始看頁面之前
[00:02:52.000 --> 00:02:54.000]  我先問你一個問題
[00:02:54.000 --> 00:02:56.000]  你去旅行呢?
[00:02:56.000 --> 00:02:58.000]  記不記得去旅行的時候?
[00:02:58.000 --> 00:03:01.000]  如果你去旅行呢?
[00:03:01.000 --> 00:03:03.000]  你第一,去到那個城市
[00:03:03.000 --> 00:03:05.000]  去找什麼?
[00:03:05.000 --> 00:03:06.000]  OK
[00:03:06.000 --> 00:03:09.000]  OK,Pierre說去找廁所
[00:03:09.000 --> 00:03:13.000]  誰說第一是找廁所?
[00:03:13.000 --> 00:03:15.000]  Josea找廁所
[00:03:15.000 --> 00:03:16.000]  OK,找酒店
[00:03:16.000 --> 00:03:17.000]  誰說找酒店?
[00:03:17.000 --> 00:03:18.000]  去放鬆一下
[00:03:18.000 --> 00:03:20.000]  放下東西
[00:03:20.000 --> 00:03:22.000]  誰找酒店?
[00:03:22.000 --> 00:03:24.000]  OK,Winnie
[00:03:24.000 --> 00:03:27.000]  誰馬上去玩?
[00:03:27.000 --> 00:03:30.000]  如果不多東西就馬上去玩
[00:03:30.000 --> 00:03:34.000]  OK,你怎麼知道是我?
[00:03:34.000 --> 00:03:36.000]  誰找食物?
[00:03:36.000 --> 00:03:37.000]  Restaurant
[00:03:37.000 --> 00:03:39.000]  有沒有人會找Restaurant?
[00:03:39.000 --> 00:03:41.000]  OK,Gavin喜歡吃東西
[00:03:41.000 --> 00:03:45.000]  誰坐在這裡?
[00:03:45.000 --> 00:03:47.000]  OK,還有什麼?
[00:03:47.000 --> 00:03:50.000]  我們看以色列
[00:03:50.000 --> 00:03:54.000]  以色列出了埃及
[00:03:54.000 --> 00:03:56.000]  在森林裡遊蕩了
[00:03:56.000 --> 00:03:59.000]  然後他們看到一些新的城市
[00:03:59.000 --> 00:04:01.000]  他們看到新的城市
[00:04:01.000 --> 00:04:02.000]  他們找什麼呢?
[00:04:02.000 --> 00:04:05.000]  我們看Numbers 13
[00:04:05.000 --> 00:04:07.000]  我會讀英文
[00:04:07.000 --> 00:04:09.000]  然後主人對莫斯說
[00:04:09.000 --> 00:04:12.000]  「送一些人去探索肯定的土地
[00:04:12.000 --> 00:04:14.000]  我給他們的土地
[00:04:14.000 --> 00:04:18.000]  我給的土地是基督徒的
[00:04:18.000 --> 00:04:20.000]  從每個祖先的族群中
[00:04:20.000 --> 00:04:22.000]  送一個領導人的
[00:04:22.000 --> 00:04:24.000]  主人就叫莫斯說
[00:04:24.000 --> 00:04:28.000]  你猜猜幾個軍人出去
[00:04:28.000 --> 00:04:32.000]  那麼以色列有多少個族群?
[00:04:32.000 --> 00:04:33.000]  有多少個族群?
[00:04:33.000 --> 00:04:35.000]  12個族群
[00:04:35.000 --> 00:04:37.000]  12個耶穌的族群
[00:04:37.000 --> 00:04:42.000]  那麼莫斯就送了12個軍人
[00:04:42.000 --> 00:04:45.000]  或者說探索者出去
[00:04:45.000 --> 00:04:48.000]  然後當莫斯送他們去探索肯定的時候
[00:04:48.000 --> 00:04:49.000]  他就說
[00:04:49.000 --> 00:04:53.000]  「去尼格爾山上的山谷
[00:04:53.000 --> 00:04:55.000]  看看那裡的土地
[00:04:55.000 --> 00:04:57.000]  看看那裡的人是強壯還是弱壯
[00:04:57.000 --> 00:04:59.000]  是少數還是多數
[00:04:59.000 --> 00:05:01.000]  他們住在什麼樣的土地?
[00:05:01.000 --> 00:05:02.000]  是好是壞的?
