
[00:00:00.000 --> 00:00:02.000]  大姐姐們 早安
[00:00:02.000 --> 00:00:06.360]  今天我們繼續來看啟示錄的內容
[00:00:06.360 --> 00:00:10.520]  我們不知不覺已經看了十三章經文
[00:00:10.520 --> 00:00:14.520]  虎視已經發展到最後
[00:00:14.520 --> 00:00:17.720]  正邪對決的最後階段
[00:00:17.720 --> 00:00:19.720]  已經進入最後階段
[00:00:19.720 --> 00:00:23.920]  十二章講到大龍和虎人的爭戰
[00:00:23.920 --> 00:00:25.320]  大龍是什麼?
[00:00:25.320 --> 00:00:27.840]  大龍就是那古蛇
[00:00:27.840 --> 00:00:30.320]  名叫魔鬼又叫撒旦
[00:00:30.320 --> 00:00:33.320]  是迷惑普天下的
[00:00:33.320 --> 00:00:37.320]  聖經告訴我們邪惡的根源在哪裡
[00:00:37.320 --> 00:00:41.120]  邪惡的根源在魔鬼撒旦那裡
[00:00:41.120 --> 00:00:44.120]  自從人類在世界出現的時候
[00:00:44.120 --> 00:00:46.120]  撒旦就在迷惑人
[00:00:46.120 --> 00:00:47.720]  叫人離開上帝
[00:00:47.720 --> 00:00:50.120]  甚至是背叛上帝
[00:00:50.120 --> 00:00:52.120]  人類存在的一刻
[00:00:52.120 --> 00:00:56.520]  就需要在上帝和撒旦之間做選擇
[00:00:56.520 --> 00:01:00.320]  上帝沒有用他至高絕對的權能
[00:01:00.320 --> 00:01:02.320]  逼我們親近他
[00:01:02.320 --> 00:01:07.920]  撒旦也只能用非常間接、婉轉的方法
[00:01:07.920 --> 00:01:10.120]  叫人遠離上帝
[00:01:10.120 --> 00:01:14.320]  一切在乎人如何選擇
[00:01:14.320 --> 00:01:17.320]  人的取態是怎樣
[00:01:17.320 --> 00:01:19.520]  說回來
[00:01:19.520 --> 00:01:22.520]  為什麼世界有魔鬼撒旦存在呢?
[00:01:22.520 --> 00:01:24.520]  如果早就解決了就沒問題
[00:01:24.520 --> 00:01:30.320]  今天就沒時間和大家很詳細探討神學問題
[00:01:30.320 --> 00:01:32.320]  這個問題很複雜、不容易解答
[00:01:32.320 --> 00:01:35.520]  大概我們知道聖經一開始就說到
[00:01:35.520 --> 00:01:38.520]  伊甸園有一條會說話的蛇
[00:01:38.520 --> 00:01:43.520]  這條蛇比田野一切的走獸更狡猾
[00:01:43.520 --> 00:01:49.320]  這個世界一開始就有撒旦、有魔鬼、有惑人
[00:01:49.320 --> 00:01:52.520]  這是我們生存的一個前提
[00:01:52.520 --> 00:01:55.520]  是我們生存的一個現實
[00:01:55.520 --> 00:01:59.520]  有一個德國哲學家
[00:01:59.520 --> 00:02:02.520]  叫海德格‧馬丁‧海德格
[00:02:02.520 --> 00:02:04.520]  是20世紀一個很出名的哲學家
[00:02:04.520 --> 00:02:06.520]  他說了一番話
[00:02:06.520 --> 00:02:10.520]  就將整個西方哲學的方向扭轉了
[00:02:10.520 --> 00:02:14.520]  過去人是世界的中心
[00:02:14.520 --> 00:02:16.520]  人是認識這個世界
[00:02:16.520 --> 00:02:21.520]  人去分析、去了解、控制、使用這個世界
[00:02:21.520 --> 00:02:27.520]  世界只不過是人來分析、去理解、接觸一個物體、一個對象
[00:02:27.520 --> 00:02:30.520]  人就是那個認知的主體
[00:02:30.520 --> 00:02:32.520]  這是過去一直的看法
[00:02:32.520 --> 00:02:34.520]  但到了海德格的時候
[00:02:34.520 --> 00:02:36.520]  海德格說不是這樣的
[00:02:36.520 --> 00:02:41.520]  世界不是人來分析、使用、了解的一個對象
[00:02:41.520 --> 00:02:43.520]  世界是一個主體
[00:02:43.520 --> 00:02:47.520]  我們一出生就被拋進這個世界裏
[00:02:47.520 --> 00:02:52.520]  受這個世界各樣的事物、價值來影響
