
[00:00:00.000 --> 00:00:04.240]  希望姐妹平安,讓我們感恩,能夠一起來聽神的話語。
[00:00:04.240 --> 00:00:07.240]  那麼,新春期間我也選了這個題目,
[00:00:07.240 --> 00:00:10.740]  從愛我家到建立主愛的家。
[00:00:10.740 --> 00:00:14.500]  那麼,再次祝福大家新年快樂!
[00:00:14.500 --> 00:00:18.000]  那麼,新年的時候呢,有一樣東西是特別明顯的,
[00:00:18.000 --> 00:00:20.000]  就是我們的家。
[00:00:20.000 --> 00:00:25.500]  我們每次就是要過年夜辦的時候,我們要團圓,對吧?
[00:00:25.500 --> 00:00:29.000]  然後我們過年都很想大家團團圓圓的。
[00:00:29.000 --> 00:00:34.000]  然後我們在新的一年呢,我們很希望家人能夠和睦,
[00:00:34.000 --> 00:00:39.000]  我們很希望家庭能夠溫暖,我們能夠希望家道興旺。
[00:00:39.000 --> 00:00:43.500]  那麼,我們每個人很自然的都是愛我們的家的,對吧?
[00:00:43.500 --> 00:00:48.000]  那麼,但是我要跟大家一起思想一個問題,
[00:00:48.000 --> 00:00:53.000]  就是愛我家的最終目的是什麼呢?
[00:00:53.000 --> 00:00:55.000]  最終的目標是什麼呢?
[00:00:55.000 --> 00:00:58.500]  我們的家要走向何方呢?
[00:00:59.000 --> 00:01:04.500]  求神今天藉著這段經文來幫助我們得著祂的智慧。
[00:01:04.500 --> 00:01:10.000]  那麼,我們首先要問的就是我們要去什麼方向?
[00:01:10.000 --> 00:01:16.500]  到底我們愛這個家要愛到什麼一個景況、一個狀況?
[00:01:16.500 --> 00:01:18.000]  這才是關鍵的。
[00:01:18.000 --> 00:01:24.500]  那麼,今天講這段話的宣言,
[00:01:24.500 --> 00:01:28.000]  這個信仰的宣言的主角就是約書亞。
[00:01:28.000 --> 00:01:30.500]  我們都對他相當認識。
[00:01:30.500 --> 00:01:36.500]  不過,容許我簡單的再回顧一下約書亞他做了些什麼,他是誰?
[00:01:36.500 --> 00:01:40.500]  那麼,他的出生背景呢,大家很清楚,
[00:01:40.500 --> 00:01:46.500]  他是嫩的兒子,他是屬於以法蓮之派的。
[00:01:46.500 --> 00:01:52.500]  以法蓮之派是雅各的十二個兒子的哪一個兒子啊?
[00:01:52.500 --> 00:01:55.500]  約瑟啊,非常好啊。
[00:01:55.500 --> 00:02:02.000]  原名呢,他叫和蝦,後來被摩西改名叫做約書亞。
[00:02:02.000 --> 00:02:08.000]  那麼,他是個忠心的助手,他長期擔任摩西的助手啊。
[00:02:08.000 --> 00:02:13.000]  也是少數能夠上到希臘山與神會面的人。
[00:02:13.000 --> 00:02:16.500]  那麼,他也是信心的探子,
[00:02:16.500 --> 00:02:20.000]  記不記得在窺探迦南帝的時候,
[00:02:20.000 --> 00:02:25.500]  那麼,有探子去窺探那敵人到底是怎樣的。
[00:02:25.500 --> 00:02:30.000]  那麼,其他人都非常非常害怕,除了他和迦勒,
[00:02:30.000 --> 00:02:34.000]  力排眾議,堅信神能夠幫助以色列人得勝。
[00:02:34.000 --> 00:02:39.000]  他們雖然高大威猛,但是因為耶華在我們這邊,
[00:02:39.000 --> 00:02:42.000]  我們一定能夠贏他們,勝過他們。
[00:02:42.000 --> 00:02:45.500]  那麼,他也是繼承摩西的啊。
[00:02:45.500 --> 00:02:50.000]  摩西死後,約書亞被神揀選成為新一代的領袖,
[00:02:50.000 --> 00:02:54.000]  帶領百姓進入應許之地。
[00:02:54.000 --> 00:03:01.500]  那麼,第五,就是他是負責領導以色列人度過約旦河,
