
[00:00:00.000 --> 00:00:04.120]  我們會繼續努力,謝謝各位!
[00:00:05.000 --> 00:00:11.120]  弟兄姐妹平安,各位來陪你的親友參加他的入會禮,
[00:00:11.120 --> 00:00:14.160]  或者是喜禮的朋友們也平安。
[00:00:14.160 --> 00:00:18.520]  歡迎你們來到港福堂國語區的普通話崇拜。
[00:00:18.520 --> 00:00:23.600]  很感恩我們能夠一起回到教會崇拜。
[00:00:23.600 --> 00:00:26.720]  之前一直都不能夠,一直在網上。
[00:00:26.720 --> 00:00:29.040]  能夠回來才讓我們發現,
[00:00:29.040 --> 00:00:33.880]  原來有些我們當作是每個星期可以做的事情,
[00:00:33.880 --> 00:00:35.600]  不是理所當然的。
[00:00:35.600 --> 00:00:39.200]  我不知道你的生活中有沒有這樣的一個啓示呢?
[00:00:39.200 --> 00:00:43.240]  就是不是每一件事情都是理所當然的。
[00:00:43.240 --> 00:00:47.520]  我們至少有很多教會的朋友都有這個感受。
[00:00:47.520 --> 00:00:50.600]  希望這個讓我們不會在疫情過後,
[00:00:50.600 --> 00:00:55.640]  又忘記了這個功課,不要浪費一場疫情。
[00:00:55.640 --> 00:00:59.840]  在一場疫情裡面,有很多東西可以學習的。
[00:00:59.840 --> 00:01:03.840]  那麼今天我們會繼續地看馬可福音,
[00:01:03.840 --> 00:01:06.280]  如果你有興趣更認識耶穌,
[00:01:06.280 --> 00:01:10.320]  祂到底在世上的時候,祂做過什麼?
[00:01:10.320 --> 00:01:12.480]  說過什麼話?
[00:01:12.480 --> 00:01:15.840]  祂到底人家怎麼稱呼祂?
[00:01:15.840 --> 00:01:18.000]  祂的仇敵是怎樣的?
[00:01:18.000 --> 00:01:23.240]  祂作為神的兒子來到世上做了些什麼?
[00:01:23.240 --> 00:01:27.080]  我歡迎你繼續地來聽我們馬可福音的講道。
[00:01:27.080 --> 00:01:30.880]  我們已經講了前面,從第一章一直講到現在,
[00:01:30.880 --> 00:01:34.600]  有七八講了,現在我們來到了第二章而已。
[00:01:34.600 --> 00:01:39.560]  第二章的二十三節到第三章第六節。
[00:01:39.560 --> 00:01:44.800]  這裡談到一個基督徒都常常聽過的觀念,安息日。
[00:01:44.800 --> 00:01:48.600]  我很想趁這個機會跟大家分享一下,
[00:01:48.600 --> 00:01:51.720]  聖經到底怎麼講安息日?
