
[00:00:00.000 --> 00:00:04.000]  【請看視頻的描述】
[00:00:04.000 --> 00:00:06.000]  感謝贊美神
[00:00:06.000 --> 00:00:09.000]  今天我想跟大家一起分享
[00:00:09.000 --> 00:00:11.000]  情與義
[00:00:11.000 --> 00:00:17.000]  我們的經文是取自約拿書第四章一到十一節
[00:00:17.000 --> 00:00:21.000]  相信在教會一段時間的朋友
[00:00:21.000 --> 00:00:22.000]  弟兄姐妹
[00:00:22.000 --> 00:00:25.000]  肯定不會對這本書很陌生
[00:00:25.000 --> 00:00:27.000]  相信如果你有孩子
[00:00:27.000 --> 00:00:29.000]  你孩子在兒童主日學
[00:00:29.000 --> 00:00:31.000]  來學習聖經故事
[00:00:31.000 --> 00:00:34.000]  其中一個小孩子最喜歡的故事
[00:00:34.000 --> 00:00:36.000]  就是約拿書
[00:00:36.000 --> 00:00:41.000]  因為有約拿被大魚吞進肚子里的故事
[00:00:41.000 --> 00:00:43.000]  小孩子都很喜歡
[00:00:43.000 --> 00:00:47.000]  我們看看今天這段經文帶給我們什麼信息
[00:00:47.000 --> 00:00:52.000]  我們看看這段經文的內容
[00:00:52.000 --> 00:00:56.000]  在這裡我們先把經文看一遍
[00:00:56.000 --> 00:00:57.000]  這裡說
[00:00:57.000 --> 00:01:02.000]  這是約拿大大不悅甚且發怒
[00:01:02.000 --> 00:01:04.000]  就禱告耶和華說
[00:01:04.000 --> 00:01:05.000]  耶和華
[00:01:05.000 --> 00:01:07.000]  我在本國的時候
[00:01:07.000 --> 00:01:09.000]  豈不是這樣說嗎
[00:01:09.000 --> 00:01:12.000]  我知道你有恩典有憐憫
[00:01:12.000 --> 00:01:14.000]  你是有恩典有憐憫的神
[00:01:14.000 --> 00:01:16.000]  不輕易發怒
[00:01:16.000 --> 00:01:18.000]  有豐盛的慈愛
[00:01:18.000 --> 00:01:21.000]  並且後悔不降所說的災
[00:01:21.000 --> 00:01:24.000]  所以我急速逃亡踏實去
[00:01:24.000 --> 00:01:26.000]  耶和華
[00:01:26.000 --> 00:01:29.000]  現在求你取我的命吧
[00:01:29.000 --> 00:01:33.000]  因為我死了比活著更好
[00:01:33.000 --> 00:01:38.000]  耶和華說你這樣發怒何不理嗎
[00:01:38.000 --> 00:01:39.000]  第五節
[00:01:39.000 --> 00:01:41.000]  於是約拿出城
[00:01:41.000 --> 00:01:43.000]  坐在城的東邊
[00:01:43.000 --> 00:01:46.000]  在那裡為自己搭了一座棚
[00:01:46.000 --> 00:01:48.000]  坐在棚的陰下
[00:01:48.000 --> 00:01:51.000]  要看看那城究竟如何
[00:01:51.000 --> 00:01:55.000]  耶和華神安排一顆壁麻
[00:01:55.000 --> 00:01:58.000]  使其發生高過約拿
[00:01:58.000 --> 00:02:00.000]  引而遮蓋他的頭
[00:02:00.000 --> 00:02:02.000]  救他脫離苦楚
[00:02:02.000 --> 00:02:07.000]  約拿因這顆壁麻大大喜樂
[00:02:07.000 --> 00:02:08.000]  逝日黎明
[00:02:08.000 --> 00:02:12.000]  神卻安排一條蟲子咬這壁麻
[00:02:12.000 --> 00:02:14.000]  以致枯棗
[00:02:14.000 --> 00:02:16.000]  日頭出來的時候
[00:02:16.000 --> 00:02:18.000]  神安排炎熱的東風
[00:02:18.000 --> 00:02:22.000]  日頭暴曬約拿的頭使他發昏
[00:02:22.000 --> 00:02:24.000]  他就為自己求死
[00:02:24.000 --> 00:02:27.000]  說我死了比活著還好
[00:02:27.000 --> 00:02:29.000]  神對約拿說
[00:02:29.000 --> 00:02:33.000]  你因這顆壁麻發怒何不理嗎
[00:02:33.000 --> 00:02:39.000]  他說我發怒以致於死都何不理
[00:02:39.000 --> 00:02:41.000]  耶和華說
[00:02:41.000 --> 00:02:43.000]  這壁麻不是你栽種的
[00:02:43.000 --> 00:02:46.000]  也不是你培養的
[00:02:46.000 --> 00:02:48.000]  一夜發生
[00:02:48.000 --> 00:02:50.000]  一夜乾死
[00:02:50.000 --> 00:02:52.000]  你善且愛惜
[00:02:52.000 --> 00:02:55.000]  何況這尼尼威大城
[00:02:55.000 --> 00:02:57.000]  一夜乾
[00:02:57.000 --> 00:02:59.000]  其中不能分辨左手右手的
[00:02:59.000 --> 00:03:01.000]  有十二萬多人
[00:03:01.000 --> 00:03:03.000]  並且有許多牲畜
[00:03:03.000 --> 00:03:06.000]  我豈能不愛惜呢
[00:03:06.000 --> 00:03:07.000]  弟兄姐妹
[00:03:07.000 --> 00:03:09.000]  這是我們很熟悉的一段經文
[00:03:09.000 --> 00:03:11.000]  一卷書有四章
[00:03:11.000 --> 00:03:14.000]  我們有些弟兄姐妹可能沒讀過
[00:03:14.000 --> 00:03:19.000]  我們就簡單的看一看這卷書的主要內容
[00:03:19.000 --> 00:03:21.000]  那麼這卷書非常簡單
[00:03:21.000 --> 00:03:24.000]  在聖經裡面的舊約部分
[00:03:24.000 --> 00:03:27.000]  它有四章的經文
[00:03:27.000 --> 00:03:29.000]  第一章簡單的說
[00:03:29.000 --> 00:03:32.000]  約拿有一天領受了上帝的指示
[00:03:32.000 --> 00:03:36.000]  要去一個城市叫做尼尼威
[00:03:36.000 --> 00:03:38.000]  就是現在的伊拉克
[00:03:38.000 --> 00:03:40.000]  去傳福音
[00:03:40.000 --> 00:03:42.000]  但是約拿不願意去
[00:03:42.000 --> 00:03:45.000]  他卻想逃到他斯那邊去
[00:03:45.000 --> 00:03:48.000]  他斯就是今天的西班牙
[00:03:48.000 --> 00:03:51.000]  是一個差不多相反方向
[00:03:51.000 --> 00:03:54.000]  他偏偏要違背上帝的命運
[00:03:54.000 --> 00:03:56.000]  起來就逃往他斯去
[00:03:56.000 --> 00:03:58.000]  第二章我們看到
[00:03:58.000 --> 00:04:02.000]  上帝就沒有放過約拿
[00:04:02.000 --> 00:04:06.000]  約拿就去了買了船票
[00:04:06.000 --> 00:04:07.000]  上了船
[00:04:07.000 --> 00:04:10.000]  怎麼知道上帝使到大風浪
[00:04:10.000 --> 00:04:15.000]  使到船上的所有的水手都求告自己的神
[00:04:15.000 --> 00:04:19.000]  結果發現問題出在約拿身上
[00:04:19.000 --> 00:04:20.000]  約拿也承認
[00:04:20.000 --> 00:04:22.000]  約拿真的
[00:04:22.000 --> 00:04:24.000]  你別說約拿也是個漢子
[00:04:24.000 --> 00:04:27.000]  約拿就跟他們說問題是在我身上
[00:04:27.000 --> 00:04:29.000]  你們把我丟進海裡吧
[00:04:29.000 --> 00:04:31.000]  丟進海裡就沒事了
[00:04:31.000 --> 00:04:35.000]  那些水手雖然不是上帝的子民
[00:04:35.000 --> 00:04:38.000]  但是他們是盡全力的人
[00:04:38.000 --> 00:04:41.000]  他們不敢隨隨便便殺害人的性命
[00:04:41.000 --> 00:04:47.000]  他們還是努力的想要把船裡面的水都舀到船外面去
[00:04:47.000 --> 00:04:49.000]  然後看看能不能夠救自己
[00:04:49.000 --> 00:04:50.000]  結果還是不可以
[00:04:50.000 --> 00:04:52.000]  結果他們就求上帝憐憫
[00:04:52.000 --> 00:04:55.000]  他們就把約拿丟進海裡
[00:04:55.000 --> 00:04:56.000]  那麼丟進海裡
[00:04:56.000 --> 00:04:57.000]  在第二章
[00:04:57.000 --> 00:05:00.000]  第二章我不知道有些弟兄姐妹可能沒有留意
[00:05:00.000 --> 00:05:02.000]  第二章那邊有一個禱告
[00:05:02.000 --> 00:05:05.000]  很多弟兄姐妹讀到那一段就跳過去了
[00:05:05.000 --> 00:05:10.000]  不過那段禱告是約拿贊美神的禱告
[00:05:10.000 --> 00:05:13.000]  這個禱告裡面也有多一個禱告
[00:05:13.000 --> 00:05:15.000]  這個禱告裡面
[00:05:15.000 --> 00:05:17.000]  贊美的禱告裡面有一個求救的禱告
[00:05:17.000 --> 00:05:21.000]  那個求救的禱告是在他在水里的時候的禱告
[00:05:21.000 --> 00:05:23.000]  因為有很多的海草啊
[00:05:23.000 --> 00:05:24.000]  繞過繞著他的景象
[00:05:24.000 --> 00:05:25.000]  他的頭啊
[00:05:25.000 --> 00:05:26.000]  他都有講出來啊
[00:05:26.000 --> 00:05:27.000]  不過呢
[00:05:27.000 --> 00:05:29.000]  上帝派了那個魚呢
[00:05:29.000 --> 00:05:30.000]  來救他呢
[00:05:30.000 --> 00:05:33.000]  他就在魚的肚子裡面贊美上帝
[00:05:33.000 --> 00:05:34.000]  而且呢
[00:05:34.000 --> 00:05:36.000]  他是願意去尼尼威啊
[00:05:36.000 --> 00:05:38.000]  上帝既然救了他
[00:05:38.000 --> 00:05:39.000]  他就許願了
[00:05:39.000 --> 00:05:43.000]  他願意去他不想去的這個地方傳福音
[00:05:43.000 --> 00:05:45.000]  到了第三章呢
[00:05:45.000 --> 00:05:48.000]  約拿去到尼尼威就像亞述人傳福音啊
[00:05:48.000 --> 00:05:51.000]  熟悉聖經的弟兄姐妹都知道啊
[00:05:51.000 --> 00:05:53.000]  他真的是在那邊呢
