
[00:00:00.000 --> 00:00:01.560]  昨天我非常開心
[00:00:01.560 --> 00:00:04.480]  因為昨天是新加坡國慶日
[00:00:04.480 --> 00:00:09.680]  所以我們在家裡就吃新加坡晚餐
[00:00:09.680 --> 00:00:12.280]  穿著新加坡國慶衣服
[00:00:12.280 --> 00:00:15.000]  然後看著新加坡的國慶直播
[00:00:15.000 --> 00:00:20.520]  然後在WhatsApp跟家裡的人來通話
[00:00:20.520 --> 00:00:27.200]  那麼因為新加坡被逼獨立
[00:00:27.200 --> 00:00:29.000]  被馬來西亞趕出來之後
[00:00:29.520 --> 00:00:32.600]  那麼它是沒礦
[00:00:32.600 --> 00:00:33.480]  沒山
[00:00:33.480 --> 00:00:35.200]  沒資源
[00:00:35.200 --> 00:00:36.840]  什麼都沒有
[00:00:36.840 --> 00:00:39.080]  那麼連水也沒有
[00:00:39.080 --> 00:00:41.760]  連食水都沒有的一個地方
[00:00:41.760 --> 00:00:45.040]  那麼他要自己生存
[00:00:45.040 --> 00:00:48.760]  所以當時候有政治觀察家就說
[00:00:48.760 --> 00:00:50.000]  完蛋了
[00:00:50.000 --> 00:00:51.040]  不出10年
[00:00:51.040 --> 00:00:54.360]  新加坡就應該會沒有了
[00:00:54.360 --> 00:00:57.360]  所以我們從小到大就有一個非常強的
[00:00:57.720 --> 00:00:58.720]  優患意識
[00:00:58.720 --> 00:01:00.600]  被教育的
[00:01:00.600 --> 00:01:03.320]  那麼但是感恩的是什麼
[00:01:03.320 --> 00:01:07.760]  感恩是當時候當然地理位置很重要
[00:01:07.760 --> 00:01:10.240]  但是地理這也不是最關鍵
[00:01:10.240 --> 00:01:11.640]  因為當時候的檳城
[00:01:11.640 --> 00:01:12.640]  George Town
[00:01:12.640 --> 00:01:16.440]  這些Clark的地方在馬來西亞
[00:01:16.440 --> 00:01:18.800]  那位置也是非常好的
[00:01:18.800 --> 00:01:22.840]  在馬六甲海峽
[00:01:22.840 --> 00:01:26.600]  那麼但是上帝有自己的心意
[00:01:26.600 --> 00:01:29.840]  在那裡祝福了小島國
[00:01:29.840 --> 00:01:31.200]  很小的一個島國
[00:01:31.200 --> 00:01:35.000]  那麼也讓當中有宗教自由
[00:01:35.000 --> 00:01:37.280]  也有很多的弟兄姐妹
[00:01:37.280 --> 00:01:40.040]  成了世界各地的宣教士
[00:01:40.040 --> 00:01:41.320]  很感恩的
[00:01:41.320 --> 00:01:45.200]  那麼我自己昨天比較感動的地方
[00:01:45.200 --> 00:01:52.800]  是當他們有派人去訪問海外的新加坡人
[00:01:52.800 --> 00:01:55.880]  對國家的感受這些時候
