
[00:00:00.000 --> 00:00:06.480]   It's been great.
[00:00:06.480 --> 00:00:15.200]   This series is on the church, and it's amazing to see how we as the church have grown throughout
[00:00:15.200 --> 00:00:19.180]   the years and how we can still continue to grow.
[00:00:19.180 --> 00:00:23.820]   And today we're talking about a hospitality-driven church.
[00:00:23.820 --> 00:00:29.520]   And Pastor John introduced this sermon for us, and he talked about this chair, right?
[00:00:29.520 --> 00:00:33.960]   How the church tries to just stand on one leg, right?
[00:00:33.960 --> 00:00:40.040]   Whether it's prayer, community, generosity, or the Word of God, they're trying to just
[00:00:40.040 --> 00:00:42.080]   stand on one leg, right?
[00:00:42.080 --> 00:00:47.560]   And maybe it's one amazing speaker, and they're just trying to depend on that.
[00:00:47.560 --> 00:00:53.200]   And Pastor James talked to us last week about gathering about God's Word.
[00:00:53.200 --> 00:00:55.600]   And what analogy did he use?
[00:00:55.600 --> 00:00:59.380]   It wasn't a chair, it was a?
[00:00:59.380 --> 00:01:00.820]   It was a stool, right?
[00:01:00.820 --> 00:01:07.760]   And the stool represented the Word of God, and the legs represented that each thing was
[00:01:07.760 --> 00:01:14.080]   the Word of God allowed us to have prayer, community, and hospitality.
[00:01:14.080 --> 00:01:20.760]   And today we're talking about sharing meals and taking communion together.
[00:01:20.760 --> 00:01:22.640]   And who likes food here?
[00:01:22.640 --> 00:01:23.640]   Yeah?
[00:01:23.640 --> 00:01:28.960]   Okay, some of you are on a diet.
[00:01:28.960 --> 00:01:36.440]   So my analogy this week is a table, and it's a round table, but I won't tell you what it
[00:01:36.440 --> 00:01:41.840]   means until the end.
[00:01:41.840 --> 00:01:49.320]   I remember I was in Sydney, and Hillsong has been going through all sorts of drama lately,
[00:01:49.320 --> 00:01:53.920]   but when I went to the church in Sydney, as you see in the next slide, I had a great time.
[00:01:53.920 --> 00:02:00.200]   The worship was amazing, the talk was amazing, and afterwards the welcoming team invited
[00:02:00.200 --> 00:02:03.200]   me to have a free lunch.
[00:02:03.200 --> 00:02:10.800]   And it was like, wow, you know, it was great company, it was great food, and then afterwards
[00:02:10.800 --> 00:02:12.800]   they drove me home also.
[00:02:12.800 --> 00:02:19.400]   So it was like, wow, such a great time of worshiping God together and having community
[00:02:19.400 --> 00:02:20.400]   together.
[00:02:20.400 --> 00:02:25.240]   And I remember in the next slide, I was in UK, and I joined this church, it was a Baptist
[00:02:25.240 --> 00:02:30.440]   church, and we had a time of mingling afterwards, and there was food and lunch afterwards, and
[00:02:30.440 --> 00:02:35.520]   it was just so good just connecting with the people there and talking to them about, you
[00:02:35.520 --> 00:02:39.840]   know, what I do and how I'm doing some mission work in other countries.
[00:02:39.840 --> 00:02:41.760]   And they're like, "Oh, we should partner together."
[00:02:41.760 --> 00:02:44.280]   It was so amazing.
[00:02:44.280 --> 00:02:49.320]   I remember this one time I went to New Zealand, and I was actually sitting beside somebody
[00:02:49.320 --> 00:02:51.760]   who went to church.
[00:02:51.760 --> 00:02:57.360]   And after the flight, they were like, "You should come over for a meal."
[00:02:57.360 --> 00:02:59.120]   And so I went over to their meal.
[00:02:59.120 --> 00:03:03.080]   Oh, I've known them for, I don't know, like 12 hours, that's the flight time.
[00:03:03.080 --> 00:03:05.600]   And they invited me over for a meal.
[00:03:05.600 --> 00:03:11.360]   And afterwards, I went to church with them, and they prayed over me because I was heading
[00:03:11.360 --> 00:03:16.640]   to do missions afterwards, to India to do missions.
[00:03:16.640 --> 00:03:24.600]   The meals I had with them and the times I shared with them, they were precious moments,
[00:03:24.600 --> 00:03:30.600]   precious moments of connecting not only with each other, but with the Lord.
[00:03:30.600 --> 00:03:33.040]   And this is what the early church did.
[00:03:33.040 --> 00:03:39.600]   It says in Acts chapter 2, they devoted themselves to the apostles' teaching and to fellowship,
[00:03:39.600 --> 00:03:44.400]   to the breaking of bread, and to prayer.
[00:03:44.400 --> 00:03:52.400]   And this word koinonia, fellowship, it also appears in 1 John chapter 1.
[00:03:52.400 --> 00:03:56.840]   And this is what it says, "That which was from the beginning, which we have heard, which
[00:03:56.840 --> 00:04:01.720]   we have seen with our eyes, we have looked upon, that which we have seen and heard, we
[00:04:01.720 --> 00:04:08.480]   proclaim also to you, so that you too may have fellowship with us.
