
[00:00:00.000 --> 00:00:04.000]  大家好,大家回來時有沒有被風吹傷?
[00:00:04.000 --> 00:00:13.000]  我到樓下巴士總站有十分鐘的路程,風很厲害,吹到現在都暈了,不是說笑的。
[00:00:13.000 --> 00:00:19.000]  今天就和大家繼續看啟示錄,我們看到第十九章一到十節,
[00:00:19.000 --> 00:00:27.000]  這段經文夾在十八章和二十章的中間,它發揮成先啟後的作用。
[00:00:27.000 --> 00:00:30.000]  十八章說什麼呢?大家還有沒有印象?
[00:00:30.000 --> 00:00:44.000]  十八章說到大巴比倫的傾覆,當中提到有三組人為了他的傾覆,遠遠站著哭泣哀號。
[00:00:44.000 --> 00:00:53.000]  這三組人分別是地上的君王十八章第九節,第二組人是地上的商人十八章十一節,
[00:00:53.000 --> 00:01:02.000]  第三組人是船長航海旅客水手和靠海為業的人十八章十七節,
[00:01:02.000 --> 00:01:08.000]  說到有三組人為了巴比倫的傾覆,遠遠站著哭泣哀號。
[00:01:08.000 --> 00:01:16.000]  第十九章我們看到這段經文提到有三組人,這三組人不是哭泣哀號,
[00:01:16.000 --> 00:01:23.000]  他們是在寶座前高唱Hallelujah,形成一個鮮明的對比。
[00:01:23.000 --> 00:01:32.000]  這三組人分別是天上的一大群人第一節,此後我聽見好像有一大群人在天上大聲說Hallelujah。
[00:01:32.000 --> 00:01:37.000]  第二組人是二十四位長老和四活物第四節,
[00:01:37.000 --> 00:01:45.000]  二十四位長老和四活物就俯伏敬拜坐在寶座上的上帝說Amen,Hallelujah。
[00:01:45.000 --> 00:01:50.000]  最後一組,第三組就是地上屬乎上帝的眾僕人第五節,
[00:01:50.000 --> 00:01:59.000]  接著有聲音從寶座出來,上帝的僕人凡敬畏他的,無論大小都要讚美我們的上帝。
[00:01:59.000 --> 00:02:08.000]  三組人來敬拜高唱Hallelujah,對比十八章,三組人他們遠遠站著哭泣哀號,
[00:02:08.000 --> 00:02:13.000]  是否一個很強烈的對比?這種對比其實想說些什麼呢?
[00:02:13.000 --> 00:02:20.000]  其實很簡單,就是告訴我們,去到最終正義的力量是會獲得全面的勝利,
