
[00:00:00.000 --> 00:00:01.000]   Good evening, everyone.
[00:00:01.000 --> 00:00:03.440]   It's a joy to be able to bring you the Word today.
[00:00:03.440 --> 00:00:07.040]   And we are so missing everyone, just being able to gather.
[00:00:07.040 --> 00:00:08.640]   And we are really, really close now.
[00:00:08.640 --> 00:00:10.480]   We're praying that in these coming weeks,
[00:00:10.480 --> 00:00:12.600]   we will have a chance to just be together again.
[00:00:12.600 --> 00:00:15.800]   Today, I want to be talking about how we cross generations.
[00:00:15.800 --> 00:00:17.360]   You know, coming to Hong Kong,
[00:00:17.360 --> 00:00:19.240]   one of the biggest inspirations for me
[00:00:19.240 --> 00:00:21.560]   has been meeting Pastor John and Pastor Peter,
[00:00:21.560 --> 00:00:24.760]   who have this vision to embrace this next generation.
[00:00:24.760 --> 00:00:26.640]   And this last year,
[00:00:26.640 --> 00:00:30.200]   the next generation have had a torch shone on them,
[00:00:30.200 --> 00:00:33.720]   because the next generation are showing some of the feelings
[00:00:33.720 --> 00:00:36.480]   or the frustrations they have about their future.
[00:00:36.480 --> 00:00:38.440]   And we know that the next generation
[00:00:38.440 --> 00:00:39.800]   that is coming up in Hong Kong
[00:00:39.800 --> 00:00:41.400]   is in deep need of the gospel,
[00:00:41.400 --> 00:00:43.200]   in deep need of hope
[00:00:43.200 --> 00:00:46.320]   and being told that everything is going to be okay.
[00:00:46.320 --> 00:00:47.920]   And so for us as a church,
[00:00:47.920 --> 00:00:49.280]   the question really remains is,
[00:00:49.280 --> 00:00:52.320]   how do we serve this next generation?
[00:00:52.320 --> 00:00:55.240]   How do we cross generations in our ministries?
[00:00:55.240 --> 00:00:56.800]   And in my work with Young Life now,
[00:00:56.800 --> 00:00:57.960]   that is what it's all about.
[00:00:57.960 --> 00:01:01.240]   How do we introduce the next generation to Jesus Christ?
[00:01:01.240 --> 00:01:02.360]   And then for a parachurch,
[00:01:02.360 --> 00:01:04.680]   how do we work together with the church,
[00:01:04.680 --> 00:01:06.680]   all being a part of the body of Christ
[00:01:06.680 --> 00:01:08.680]   in solving this problem?
[00:01:08.680 --> 00:01:11.640]   For me, as we talk about how to cross generations,
[00:01:11.640 --> 00:01:13.240]   the first thing we need to think about is,
[00:01:13.240 --> 00:01:14.960]   before we even get to the solution,
[00:01:14.960 --> 00:01:17.560]   we first need to understand the problem.
[00:01:17.560 --> 00:01:19.480]   And the problem is this,
[00:01:19.480 --> 00:01:22.360]   there is difficulty with doing next generation work,
[00:01:22.360 --> 00:01:25.520]   because there is such a thing as a generation gap.
[00:01:25.520 --> 00:01:26.760]   The generation gap is there
[00:01:26.760 --> 00:01:29.760]   is because generations are simply different.
[00:01:29.760 --> 00:01:30.920]   And they've always been different
[00:01:30.920 --> 00:01:32.960]   since the beginning of mankind,
[00:01:32.960 --> 00:01:35.000]   but they've been even more amplified now
[00:01:35.000 --> 00:01:37.320]   because of technology, because of globalization.
[00:01:37.320 --> 00:01:42.040]   So what we have now are generations are becoming so divided
[00:01:42.040 --> 00:01:44.560]   in their way of thinking and their way of acting.
[00:01:44.560 --> 00:01:47.600]   For example, we have a generation called the baby boomers
[00:01:47.600 --> 00:01:51.600]   who are on the whole born in between the 40s and the 60s.
[00:01:51.600 --> 00:01:54.160]   A lot of the current society's leaders
[00:01:54.160 --> 00:01:55.560]   are part of this generation.
[00:01:55.560 --> 00:01:57.080]   And this generation, the baby boomers,
[00:01:57.080 --> 00:01:58.320]   they come from a time where things
[00:01:58.320 --> 00:01:59.760]   were not so good in Hong Kong,
[00:01:59.760 --> 00:02:02.280]   when Hong Kong was still making small steps
[00:02:02.280 --> 00:02:05.360]   into becoming this big city that it is right now.
[00:02:05.360 --> 00:02:07.400]   But these baby boomers have something very interesting
[00:02:07.400 --> 00:02:11.080]   is that in this kind of maybe poorer beginning,
[00:02:11.080 --> 00:02:13.040]   they have learned to get it done.
[00:02:13.040 --> 00:02:14.480]   They are called the get it done generation.
[00:02:14.480 --> 00:02:15.560]   They work hard.
[00:02:15.560 --> 00:02:19.040]   The mantra of this generation is survival and community.
[00:02:19.040 --> 00:02:21.680]   Things were tough, so it's all about surviving.
[00:02:21.680 --> 00:02:22.600]   It's all about function.
[00:02:22.600 --> 00:02:24.160]   It's all about efficiency.
[00:02:24.160 --> 00:02:26.840]   And it's all about community, sticking together.
[00:02:26.840 --> 00:02:28.200]   So they would trust leadership.
[00:02:28.200 --> 00:02:29.600]   They would trust authority.
[00:02:29.600 --> 00:02:32.360]   They would put their trust in establishments.
[00:02:32.360 --> 00:02:33.760]   So that's the baby boomers.
[00:02:33.760 --> 00:02:35.000]   And then from the baby boomers,
[00:02:35.000 --> 00:02:37.520]   you move into what they call the Gen X.
[00:02:37.520 --> 00:02:39.240]   And this is actually only a very small decade.
[00:02:39.240 --> 00:02:41.600]   It fits snugly in between the baby boomers
[00:02:41.600 --> 00:02:42.440]   and the millennials.
[00:02:42.440 --> 00:02:44.080]   And these guys have started to learn
[00:02:44.080 --> 00:02:46.000]   to become a bit more independent.
[00:02:46.000 --> 00:02:47.480]   They're a bit more ambitious
[00:02:47.480 --> 00:02:50.240]   because their parents have maybe paved the way for them.
[00:02:50.240 --> 00:02:51.720]   And then you reach this big group,
[00:02:51.720 --> 00:02:52.800]   which is the millennials,
[00:02:52.800 --> 00:02:55.920]   born in the '70s all the way up to the '90s.
[00:02:55.920 --> 00:02:59.120]   And this group are very different from the baby boomers.
[00:02:59.120 --> 00:03:02.680]   If the baby boomers were about survival and community,
[00:03:02.680 --> 00:03:06.040]   the millennials are about authenticity and vulnerability.
[00:03:06.040 --> 00:03:07.880]   They're about finding their own identity,
[00:03:07.880 --> 00:03:09.120]   their own calling.
[00:03:09.120 --> 00:03:10.200]   It's a lot more about feeling.
[00:03:10.200 --> 00:03:13.480]   It's a lot more about their own personal ambitions.
[00:03:13.480 --> 00:03:16.120]   They don't trust establishments as much.
[00:03:16.120 --> 00:03:17.720]   They don't trust institutions.
[00:03:17.720 --> 00:03:20.160]   Their trust in leadership is not the same
[00:03:20.160 --> 00:03:22.000]   as the baby boomers.
[00:03:22.000 --> 00:03:23.520]   And their language is different.
[00:03:23.520 --> 00:03:26.880]   If the baby boomers were more about honoring and respecting,
[00:03:26.880 --> 00:03:29.720]   the heart's cry of a millennial
[00:03:29.720 --> 00:03:32.240]   is to be listened to and to be loved.
[00:03:32.240 --> 00:03:34.680]   And so even between these few generations,
[00:03:34.680 --> 00:03:36.440]   you see there are differences.
[00:03:36.440 --> 00:03:38.360]   And then you go further now into Gen Z,
[00:03:38.360 --> 00:03:39.960]   and the next one's called Alpha,
[00:03:39.960 --> 00:03:41.000]   which is the last decade.
[00:03:41.000 --> 00:03:43.200]   And these children are born into a society
[00:03:43.200 --> 00:03:45.160]   where technology is at their fingertips.
[00:03:45.160 --> 00:03:48.520]   They are used to talking more to Alexa
[00:03:48.520 --> 00:03:49.840]   than to their friends.
[00:03:49.840 --> 00:03:52.480]   They are used to using smartphones and smart devices,
[00:03:52.480 --> 00:03:56.040]   and they are in a completely different generation as well.
[00:03:56.040 --> 00:03:57.640]   So the question is this.
[00:03:57.640 --> 00:04:01.000]   How does a church do cross-generational work
[00:04:01.000 --> 00:04:04.080]   in a way that is able to kind of serve
[00:04:04.080 --> 00:04:05.960]   all the different generations?
[00:04:05.960 --> 00:04:06.920]   It is not an easy task,
[00:04:06.920 --> 00:04:08.880]   and I'm not gonna be able to give you the answer
[00:04:08.880 --> 00:04:10.240]   even within this sermon.
[00:04:10.240 --> 00:04:11.480]   But as I look through scripture,
