
[00:00:00.000 --> 00:00:06.120]  今天的講題是「在至高之處榮耀歸於實」
[00:00:06.120 --> 00:00:11.400]  其實這是上聯 你們知不知道下聯是甚麼呢?
[00:00:11.400 --> 00:00:17.600]  「在地上平安歸於他所喜悅的人」
[00:00:17.600 --> 00:00:21.480]  而這句其實是出自於《路加福音》二章十四節
[00:00:21.480 --> 00:00:27.200]  這是在天使報喜訊給玉木揚人之後
[00:00:27.200 --> 00:00:30.400]  天使、天君同聲的在天上
[00:00:30.400 --> 00:00:33.480]  而這兩句話 當時固然不是廣東話
[00:00:33.480 --> 00:00:36.480]  而是讚美神、讚頌神
[00:00:36.480 --> 00:00:41.880]  一年又快過去了 聖誕又很快又來到了
[00:00:41.880 --> 00:00:44.880]  不知道你們覺得在這個將臨期的時候
[00:00:44.880 --> 00:00:47.400]  有沒有真的去抽多一點時間
[00:00:47.400 --> 00:00:50.000]  安靜自己 預備心靈
[00:00:50.000 --> 00:00:53.880]  去迎接基督降生這個大日子呢?
[00:00:53.880 --> 00:00:57.280]  「在至高之處榮耀歸於神」
[00:00:57.280 --> 00:01:02.080]  「在地上平安歸於他所喜悅的人」
[00:01:02.080 --> 00:01:05.680]  在這塊土地上我們真的有平安?
[00:01:05.680 --> 00:01:10.280]  另外我們怎樣可以成為他所喜悅的人呢?
[00:01:10.280 --> 00:01:13.680]  他所喜悅的人在其他的聖經本身中
[00:01:13.680 --> 00:01:17.480]  是上帝所祝福的 甚至是他所恩寵的人
[00:01:17.480 --> 00:01:20.280]  上帝所喜悅的人不是只有一個
[00:01:20.280 --> 00:01:24.280]  如果我們看原文的時候 看到是一個眾數
[00:01:24.280 --> 00:01:27.680]  上帝所喜悅的人可以是你、可以是我
[00:01:27.680 --> 00:01:30.280]  可以是他、他、他 很多個
[00:01:30.280 --> 00:01:32.880]  你心中掛心的人 可以都是這樣
[00:01:32.880 --> 00:01:34.480]  可以都是他們
[00:01:34.480 --> 00:01:39.880]  而當我們去看耶穌出生前後的事件的時候
[00:01:39.880 --> 00:01:42.680]  引誘大家多看一些聖經
[00:01:42.680 --> 00:01:47.480]  例如我們所熟悉的約瑟、瑪利亞
[00:01:47.480 --> 00:01:51.080]  耶穌的父母都是上帝所喜悅的人
[00:01:51.080 --> 00:01:54.880]  還有大家不太熟悉的西面有阿娜才知道
[00:01:54.880 --> 00:01:57.280]  都是耶穌的父母 都是上帝所喜悅的人
[00:01:57.280 --> 00:01:59.280]  到了耶穌基督
[00:01:59.280 --> 00:02:03.080]  他一出生就接受禮物
[00:02:03.080 --> 00:02:05.680]  接受約瑟、瑪利亞的栽培
[00:02:05.680 --> 00:02:09.080]  到了後面 路加福音2章再後面一點的時候
[00:02:09.080 --> 00:02:12.480]  他說「耶穌的智慧和新良
