
[00:00:00.000 --> 00:00:01.000]  兄弟姐妹平安
[00:00:01.000 --> 00:00:02.000]  感恩
[00:00:02.000 --> 00:00:05.000]  每一次能夠相聚都是感恩的事情
[00:00:05.000 --> 00:00:08.000]  求神幫助我們明白祂的話語
[00:00:08.000 --> 00:00:09.000]  我們一起禱告
[00:00:09.000 --> 00:00:11.000]  天父啊 我們感謝祢
[00:00:11.000 --> 00:00:12.000]  因祢的話語
[00:00:12.000 --> 00:00:14.000]  我們知道這個世界是怎麼來的
[00:00:14.000 --> 00:00:16.000]  我們知道我們是誰
[00:00:16.000 --> 00:00:18.000]  我們知道我們需要什麼
[00:00:18.000 --> 00:00:20.000]  我們感謝祢的話語
[00:00:20.000 --> 00:00:23.000]  求祢就在這時候預備我們的心
[00:00:23.000 --> 00:00:28.000]  使到我們的心就好像耶穌的比喻裡面的那個豪徒
[00:00:28.000 --> 00:00:30.000]  能夠聽到又領受
[00:00:30.000 --> 00:00:32.000]  就能夠結出多別的果子
[00:00:32.000 --> 00:00:33.000]  我們感謝祢
[00:00:33.000 --> 00:00:34.000]  求祢與我們同在
[00:00:34.000 --> 00:00:36.000]  禱告奉耶穌名求
[00:00:36.000 --> 00:00:37.000]  Amen
[00:00:37.000 --> 00:00:41.000]  好 約翰麥克亞瑟他說了一句話
[00:00:41.000 --> 00:00:45.000]  他說神設計我們不是為了悲傷
[00:00:45.000 --> 00:00:47.000]  而是為了喜樂
[00:00:47.000 --> 00:00:49.000]  很好的一句話提醒我們
[00:00:49.000 --> 00:00:51.000]  上帝的心意是要我們喜樂
[00:00:51.000 --> 00:00:53.000]  不是要我們悲傷的
[00:00:53.000 --> 00:01:02.000]  在這個講道是在聖靈的果子的講道系列裡面的第二講
[00:01:02.000 --> 00:01:06.000]  上個星期 唐人傳道已經跟我們講了仁愛
[00:01:06.000 --> 00:01:10.000]  聖靈的果子有這九個特徵
[00:01:10.000 --> 00:01:11.000]  仁愛喜樂和平
[00:01:11.000 --> 00:01:12.000]  仁愛恩慈良善
[00:01:12.000 --> 00:01:14.000]  溫柔信實節制
[00:01:14.000 --> 00:01:18.000]  在上次唐人傳道講的時候
[00:01:18.000 --> 00:01:20.000]  也提醒我們一樣東西
[00:01:20.000 --> 00:01:24.000]  不要誤會 這不是聖靈九果
[00:01:24.000 --> 00:01:26.000]  因為在原文
[00:01:26.000 --> 00:01:28.000]  The fruit of the Holy Spirit
[00:01:28.000 --> 00:01:29.000]  在希臘文
[00:01:29.000 --> 00:01:32.000]  那個fruit 果子是singular
[00:01:32.000 --> 00:01:34.000]  它是一個單數
[00:01:34.000 --> 00:01:37.000]  所以這是講一個人信了耶穌之後
[00:01:37.000 --> 00:01:40.000]  上帝把聖靈放在生命裡面
[00:01:40.000 --> 00:01:42.000]  給我們一個果子
[00:01:42.000 --> 00:01:44.000]  果子裡面有九個特徵
[00:01:44.000 --> 00:01:46.000]  活出九種生命
[00:01:46.000 --> 00:01:48.000]  就是剛才我們講的那九樣
[00:01:48.000 --> 00:01:52.000]  每個信主的人立刻會有聖靈內住
[00:01:52.000 --> 00:01:54.000]  在你的生命裡面
[00:01:54.000 --> 00:01:56.000]  然後會結果子
[00:01:56.000 --> 00:02:00.000]  那麼聖經中的喜樂的定義是什麼呢?
[00:02:00.000 --> 00:02:02.000]  我想跟大家一起思考一下
[00:02:02.000 --> 00:02:05.000]  因為有些人覺得快樂是不是喜樂
[00:02:05.000 --> 00:02:07.000]  是不是快樂就夠了
[00:02:07.000 --> 00:02:09.000]  我們用字眼來區分
[00:02:09.000 --> 00:02:11.000]  沒有什麼意義
[00:02:11.000 --> 00:02:14.000]  因為那只是semantic 只是字眼
[00:02:14.000 --> 00:02:16.000]  我們要知道它的definition
[00:02:16.000 --> 00:02:18.000]  它裡面的定義是什麼
[00:02:18.000 --> 00:02:20.000]  它喜樂在聖經裡面
[00:02:20.000 --> 00:02:24.000]  不是指外在環境帶給我們的快樂
[00:02:24.000 --> 00:02:27.000]  就是我的股票升了
[00:02:27.000 --> 00:02:29.000]  很快樂
[00:02:29.000 --> 00:02:31.000]  跌了就不快樂了
[00:02:31.000 --> 00:02:34.000]  那個就是外在的
[00:02:34.000 --> 00:02:38.000]  不是指外在的環境帶來的快樂
[00:02:38.000 --> 00:02:39.000]  而是指什麼呢?
[00:02:39.000 --> 00:02:41.000]  而是指聖靈
[00:02:41.000 --> 00:02:45.000]  聖靈在我們內心深處
[00:02:45.000 --> 00:02:49.000]  所自下的屬靈品質
[00:02:49.000 --> 00:02:50.000]  大家消化一下
[00:02:50.000 --> 00:02:53.000]  這是一種你的屬靈品質
