
[00:00:00.000 --> 00:00:03.320]  接下來也讓我們預備我們的心聆聽主
[00:00:03.320 --> 00:00:06.520]  透過啟示錄的最後一個段落
[00:00:06.520 --> 00:00:09.720]  來給我們的鼓勵提醒
[00:00:09.720 --> 00:00:12.960]  今天為我們作一個這麼重要的總結
[00:00:12.960 --> 00:00:15.920]  就是我們所親愛的孫靜敏牧師
[00:00:15.920 --> 00:00:21.520]  他的講題是「沒了的呼聲 主說我必快樂」
[00:00:21.520 --> 00:00:22.720]  把時間交給他
[00:00:22.720 --> 00:00:24.720]  請姐妹平安
[00:00:24.720 --> 00:00:27.720]  這麼快就結束了 啟示錄
[00:00:27.720 --> 00:00:31.920]  我記得我一開始的時候
[00:00:31.920 --> 00:00:33.520]  今天我問了Pastor Jenny
[00:00:33.520 --> 00:00:35.720]  「是不是我跟你講第一次的?」
[00:00:35.720 --> 00:00:38.520]  然後他說「好像是的」
[00:00:38.520 --> 00:00:43.120]  眨眼間就來到最後這個部分
[00:00:43.120 --> 00:00:49.920]  還記不記得我們為什麼要一起看啟示錄?
[00:00:49.920 --> 00:00:55.320]  還記不記得我們兩個分別都有講?
[00:00:55.320 --> 00:00:57.120]  不記得了 糟了
[00:00:57.120 --> 00:00:59.320]  不過不要緊 我提醒大家
[00:00:59.320 --> 00:01:01.320]  牧師也在這裡
[00:01:01.320 --> 00:01:04.720]  林牧師說在他退休之前
[00:01:04.720 --> 00:01:08.120]  講啟示錄是他的心願
[00:01:08.120 --> 00:01:12.920]  所以我們能不能夠還你的心願?牧師
[00:01:12.920 --> 00:01:14.920]  還到還到
[00:01:14.920 --> 00:01:22.720]  今天我們來到最後這個篇章
[00:01:22.720 --> 00:01:27.520]  這個篇章也是整個啟示錄
[00:01:27.520 --> 00:01:32.320]  甚至是整本聖經裡面的最後一個總結
[00:01:32.320 --> 00:01:36.120]  很多時候啟示錄這一段經文裡面
[00:01:36.120 --> 00:01:40.320]  經常都會出現在聖經問答比賽
[00:01:40.320 --> 00:01:43.920]  甚至是神學院的考試裡面
[00:01:43.920 --> 00:01:46.120]  那我就問一下大家
[00:01:46.120 --> 00:01:51.920]  聖經裡面最後兩個字是什麼呢?
[00:01:51.920 --> 00:01:54.920]  很厲害的 誰回答的?
[00:01:54.920 --> 00:01:58.120]  是的 最後兩個字是「阿們」
[00:01:58.120 --> 00:02:03.320]  這是聖經問答比賽常常出現的一個字
[00:02:03.320 --> 00:02:06.120]  為什麼會這樣呢?
[00:02:06.120 --> 00:02:08.120]  我們今天一起來看看
[00:02:08.120 --> 00:02:12.120]  今天這個22章6到21節
[00:02:12.120 --> 00:02:17.920]  是整本聖經甚至是啟示錄的一個總結
