
[00:00:00.000 --> 00:00:05.000]  我曾經說過我希望用三次我們講道的時間
[00:00:05.000 --> 00:00:09.000]  來一起思想提摩太后書
[00:00:09.000 --> 00:00:13.000]  那麼今天是第三次 第三講
[00:00:13.000 --> 00:00:15.000]  也是最後的一講
[00:00:15.000 --> 00:00:20.000]  那麼提摩太后書我說過雖然很短
[00:00:20.000 --> 00:00:24.000]  但是一個非常寶貴的篇章
[00:00:24.000 --> 00:00:29.000]  因為第一 它是保羅臨死以前幾個禮拜
[00:00:29.000 --> 00:00:31.000]  所寫的書信
[00:00:31.000 --> 00:00:34.000]  可以說是一個很偉大的使徒
[00:00:34.000 --> 00:00:37.000]  他的遺言 他最後要說的話
[00:00:37.000 --> 00:00:41.000]  他把他生命裡面最重要的說話
[00:00:41.000 --> 00:00:43.000]  要告訴當時的提摩太
[00:00:43.000 --> 00:00:46.000]  也是告訴今天的你跟我們
[00:00:46.000 --> 00:00:47.000]  所以我們臨近的時候
[00:00:47.000 --> 00:00:51.000]  肯定拿到一個生命裡面最重要的記錄圖
[00:00:51.000 --> 00:00:56.000]  給我們一個很寶貴很寶貴的祝福
[00:00:56.000 --> 00:00:59.000]  另外就是提摩太后書
[00:00:59.000 --> 00:01:01.000]  從我們的歷史研究
[00:01:01.000 --> 00:01:05.000]  還包括提摩太后書裡面所描述的
[00:01:05.000 --> 00:01:07.000]  當時所面對的情況
[00:01:07.000 --> 00:01:10.000]  事實上不單單是二千年前的情況
[00:01:10.000 --> 00:01:12.000]  就是跟今天是一樣的
[00:01:12.000 --> 00:01:16.000]  我也跟大家很簡單的總結過了
[00:01:16.000 --> 00:01:18.000]  那麼當時所面對的世界
[00:01:18.000 --> 00:01:21.000]  我們可以說是一個失控的世界
[00:01:21.000 --> 00:01:25.000]  一個令人越來越失望的世界
[00:01:25.000 --> 00:01:27.000]  越講越像是今天
[00:01:27.000 --> 00:01:31.000]  最後那個世界當時是一個不可理喻的世界
[00:01:31.000 --> 00:01:32.000]  就是今天
[00:01:32.000 --> 00:01:37.000]  所以當時所面對的那麼難的世界
[00:01:37.000 --> 00:01:39.000]  那麼挑戰的世界的時候
[00:01:39.000 --> 00:01:43.000]  基督徒怎樣可以繼續準備自己
[00:01:43.000 --> 00:01:46.000]  張備自己 向前繼續走下去呢
[00:01:46.000 --> 00:01:48.000]  這個也是提摩太后書裡面
[00:01:48.000 --> 00:01:50.000]  很重要很重要的信息
[00:01:50.000 --> 00:01:54.000]  所以這兩個理由都給我們一個很大的希望
[00:01:54.000 --> 00:01:59.000]  我們希望可以將提摩太后書裡面所說的話
[00:01:59.000 --> 00:02:00.000]  把它畫出來
[00:02:00.000 --> 00:02:04.000]  然後我們一起來學習 來聆聽
[00:02:04.000 --> 00:02:06.000]  那麼今天是最後一次了
[00:02:06.000 --> 00:02:08.000]  當然我也把一個很重要
[00:02:08.000 --> 00:02:11.000]  我一直念的時候發掘的一個
[00:02:11.000 --> 00:02:14.000]  我的看見給大家來分享一下
[00:02:14.000 --> 00:02:16.000]  跟我們一起來理解
[00:02:16.000 --> 00:02:18.000]  那麼這個是什麼呢
[00:02:18.000 --> 00:02:23.000]  我們給這個題目就是從當下到永恆
[00:02:23.000 --> 00:02:25.000]  從當下到永恆
[00:02:25.000 --> 00:02:28.000]  因為我一直看提摩太后書的時候
[00:02:28.000 --> 00:02:33.000]  我發覺保羅做人有一個秘訣
[00:02:33.000 --> 00:02:35.000]  他有一個秘訣
[00:02:35.000 --> 00:02:36.000]  什麼叫秘訣呢
[00:02:36.000 --> 00:02:38.000]  他的秘訣就是
[00:02:38.000 --> 00:02:40.000]  他雖然就是跟你跟我一樣都是人
[00:02:40.000 --> 00:02:43.000]  他要在面對這個很現實的世界裡面
[00:02:43.000 --> 00:02:47.000]  高高低低困難有順暢的時間
[00:02:47.000 --> 00:02:48.000]  就是你跟我一樣
[00:02:48.000 --> 00:02:51.000]  但是因為他是一個基督徒
[00:02:51.000 --> 00:02:53.000]  他是相信有神的人
[00:02:53.000 --> 00:02:56.000]  就好像你跟我今天很多的
[00:02:56.000 --> 00:02:59.000]  在座的弟兄姊妹一樣
[00:02:59.000 --> 00:03:00.000]  有了神以後
[00:03:00.000 --> 00:03:05.000]  保羅發現他可以用不同的眼光
[00:03:05.000 --> 00:03:06.000]  不同的角度
[00:03:06.000 --> 00:03:11.000]  不同的層次來看同樣的現實的世界
[00:03:11.000 --> 00:03:15.000]  然後得到的結果是完全不同的
[00:03:15.000 --> 00:03:16.000]  我們可以說
[00:03:16.000 --> 00:03:22.000]  這個是一個超現實的角度來看現實的世界
[00:03:22.000 --> 00:03:24.000]  這個超現實不要誤會
[00:03:24.000 --> 00:03:25.000]  不是不現實
[00:03:25.000 --> 00:03:27.000]  是更現實的
[00:03:27.000 --> 00:03:29.000]  這是從神的角度
[00:03:29.000 --> 00:03:33.000]  那麼這樣的一種優越的條件
[00:03:33.000 --> 00:03:34.000]  作為一個基督徒
[00:03:34.000 --> 00:03:36.000]  你跟我也是一樣
[00:03:36.000 --> 00:03:39.000]  其他不相信神的人是沒有的
[00:03:39.000 --> 00:03:41.000]  我們不是看不起他們
[00:03:41.000 --> 00:03:43.000]  可能他們的智慧比我們高
[00:03:43.000 --> 00:03:44.000]  他們的學問比我們多
[00:03:44.000 --> 00:03:48.000]  可能他們的經驗也優先過你跟我
[00:03:48.000 --> 00:03:51.000]  但是他們沒有這個角度就沒有了
[00:03:51.000 --> 00:03:52.000]  因為他們不相信
[00:03:52.000 --> 00:03:53.000]  他們沒有
[00:03:53.000 --> 00:03:55.000]  那麼有人這個角度看的時候
[00:03:55.000 --> 00:03:58.000]  我們在提莫大號書等一下我們看的時候
[00:03:58.000 --> 00:04:01.000]  就發覺有人這個優先
[00:04:01.000 --> 00:04:03.000]  真的是一個祝福
[00:04:03.000 --> 00:04:06.000]  如果你不懂得你是個基督徒
[00:04:06.000 --> 00:04:08.000]  跟保羅一樣
[00:04:08.000 --> 00:04:11.000]  你不懂得從這個角度來看你的人生的話
[00:04:11.000 --> 00:04:14.000]  照樣的好像其他人一樣的
[00:04:14.000 --> 00:04:17.000]  從平面來看你的人生的話
[00:04:17.000 --> 00:04:20.000]  我覺得是一個很大的選擇
[00:04:20.000 --> 00:04:23.000]  所以我們今天就從這個角度來
[00:04:23.000 --> 00:04:27.000]  一起來思想整個提莫大號書裡面
[00:04:27.000 --> 00:04:31.000]  保羅這樣一種的眼光
[00:04:31.000 --> 00:04:32.000]  那麼這樣的眼光
[00:04:32.000 --> 00:04:34.000]  我從兩個大的範疇
[00:04:34.000 --> 00:04:36.000]  跟大家來總結了
[00:04:36.000 --> 00:04:39.000]  因為講完今天就沒有機會再講了
[00:04:39.000 --> 00:04:41.000]  這個提莫大號書
[00:04:41.000 --> 00:04:45.000]  那麼第一個我把它稱為看見
[00:04:45.000 --> 00:04:47.000]  看得到 看見
[00:04:47.000 --> 00:04:51.000]  第二個我把它稱為完成
[00:04:51.000 --> 00:04:52.000]  什麼意思呢
[00:04:52.000 --> 00:04:54.000]  我們一起看下去就知道了
[00:04:54.000 --> 00:04:56.000]  首先我們看這個看見
[00:04:56.000 --> 00:04:58.000]  剛才我們說
[00:04:58.000 --> 00:05:01.000]  保羅就告訴我們基督徒有個優先
[00:05:01.000 --> 00:05:03.000]  這個優先是多一個角度來看
[00:05:03.000 --> 00:05:05.000]  那看什麼呢
[00:05:05.000 --> 00:05:10.000]  今天我們來研究提莫大號書的時候
[00:05:10.000 --> 00:05:14.000]  主要我們發覺有兩個大的範疇
[00:05:14.000 --> 00:05:17.000]  第一個就是看自己
[00:05:17.000 --> 00:05:20.000]  第二個就是看世界
