
[00:00:00.000 --> 00:00:03.480]  上星期Pastor Tim和我們分享了一個很好的訊息
[00:00:03.480 --> 00:00:07.040]  他提到羅馬書第九和第十章
[00:00:07.040 --> 00:00:09.240]  其實我們聽起來都有點複雜
[00:00:09.240 --> 00:00:12.240]  大家會發現今天那個更加複雜
[00:00:12.240 --> 00:00:16.200]  上帝如何在萬民當中選擇以色列人
[00:00:16.200 --> 00:00:18.080]  成為上帝的子民
[00:00:18.080 --> 00:00:21.040]  當中Pastor Tim和我們分享了一個很好的例子
[00:00:21.040 --> 00:00:22.320]  有沒有人記得?
[00:00:22.320 --> 00:00:24.320]  記得那幅圖嗎?
[00:00:24.320 --> 00:00:26.320]  (Pastor Tim)
[00:00:26.320 --> 00:00:30.320]  有架郵輪,有一個郵輪的例子
[00:00:30.320 --> 00:00:32.320]  這個例子也很精準
[00:00:32.320 --> 00:00:37.320]  他提到有一個人多麼辛苦去買到一張船票
[00:00:37.320 --> 00:00:42.320]  一張船票,以為可以享受一個月的郵輪生活
[00:00:42.320 --> 00:00:44.320]  不過卻因著他的無知
[00:00:44.320 --> 00:00:48.320]  他選擇自己去預備一些乾糧去吃
[00:00:48.320 --> 00:00:52.320]  卻完全不知道那張票是否有用
[00:00:52.320 --> 00:00:54.320]  包含自助餐
[00:00:54.320 --> 00:00:57.320]  我不知道這是否一個真實的故事
[00:00:57.320 --> 00:00:59.320]  我不知道有沒有人真的會這樣
[00:00:59.320 --> 00:01:02.320]  不知道是傻還是蠢還是怎樣
[00:01:02.320 --> 00:01:07.320]  不過事實上當時的以色列人正正處於一個這樣的狀態
[00:01:07.320 --> 00:01:09.320]  一個怎樣的狀態?
[00:01:09.320 --> 00:01:11.320]  他明明是神所揀選的子民
[00:01:11.320 --> 00:01:15.320]  不過他拒絕去接受耶穌做他的救主
[00:01:15.320 --> 00:01:18.320]  選擇自己去吃那張船票
[00:01:18.320 --> 00:01:20.320]  去接受耶穌做他的救主
[00:01:20.320 --> 00:01:23.320]  選擇自己去吃自己的乾糧
[00:01:23.320 --> 00:01:26.320]  他們要活在律法底下
[00:01:26.320 --> 00:01:27.320]  甚麼意思?
[00:01:27.320 --> 00:01:30.320]  即是說要靠著很多的律法
[00:01:30.320 --> 00:01:33.320]  靠著他們的好行為去得救
[00:01:33.320 --> 00:01:34.320]  其實是很傻的
[00:01:34.320 --> 00:01:38.320]  明明有真正的生命不去享受自助餐
[00:01:38.320 --> 00:01:39.320]  他不去享受
[00:01:39.320 --> 00:01:41.320]  他仍然活在這種奴役
