
[00:00:00.000 --> 00:00:07.500]  今天很開心可以跟大家分享一些訊息
[00:00:07.500 --> 00:00:12.300]  我想先分享我今天所說的訊息時
[00:00:12.300 --> 00:00:14.300]  我也想問大家
[00:00:14.300 --> 00:00:19.000]  記不記得上次Johnny教授跟我們說
[00:00:19.000 --> 00:00:24.900]  耶穌在實行自己的使命時
[00:00:24.900 --> 00:00:27.700]  遇過什麼樣的試探?
[00:00:27.700 --> 00:00:30.300]  我想問大家記不記得
[00:00:30.300 --> 00:00:34.100]  不如我數1,2,3,大家舉手
[00:00:34.100 --> 00:00:36.900]  1,2,3,誰可以快點回答我
[00:00:36.900 --> 00:00:38.900]  他有幾個試探
[00:00:38.900 --> 00:00:42.100]  他的試探是什麼?
[00:00:42.100 --> 00:00:45.900]  他有幾樣東西
[00:00:45.900 --> 00:00:49.100]  第一是飢餓,他有權力
[00:00:49.100 --> 00:00:55.300]  魔鬼用很多東西令他覺得
[00:00:55.300 --> 00:01:00.500]  其實你信我就可以了,你不需要敬拜神
[00:01:00.500 --> 00:01:08.700]  因為你敬拜我,你就可以有自己的權力
[00:01:08.700 --> 00:01:14.100]  今天我想跟大家討論一個題目
[00:01:14.100 --> 00:01:16.100]  夢想與照明
[00:01:16.100 --> 00:01:18.100]  我想問大家
[00:01:18.100 --> 00:01:20.100]  你們有沒有夢想?
[00:01:20.100 --> 00:01:23.100]  還有你的使命是什麼?
[00:01:23.100 --> 00:01:28.900]  還有夢想與照明到底是否可以共存?
[00:01:28.900 --> 00:01:31.700]  大家可以不用這麼快回答我
[00:01:31.700 --> 00:01:33.300]  甚至你可以放在心裡
[00:01:33.300 --> 00:01:35.500]  到底你的夢想是什麼?
[00:01:35.500 --> 00:01:37.100]  我相信每一個人
[00:01:37.100 --> 00:01:41.900]  無論你幾歲或去到哪一個層面
[00:01:41.900 --> 00:01:43.900]  你都會有夢想
[00:01:43.900 --> 00:01:47.500]  只欠你的夢想到底我是否可以實行
[00:01:47.500 --> 00:01:49.900]  或者我可否將這個夢想
[00:01:49.900 --> 00:01:53.300]  作為我日後的服侍或照明
[00:01:53.300 --> 00:01:57.500]  這是我們一直很長遠的題目
[00:01:57.500 --> 00:02:01.300]  因為隨著我們的成長和經歷
[00:02:01.300 --> 00:02:04.300]  我們都不停被神塗造
[00:02:04.300 --> 00:02:07.300]  所以都會有很多轉變
[00:02:07.300 --> 00:02:12.700]  所以今天我們先不探討這個問題
[00:02:12.700 --> 00:02:16.100]  今天我們想讀的是
[00:02:16.100 --> 00:02:19.300]  路加福音四章十六至三十節
[00:02:19.300 --> 00:02:22.300]  我們一起讀經文
[00:02:22.300 --> 00:02:23.300]  一二三
[00:02:23.300 --> 00:02:26.300]  耶穌來到拿撒勒
[00:02:26.300 --> 00:02:28.900]  就是祂長大的地方
[00:02:28.900 --> 00:02:30.500]  在安息日
[00:02:30.500 --> 00:02:34.100]  照祂平常的規矩進了會堂
[00:02:34.100 --> 00:02:36.700]  站起來要唸聖經
