
[00:00:00.000 --> 00:00:02.000]  大英姐妹 午安
[00:00:02.000 --> 00:00:09.000]  今天很感恩我們可以繼續看馬學福音
[00:00:09.000 --> 00:00:12.000]  到結尾的部分
[00:00:12.000 --> 00:00:17.000]  但亦是主耶穌在祂最後一周在地上的時候
[00:00:17.000 --> 00:00:20.000]  其實面對一個很關鍵的時刻
[00:00:20.000 --> 00:00:22.000]  剛才詩班所唱的
[00:00:22.000 --> 00:00:24.000]  其實亦是提醒我們
[00:00:24.000 --> 00:00:26.000]  主耶穌在赫西瑪利園
[00:00:26.000 --> 00:00:30.000]  其實要面對人類歷史最幽暗的一刻
[00:00:30.000 --> 00:00:33.000]  The darkest moment in history
[00:00:33.000 --> 00:00:36.000]  是要提醒我們
[00:00:36.000 --> 00:00:40.000]  連主耶穌都竭力在神面前祈禱
[00:00:40.000 --> 00:00:47.000]  耶穌都不敢誇口自己可以安然地跨越過去
[00:00:47.000 --> 00:00:50.000]  其實這個難度有多高呢
[00:00:50.000 --> 00:00:53.000]  我今天試一下和大家
[00:00:53.000 --> 00:00:56.000]  在這段經文我們一起來看
[00:00:56.000 --> 00:01:00.000]  上一次如果大家有聽到
[00:01:00.000 --> 00:01:03.000]  吳安強牧師和Jason傳道
[00:01:03.000 --> 00:01:05.000]  和我們分享到
[00:01:05.000 --> 00:01:10.000]  關於這個女人用膏來抹主耶穌
[00:01:10.000 --> 00:01:15.000]  耶穌是叫我們需要紀念這個女人所作的事
[00:01:15.000 --> 00:01:17.000]  因為她所做的
[00:01:17.000 --> 00:01:21.000]  是為了耶穌的安葬來做準備
[00:01:21.000 --> 00:01:24.000]  其實馬可的文學結構
[00:01:24.000 --> 00:01:26.000]  是很值得我們去研究的
[00:01:26.000 --> 00:01:30.000]  馬可雖然寫得這麼濃縮這麼短
[00:01:30.000 --> 00:01:32.000]  他只有16章的聖經
[00:01:32.000 --> 00:01:35.000]  但是他裏面是很精彩的
[00:01:35.000 --> 00:01:37.000]  如果我們細心去看的時候
[00:01:37.000 --> 00:01:40.000]  其實他這個是用三文治的結構
[00:01:40.000 --> 00:01:44.000]  去呈現頭尾那兩段經文
[00:01:44.000 --> 00:01:48.000]  其實是要凸顯中間主題的訊息
[00:01:48.000 --> 00:01:53.000]  瑪利亞究竟是莫大拉的瑪利亞呢
[00:01:53.000 --> 00:01:55.000]  被七個鬼附著
[00:01:55.000 --> 00:01:59.000]  還是是伯大尼的瑪大妹妹瑪利亞呢
[00:01:59.000 --> 00:02:03.000]  其實兩邊都有學者去支持的說法
[00:02:03.000 --> 00:02:06.000]  但是我覺得重要的
[00:02:06.000 --> 00:02:09.000]  那個經文都不是叫我們去斟酌是哪個瑪利亞
[00:02:09.000 --> 00:02:12.000]  重點就是這位姐妹
[00:02:12.000 --> 00:02:16.000]  她卻是真的眾人皆醉
[00:02:16.000 --> 00:02:18.000]  唯獨她是獨醒
[00:02:18.000 --> 00:02:22.000]  她很清楚知道耶穌前面是要面對
[00:02:22.000 --> 00:02:25.000]  這個就是十字架要被釘
[00:02:25.000 --> 00:02:28.000]  她要為我們全人類的罪掛在木頭上
[00:02:28.000 --> 00:02:32.000]  這件事是很難很難的一件事
[00:02:32.000 --> 00:02:34.000]  我曾經聽過有些人問我
