
[00:00:00.000 --> 00:00:02.000]  各位節目的早晨
[00:00:02.000 --> 00:00:07.360]  今天跟大家講的是七教會裏面最後兩間教會
[00:00:07.360 --> 00:00:11.120]  這兩間教會都很值得我們去看清楚
[00:00:11.120 --> 00:00:14.080]  看清楚就是讓我們明白
[00:00:14.080 --> 00:00:17.280]  原來今天教會在地上的真正身份
[00:00:17.280 --> 00:00:22.800]  和我們教會生命的真相應該是怎樣的
[00:00:22.800 --> 00:00:25.840]  我們如果很快回顧一下
[00:00:25.840 --> 00:00:27.440]  第一堂的時候
[00:00:27.440 --> 00:00:31.120]  Karen傳道和我們分享以弗所的教會
[00:00:31.120 --> 00:00:34.160]  是要我們學習甚麼
[00:00:34.160 --> 00:00:37.360]  以弗所的教會最大的問題是甚麼
[00:00:37.360 --> 00:00:40.320]  他們失掉了起初的愛心
[00:00:40.320 --> 00:00:43.120]  我們需要重現這份愛火
[00:00:43.120 --> 00:00:45.040]  我們需要愛神之餘
[00:00:45.040 --> 00:00:47.280]  我們必須要很好的愛人
[00:00:47.280 --> 00:00:50.000]  而第二堂我和大家講到
[00:00:50.000 --> 00:00:52.560]  善美娜和別加摩的教會
[00:00:52.560 --> 00:00:55.600]  這兩間教會都有一些相同的特徵
[00:00:55.600 --> 00:01:00.720]  第一就是他們要為真道至死忠心
[00:01:00.720 --> 00:01:02.640]  善美娜是受苦的
[00:01:02.640 --> 00:01:07.120]  而別加摩的教會就必須抗拒這些異端
[00:01:07.120 --> 00:01:10.880]  而另外一堂就是李文耀博士講
[00:01:10.880 --> 00:01:14.800]  推也推拉和殺敵的這兩間教會
[00:01:14.800 --> 00:01:18.640]  都有相同的特徵就是他們縱容的罪
[00:01:18.640 --> 00:01:23.120]  在他們的教會容讓那些假先知假師傅
[00:01:23.120 --> 00:01:26.320]  誤導神的子民走錯路
[00:01:26.320 --> 00:01:30.800]  求主幫助我們今天看真一點的真相
[00:01:30.800 --> 00:01:34.000]  飛拉鐵飛和老底加教會
[00:01:34.000 --> 00:01:35.920]  讓我們可以學習甚麼呢
[00:01:35.920 --> 00:01:38.000]  讓我們今天看真一點
[00:01:38.000 --> 00:01:39.200]  看真一點
[00:01:39.200 --> 00:01:41.600]  不知道大家知不知道
[00:01:41.600 --> 00:01:47.200]  你小時候有沒有看過這個電視節目
[00:01:47.200 --> 00:01:48.480]  有啊
[00:01:48.480 --> 00:01:50.960]  如果你說小時候看過的話
[00:01:50.960 --> 00:01:53.520]  你年紀也不是很大
[00:01:53.520 --> 00:02:04.800]  這個是來自1994年到2000年的時候
[00:02:04.800 --> 00:02:08.560]  在香港電視節目裏面
[00:02:08.560 --> 00:02:10.800]  是第一類型的這種
[00:02:10.800 --> 00:02:15.520]  所謂去看世界和社會裏面
[00:02:15.520 --> 00:02:19.360]  尋求一些所謂真相的事情
[00:02:19.360 --> 00:02:24.480]  特別在1995年發生了一件轟動的事情
[00:02:24.480 --> 00:02:30.880]  他們說傳聞發現有一些所謂外星人
[00:02:30.880 --> 00:02:32.800]  甚至去解剖
[00:02:32.800 --> 00:02:36.800]  這些在當時是一個很大的新聞
[00:02:36.800 --> 00:02:40.640]  時至今日仍然好像一個謎一樣
[00:02:40.640 --> 00:02:45.760]  有今天你上網的時候已經有很多東西可以看
[00:02:45.760 --> 00:02:47.280]  是真是假
[00:02:47.280 --> 00:02:50.240]  其實這個不是最重要
[00:02:50.240 --> 00:02:52.400]  我們今天最重要的是
[00:02:52.400 --> 00:02:56.240]  你要看清楚你生命的真相
[00:02:56.240 --> 00:02:59.760]  因為這個是關乎你永恆的結局
[00:02:59.760 --> 00:03:02.640]  我們來看飛拉鐵飛的教會
[00:03:02.640 --> 00:03:04.400]  我會視從三方面
[00:03:04.400 --> 00:03:09.840]  來看人子這位榮耀尊貴的基督
[00:03:09.840 --> 00:03:16.160]  他怎樣對飛拉鐵飛教會的使者來說話
[00:03:16.160 --> 00:03:19.520]  其實飛拉鐵飛的教會和善美娜的教會
[00:03:19.520 --> 00:03:21.920]  都可以說是一個模範的教會
[00:03:21.920 --> 00:03:24.800]  因為他沒有受到主怎樣去責備
[00:03:24.800 --> 00:03:28.000]  但兩間教會同樣是受到當時
[00:03:28.000 --> 00:03:34.480]  猶太人的公會會堂一個很大的衝突
[00:03:34.480 --> 00:03:38.320]  善美娜教會就因而遇到極大的苦難
[00:03:38.320 --> 00:03:40.080]  但飛拉鐵飛的教會
[00:03:40.080 --> 00:03:41.600]  基督給他們的應許
[00:03:41.600 --> 00:03:44.960]  就是在大肆念的日子來到的時候
[00:03:44.960 --> 00:03:47.520]  免去他們的試煉
[00:03:47.520 --> 00:03:52.400]  其實有時我們看兩個教會遇到類同的情況
[00:03:52.400 --> 00:03:55.760]  一個教會好像要忍受極大苦難
[00:03:55.760 --> 00:03:58.400]  另外一個是免去試煉
[00:03:58.400 --> 00:04:00.320]  我們基督人生都一樣
[00:04:00.320 --> 00:04:01.920]  不要去比較
[00:04:01.920 --> 00:04:05.760]  原來有些同樣愛主的基督
[00:04:05.760 --> 00:04:08.960]  為什麼一個他的生命裏面
[00:04:08.960 --> 00:04:13.120]  很多的挫折、很多的考驗
[00:04:13.120 --> 00:04:16.320]  但另一個愛主的神的兒女
[00:04:16.320 --> 00:04:18.480]  好像樣樣都順順利利
[00:04:18.480 --> 00:04:20.000]  你不要去比較
[00:04:20.000 --> 00:04:23.360]  不要跟別人這樣去計較
[00:04:23.360 --> 00:04:25.760]  你反而要緊要的
