
[00:00:00.000 --> 00:00:04.000]  (片尾有字幕)
[00:00:04.000 --> 00:00:05.380]  希望姐妹平安
[00:00:05.380 --> 00:00:09.380]  讓我們感謝神能夠在一起來學習祂的話語
[00:00:09.380 --> 00:00:13.480]  我們上次看到馬可福音的時候
[00:00:13.480 --> 00:00:17.100]  是看到真正有意義的生命是什麼
[00:00:17.100 --> 00:00:20.400]  我們在那段經文裡面 耶穌要去耶路撒冷
[00:00:20.400 --> 00:00:24.940]  然後門徒看到耶穌竟然要去耶路撒冷
[00:00:24.940 --> 00:00:27.000]  因為耶路撒冷那邊有人要殺祂
[00:00:27.000 --> 00:00:28.740]  祂竟然就向耶路撒冷走
[00:00:28.740 --> 00:00:30.540]  門徒就恐懼害怕
[00:00:30.540 --> 00:00:33.040]  我們就看到人生有恐懼害怕
[00:00:33.040 --> 00:00:35.820]  是阻礙我們走向上帝要走的路
[00:00:35.820 --> 00:00:39.120]  我們也看到門徒害怕完了之後
[00:00:39.120 --> 00:00:41.280]  就想坐在耶穌的左邊右邊
[00:00:41.280 --> 00:00:43.160]  因為他以為耶穌會當王
[00:00:43.160 --> 00:00:45.120]  想要有政治權利
[00:00:45.120 --> 00:00:46.780]  所以他們也有慾望
[00:00:46.780 --> 00:00:49.420]  我們也看到人生有慾望
[00:00:49.420 --> 00:00:51.880]  就會使我們也不走神的路
[00:00:51.880 --> 00:00:55.220]  所以上次我們學習的四個功課是
[00:00:55.220 --> 00:00:59.500]  人會因為害怕就不走當走的路
[00:00:59.500 --> 00:01:01.740]  我們上次也學習了第二個功課是
[00:01:01.740 --> 00:01:05.720]  人會因為慾望就走在不該走的路上
[00:01:05.720 --> 00:01:08.000]  我們看到學習的是
[00:01:08.000 --> 00:01:10.420]  門徒應有永生的確據
[00:01:10.420 --> 00:01:13.520]  就勇敢 值錢 像耶穌一樣
[00:01:13.520 --> 00:01:17.760]  我們也看到門徒應有使命的生命
[00:01:17.760 --> 00:01:19.860]  就勝過慾望
[00:01:19.860 --> 00:01:21.460]  所以上次我們看的時候
[00:01:21.460 --> 00:01:24.080]  我們就反思你的人生
[00:01:24.080 --> 00:01:27.080]  在神的眼裡到底有意義嗎?
[00:01:27.080 --> 00:01:30.380]  今天我們要看第34講
[00:01:30.380 --> 00:01:32.940]  在馬可福音第10章接下來的經文
[00:01:32.940 --> 00:01:35.020]  46節到52節
[00:01:35.020 --> 00:01:39.520]  我們要看耶穌怎樣教導真信心
[00:01:39.520 --> 00:01:42.980]  讓我們一起同心禱告
[00:01:42.980 --> 00:01:45.180]  主耶穌我們感謝讚美你
[00:01:45.180 --> 00:01:49.540]  讓我們真的是在香港這個和平的地方
[00:01:49.540 --> 00:01:52.360]  我們能夠有舒適的環境
[00:01:52.360 --> 00:01:54.580]  能夠跟眾弟兄姊妹
[00:01:54.580 --> 00:01:59.120]  一起來理解到底你的真理是什麼
[00:01:59.120 --> 00:02:01.520]  主啊 我們求祢預備我們的心
[00:02:01.520 --> 00:02:04.200]  讓我們的心如那個好土一樣
[00:02:04.200 --> 00:02:05.720]  能夠領受祢的道
[00:02:05.720 --> 00:02:08.380]  能夠被祢的道來改變我們的生命
[00:02:08.380 --> 00:02:09.900]  求祢與我們同在
[00:02:09.900 --> 00:02:12.680]  禱告奉主耶穌基督的聖名祈求
[00:02:12.680 --> 00:02:14.140]  Amen
[00:02:14.140 --> 00:02:18.880]  今天謝謝Charles主席為我們讀的這段經文
[00:02:18.880 --> 00:02:22.340]  我們看到到了耶律哥這個地方
[00:02:22.340 --> 00:02:25.220]  耶穌同門徒還有很多的人
[00:02:25.220 --> 00:02:26.300]  就出耶律哥的時候
[00:02:26.300 --> 00:02:30.880]  有一個討飯的瞎子在那邊
[00:02:30.880 --> 00:02:33.300]  需要耶穌的幫忙
[00:02:33.300 --> 00:02:36.180]  我不知道你熟不熟悉福音書
[00:02:36.180 --> 00:02:39.140]  福音書有講到不同的瞎子 看不見
[00:02:39.140 --> 00:02:43.840]  但是很少有記載是討飯的瞎子
[00:02:43.840 --> 00:02:45.800]  在這裡讓我們想一想
[00:02:45.800 --> 00:02:48.880]  為什麼要記載這樣一個人
[00:02:48.880 --> 00:02:53.240]  讓我們看見這個瞎子其實是非常有需要
[00:02:53.240 --> 00:02:56.280]  如果從屬靈的意義來看
[00:02:56.280 --> 00:02:58.480]  好像是告訴我們
[00:02:58.480 --> 00:03:01.960]  你看不見 你就會失去能力
[00:03:01.960 --> 00:03:03.480]  在我們的人生也是這樣的
[00:03:03.480 --> 00:03:05.440]  如果你沒有好的眼光
[00:03:05.440 --> 00:03:07.320]  你看不見屬靈的事情
[00:03:07.320 --> 00:03:10.920]  可能你也失去了那個能力來跟隨主
[00:03:10.920 --> 00:03:12.360]  讓我們要好好地想想
[00:03:12.360 --> 00:03:16.000]  我們到底看見還是看不見呢?
[00:03:16.000 --> 00:03:18.280]  在這裡我們繼續看下去
[00:03:18.280 --> 00:03:22.600]  這裡他也講到關於拿撒勒的耶穌
[00:03:22.600 --> 00:03:24.480]  熟悉聖經的弟兄姊妹
[00:03:24.480 --> 00:03:27.880]  肯定知道每次新約聖經講拿撒勒
[00:03:27.880 --> 00:03:30.240]  他是想強調什麼呢?
[00:03:30.240 --> 00:03:32.000]  強調什麼?
[00:03:32.000 --> 00:03:33.760]  被看不起對不對?
[00:03:33.760 --> 00:03:35.760]  被看不起的一個地方
[00:03:35.760 --> 00:03:40.160]  每一個國家 每一個國家的一個城市
[00:03:40.160 --> 00:03:41.480]  總是有一個地方
[00:03:41.480 --> 00:03:43.480]  你一講到那個地方的名字
[00:03:43.480 --> 00:03:46.160]  每個人就會皺眉頭了
[00:03:46.160 --> 00:03:48.520]  那一區你不要去
[00:03:48.520 --> 00:03:50.160]  一個人不要去
[00:03:50.160 --> 00:03:53.160]  那一區晚上不要去
[00:03:53.160 --> 00:03:54.000]  對嗎?
[00:03:54.000 --> 00:03:58.240]  每一個地方總會有一個地方是給人家看不起的
[00:03:58.240 --> 00:04:00.040]  因為歷史原因
[00:04:00.040 --> 00:04:01.840]  因為各種的社會原因
