
[00:00:00.000 --> 00:00:02.000]  (MC)好,多謝Timothy的介紹
[00:00:02.000 --> 00:00:04.000]  最近也在操練感恩
[00:00:04.000 --> 00:00:06.000]  先在台上說幾句感恩
[00:00:06.000 --> 00:00:09.000]  感恩可以順利到五月
[00:00:09.000 --> 00:00:13.000]  我想問,在座有沒有人考DSE、IB、GCE那些的?
[00:00:13.000 --> 00:00:15.000]  可不可以舉手?
[00:00:15.000 --> 00:00:16.000]  有沒有?
[00:00:16.000 --> 00:00:19.000]  有,給點掌聲好不好?
[00:00:19.000 --> 00:00:22.000]  考DSE都回來,我覺得很感恩
[00:00:22.000 --> 00:00:25.000]  今次很感恩看到這麼多弟兄姊妹,很年輕
[00:00:25.000 --> 00:00:27.000]  知道第一次恢復回到
[00:00:27.000 --> 00:00:30.000]  實體的學校,但你都願意這樣回來
[00:00:30.000 --> 00:00:32.000]  坐滿了,我覺得很感恩
[00:00:32.000 --> 00:00:35.000]  感恩今早可以和大家一起去
[00:00:35.000 --> 00:00:37.000]  經歷一個很好的敬拜
[00:00:37.000 --> 00:00:40.000]  經歷去紀念主耶穌的死和復活
[00:00:40.000 --> 00:00:41.000]  很多的感恩
[00:00:41.000 --> 00:00:43.000]  我先介紹一下自己
[00:00:43.000 --> 00:00:45.000]  可以到下一頁
[00:00:45.000 --> 00:00:48.000]  好,我要介紹自己
[00:00:48.000 --> 00:00:52.000]  最簡單我覺得用兩張大學的圖就OK了
[00:00:52.000 --> 00:00:54.000]  剛才Timothy有介紹我
[00:00:54.000 --> 00:00:56.000]  說我是他的同學
[00:00:56.000 --> 00:00:59.000]  我的出生是在中大精算畢業
[00:00:59.000 --> 00:01:01.000]  現在我在左邊
[00:01:01.000 --> 00:01:05.000]  Hong Kong U這間校園服侍我
[00:01:05.000 --> 00:01:07.000]  所以其實都頗常來港島區
[00:01:07.000 --> 00:01:09.000]  雖然我不是住在這裏
[00:01:09.000 --> 00:01:11.000]  所以最近都知道
[00:01:11.000 --> 00:01:13.000]  身邊有很多很熱的東西
[00:01:13.000 --> 00:01:16.000]  就是近幾天大家有沒有人住銅鑼灣?
[00:01:16.000 --> 00:01:18.000]  我看到很多生日牌
[00:01:18.000 --> 00:01:21.000]  所以想拉近一下和大家距離
[00:01:21.000 --> 00:01:23.000]  姜B
[00:01:23.000 --> 00:01:27.000]  來港島最深刻的就是這些東西
[00:01:27.000 --> 00:01:30.000]  今天和大家分享一個講題
[00:01:30.000 --> 00:01:32.000]  就是為何
[00:01:32.000 --> 00:01:34.000]  不好意思,第一版
