
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹早安
[00:00:02.000 --> 00:00:11.280]  最近我在路上有個舊同事叫我
[00:00:11.280 --> 00:00:13.660]  已經十幾年沒見了
[00:00:13.660 --> 00:00:15.660]  第一句他說什麼呢?
[00:00:15.660 --> 00:00:18.620]  你都沒有變
[00:00:18.620 --> 00:00:21.800]  這句話其實是一個稱讚
[00:00:21.800 --> 00:00:24.520]  於是我回應這句
[00:00:24.520 --> 00:00:25.880]  你都沒有變
[00:00:25.880 --> 00:00:29.400]  是一位男同事 是同部門的
[00:00:29.400 --> 00:00:32.080]  多了點白頭髮
[00:00:32.080 --> 00:00:36.880]  這個不是純粹一個禮貌
[00:00:36.880 --> 00:00:38.380]  或者客套說話
[00:00:38.380 --> 00:00:41.200]  因為他仍然很精神
[00:00:41.200 --> 00:00:46.240]  身形好像十幾年前
[00:00:46.240 --> 00:00:48.080]  沒有變呢?
[00:00:48.080 --> 00:00:51.300]  在某程度上我們都喜歡聽的
[00:00:51.300 --> 00:00:55.320]  但是如果十幾年我們都沒有變呢?
[00:00:55.320 --> 00:00:58.040]  如果好的東西沒有變就好了
[00:00:58.040 --> 00:01:00.720]  有些人比如說脾氣
[00:01:00.720 --> 00:01:02.800]  或者跟別人說話
[00:01:02.800 --> 00:01:05.000]  只有自己說 沒有別人說
[00:01:05.000 --> 00:01:07.640]  別人已經打了眼色 皺了眉頭
[00:01:07.640 --> 00:01:10.520]  仍然收不到這些
[00:01:10.520 --> 00:01:14.680]  這些其實要隨著人生成長
[00:01:14.680 --> 00:01:16.800]  隨著我們是信耶穌的
[00:01:16.800 --> 00:01:19.120]  要有改變才行
[00:01:19.120 --> 00:01:21.960]  今天跟大家從彼得前書
[00:01:21.960 --> 00:01:26.880]  看一下彼得這位仕途
[00:01:26.880 --> 00:01:30.280]  他講了幾個特質
[00:01:30.280 --> 00:01:33.800]  這幾個特質其實我們都知道的
[00:01:33.800 --> 00:01:37.560]  例如他說我們有寶貴的身份
[00:01:37.560 --> 00:01:39.920]  剛才師哥也講了
[00:01:39.920 --> 00:01:41.920]  祈禱也有這樣祈禱
[00:01:41.920 --> 00:01:43.840]  我們因為信耶穌
[00:01:43.840 --> 00:01:46.240]  得著永恆的生命
[00:01:46.240 --> 00:01:48.040]  耶穌再回來的時候
[00:01:48.040 --> 00:01:52.360]  祂會給我們與祂同在得榮耀
[00:01:52.360 --> 00:01:56.000]  彼得又勸喻我們
[00:01:56.000 --> 00:01:58.920]  在社會裏面
[00:01:58.920 --> 00:02:01.960]  其實有很多混亂和黑暗
[00:02:01.960 --> 00:02:04.240]  既然神拯救我們
[00:02:04.240 --> 00:02:06.120]  由黑暗當中出來
[00:02:06.120 --> 00:02:07.880]  我們就要分別為聖
[00:02:07.880 --> 00:02:09.080]  我們都知道
[00:02:09.080 --> 00:02:12.160]  彼得又勸喻我們要彼此相愛
[00:02:12.160 --> 00:02:15.040]  彼此相愛教會時常說的
[00:02:15.040 --> 00:02:18.560]  作為基督徒我們在這三方面
[00:02:18.560 --> 00:02:21.280]  如何可以與別不同呢?
[00:02:21.280 --> 00:02:24.360]  尤其是比如彼此相愛
[00:02:24.360 --> 00:02:26.640]  不信耶穌的人
[00:02:26.640 --> 00:02:28.440]  或者其他宗教人士
[00:02:28.440 --> 00:02:30.320]  他們都會彼此相愛
[00:02:30.320 --> 00:02:32.280]  基督徒信耶穌
[00:02:32.280 --> 00:02:33.840]  得著耶穌補血
[00:02:33.840 --> 00:02:35.240]  十字架救贖
[00:02:35.240 --> 00:02:39.200]  我們有沒有可以隨著我們的人生
[00:02:39.200 --> 00:02:41.480]  與別不同呢?
[00:02:41.480 --> 00:02:45.320]  作者仕逃彼得
[00:02:45.320 --> 00:02:47.400]  他寫這封書信
[00:02:47.400 --> 00:02:48.640]  短短的
