
[00:00:00.000 --> 00:00:03.000]  (廣告)
[00:00:03.000 --> 00:00:07.000]  今天我們再回到傳道書的系列
[00:00:07.000 --> 00:00:11.400]  今天是傳道書第六章一到六節
[00:00:11.400 --> 00:00:14.200]  也是繼續我們緩分的廣道系列
[00:00:14.200 --> 00:00:18.000]  來到第六章傳道書都差不多到一半了
[00:00:18.000 --> 00:00:23.000]  我們先勾畫一下我們前面討論過的部分
[00:00:23.000 --> 00:00:27.600]  在傳道書第一章十二節到第五章的內容
[00:00:27.600 --> 00:00:30.600]  其實我相信大家都不陌生了
[00:00:30.600 --> 00:00:35.000]  這幾章的內容都是針對我們作為世人
[00:00:35.000 --> 00:00:39.600]  我們在神掌管日光之下的世界裏面
[00:00:39.600 --> 00:00:43.200]  面對著很多種種不同的難題
[00:00:43.200 --> 00:00:46.600]  這個訊息其實有一點是很清楚的
[00:00:46.600 --> 00:00:51.800]  就是唯獨上帝自己才是一切永恆事物的主宰
[00:00:51.800 --> 00:00:56.400]  我們人得著什麼都是出於上帝的安排
[00:00:56.400 --> 00:01:02.200]  所以第三到五章討論很多在人世間發生的事情
[00:01:02.200 --> 00:01:05.000]  包括第三章有我們很熟悉的經文
[00:01:05.000 --> 00:01:07.600]  就是「萬事都有定時」
[00:01:07.600 --> 00:01:10.800]  第四和第五章提到在勞碌
[00:01:10.800 --> 00:01:16.000]  在幾種不同的狀況下有很多無常的際遇
[00:01:16.000 --> 00:01:19.600]  以至到第五章後面提到財富
[00:01:19.600 --> 00:01:21.600]  也是我們上星期討論的主題
[00:01:21.600 --> 00:01:25.200]  財富令我們難以得到滿足
[00:01:25.200 --> 00:01:27.200]  今天我們來到第六章
[00:01:27.200 --> 00:01:30.000]  如果弟兄姊妹已經在看聖經的經文
[00:01:30.000 --> 00:01:35.000]  你會發現傳道者好像又是說相同的東西
[00:01:35.000 --> 00:01:40.000]  他在說對人生順境和幸福的討論
[00:01:40.000 --> 00:01:41.600]  但在這裡不同的是
[00:01:41.600 --> 00:01:44.600]  傳道者開始從第六章之後
[00:01:44.600 --> 00:01:47.200]  開始越來越多討論
[00:01:47.200 --> 00:01:51.800]  到底人生需要一種怎樣的智慧
[00:01:51.800 --> 00:01:54.200]  因為如果我們看第一到五章
[00:01:54.200 --> 00:01:57.000]  其實我們都很清楚有限的人
[00:01:57.000 --> 00:01:59.200]  在有限的世界裡
