
[00:00:00.000 --> 00:00:02.000]  兄弟妹妹平安
[00:00:02.000 --> 00:00:08.000]  我們護膛維修
[00:00:08.000 --> 00:00:11.000]  所以我們來到這個新的地方
[00:00:11.000 --> 00:00:14.000]  下個星期希望就可以下去
[00:00:14.000 --> 00:00:17.000]  希望大家能夠適應
[00:00:17.000 --> 00:00:23.000]  希望大家都能夠聽到我的聲音
[00:00:23.000 --> 00:00:25.000]  也希望能夠看到每個人
[00:00:25.000 --> 00:00:27.000]  所以我一直望來望去
[00:00:29.000 --> 00:00:30.000]  感謝神啊
[00:00:30.000 --> 00:00:32.000]  就好像唐人傳道剛才的禱告一樣
[00:00:32.000 --> 00:00:36.000]  他說的就是神的愛才是最重要的
[00:00:36.000 --> 00:00:38.000]  不管我們的場地如何
[00:00:38.000 --> 00:00:40.000]  我們都能夠要感恩
[00:00:40.000 --> 00:00:42.000]  特別是今天我覺得特別感恩
[00:00:42.000 --> 00:00:44.000]  我們有機會去實踐
[00:00:44.000 --> 00:00:46.000]  最重要的是什麼
[00:00:46.000 --> 00:00:47.000]  是我們的心
[00:00:47.000 --> 00:00:48.000]  Amen
[00:00:48.000 --> 00:00:50.000]  讓我們一起同心禱告
[00:00:50.000 --> 00:00:54.000]  天父上帝我們滿心感謝讚美祢
[00:00:54.000 --> 00:00:57.000]  是祢的愛與我們同在
[00:00:57.000 --> 00:00:59.000]  主啊我們來到祢跟前
[00:00:59.000 --> 00:01:01.000]  我們求祢真的是幫助我們
[00:01:01.000 --> 00:01:03.000]  幫助我們來明白
[00:01:03.000 --> 00:01:06.000]  主啊祢的愛永不改變
[00:01:06.000 --> 00:01:09.000]  我們要將祢的崇拜交在祢的手中
[00:01:09.000 --> 00:01:11.000]  因為每一個崇拜
[00:01:11.000 --> 00:01:14.000]  只有一位觀眾就是上帝你自己
[00:01:14.000 --> 00:01:17.000]  我們眾人要帶著一顆敬前的心
[00:01:17.000 --> 00:01:20.000]  求上帝使我們的心成為一片豪圖
[00:01:20.000 --> 00:01:22.000]  以致我們真的是能夠
[00:01:22.000 --> 00:01:24.000]  真是能夠領受祢的道
[00:01:24.000 --> 00:01:26.000]  就明白祢對我們的心意
