
[00:00:00.000 --> 00:00:02.880]  各位explorer,早安
[00:00:02.880 --> 00:00:07.440]  今天我分享的題目叫做
[00:00:07.440 --> 00:00:10.960]  IG重要嗎?
[00:00:10.960 --> 00:00:15.280]  千萬不要馬上回答我重要還是不重要
[00:00:15.280 --> 00:00:19.560]  我們可以上深一層
[00:00:19.560 --> 00:00:24.200]  IG究竟是什麼呢?
[00:00:24.200 --> 00:00:26.920]  你們要想清楚
[00:00:26.920 --> 00:00:30.520]  因為現在很多東西都有不同的定義
[00:00:30.520 --> 00:00:33.320]  自己去想的東西都可以是不同的
[00:00:33.320 --> 00:00:35.240]  是什麼呢?
[00:00:35.240 --> 00:00:38.760]  IG是Instagram
[00:00:38.760 --> 00:00:42.760]  大家有沒有其他想法呢?
[00:00:42.760 --> 00:00:44.080]  沒有吧?
[00:00:44.080 --> 00:00:48.640]  我們可能會覺得會不會是I guess呢?
[00:00:48.640 --> 00:00:53.800]  OK,我猜想是什麼呢?
[00:00:53.800 --> 00:00:56.840]  我對信仰猜一下是什麼
[00:00:56.840 --> 00:00:58.320]  不知道
[00:00:58.320 --> 00:01:02.560]  可能真的好像剛剛跟我說的Instagram
[00:01:02.560 --> 00:01:05.320]  你們知不知道社交媒體的IG
[00:01:05.320 --> 00:01:08.320]  I和G是怎麼來的?
[00:01:08.320 --> 00:01:10.480]  Instant telegram
[00:01:10.480 --> 00:01:11.840]  即時電報
[00:01:11.840 --> 00:01:13.480]  會不會我們的信仰
[00:01:13.480 --> 00:01:16.960]  就很想神即時打個電報給他
[00:01:16.960 --> 00:01:19.200]  告訴我他真的是真神
[00:01:19.200 --> 00:01:21.440]  我相信他OK的了
[00:01:21.440 --> 00:01:25.360]  還是會是Instant God呢?
[00:01:25.360 --> 00:01:28.640]  即是說這個神我跟祂祈禱
[00:01:28.640 --> 00:01:31.600]  我求什麼祂就給我什麼
[00:01:31.600 --> 00:01:34.320]  祂不給我我就開始懷疑
[00:01:34.320 --> 00:01:38.200]  這個神是什麼神呢?
[00:01:38.200 --> 00:01:42.320]  還是是Intimacy with God呢?
[00:01:42.320 --> 00:01:44.640]  去到一個階段
[00:01:44.640 --> 00:01:46.880]  我們相信這個神是真神
[00:01:46.880 --> 00:01:50.640]  我們跟神有沒有一個親密的關係呢?
[00:01:50.640 --> 00:01:53.840]  我現在想邀請大家
[00:01:53.840 --> 00:01:58.040]  我們一起低頭做個禱告
[00:01:58.040 --> 00:02:00.040]  慈悲仁愛天父
[00:02:00.040 --> 00:02:01.400]  很感謝祢
[00:02:01.400 --> 00:02:03.680]  很感謝祢讓我們今天有精神
[00:02:03.680 --> 00:02:05.000]  有健康
[00:02:05.000 --> 00:02:06.200]  有喜樂
[00:02:06.200 --> 00:02:07.520]  來到你的殿
[00:02:07.520 --> 00:02:11.360]  跟弟兄姊妹一起學習你的話語
[00:02:11.360 --> 00:02:15.760]  求主這一刻你安靜我們每一個人的心
[00:02:15.760 --> 00:02:19.440]  將我們腦裏面的所有思想
[00:02:19.440 --> 00:02:22.240]  混雜的意念放下
[00:02:22.240 --> 00:02:23.840]  求主
[00:02:23.840 --> 00:02:28.160]  使聽的、說的都得著祢的詛咒
[00:02:28.160 --> 00:02:32.960]  以上禱告奉靠主耶穌基督得聖名子祈求
[00:02:32.960 --> 00:02:35.360]  阿們
[00:02:35.360 --> 00:02:40.000]  第一版你們記不記得今天是講哪一卷書呢?
[00:02:40.000 --> 00:02:43.040]  猶大書
[00:02:43.040 --> 00:02:47.160]  猶大書在哪裏呢?66卷聖經
[00:02:47.160 --> 00:02:48.480]  65
[00:02:48.480 --> 00:02:51.560]  是哪一卷書的之前
[00:02:51.560 --> 00:02:54.360]  哪一卷書的之後呢?
[00:02:54.360 --> 00:02:56.600]  有沒有人知道?
[00:02:56.600 --> 00:02:57.960]  倒數第二
[00:02:57.960 --> 00:03:00.240]  最後那一卷是甚麼呢?
[00:03:00.240 --> 00:03:01.440]  啟示錄
[00:03:01.440 --> 00:03:05.040]  猶大書之前那一卷是甚麼呢?
[00:03:05.040 --> 00:03:07.520]  約翰三書
[00:03:07.520 --> 00:03:10.280]  其實我們會看到猶大書
[00:03:10.280 --> 00:03:12.840]  它去到啟示錄之前
[00:03:12.840 --> 00:03:16.640]  差不多是聖經最後一卷
[00:03:16.640 --> 00:03:19.400]  猶大這位作者
[00:03:19.400 --> 00:03:22.600]  很多學者會說
[00:03:22.600 --> 00:03:27.960]  他是耶穌與雅各的兄弟
[00:03:27.960 --> 00:03:31.160]  不是出賣耶穌的猶大
[00:03:31.160 --> 00:03:31.960]  對了
[00:03:31.960 --> 00:03:36.040]  這一卷書是甚麼時候寫的呢?
[00:03:36.040 --> 00:03:37.080]  大家知不知道?
[00:03:37.080 --> 00:03:39.040]  猜不猜得到?
[00:03:39.040 --> 00:03:40.200]  耶穌死了之後
[00:03:40.200 --> 00:03:41.400]  一定是對的
[00:03:41.400 --> 00:03:42.000]  對了
[00:03:42.000 --> 00:03:44.000]  還有沒有其他答案呢?
[00:03:44.000 --> 00:03:45.760]  其實是大約一世紀
[00:03:45.760 --> 00:03:49.080]  公元後的62到66年去寫的
[00:03:49.080 --> 00:03:51.680]  那個時間應該差不多
[00:03:51.680 --> 00:03:54.000]  有些學者推算
[00:03:54.000 --> 00:03:57.080]  就是雅各死了之後去寫的
[00:03:57.080 --> 00:04:00.360]  我們首先去看看
[00:04:00.360 --> 00:04:02.720]  它的結構
[00:04:02.720 --> 00:04:05.200]  猶大書有多少張呢?
[00:04:05.200 --> 00:04:06.800]  有沒有人知道?
[00:04:06.800 --> 00:04:09.120]  很好
[00:04:09.120 --> 00:04:10.720]  只有一張
[00:04:10.720 --> 00:04:12.320]  猶大書只有一張
[00:04:12.320 --> 00:04:13.960]  一共25節
[00:04:13.960 --> 00:04:15.880]  它是很精簡
[00:04:15.880 --> 00:04:19.040]  它的結構是很清晰
[00:04:19.040 --> 00:04:20.760]  用25節
[00:04:20.760 --> 00:04:23.240]  就將它想說
[00:04:23.240 --> 00:04:26.160]  與末世的信徒去說
[00:04:26.160 --> 00:04:27.840]  我們會看到它的結構
[00:04:27.840 --> 00:04:30.160]  清晰到不得了
[00:04:30.160 --> 00:04:31.920]  它有引言
[00:04:31.920 --> 00:04:33.560]  有命題
[00:04:33.560 --> 00:04:35.120]  然後會說出原因
[00:04:35.120 --> 00:04:37.680]  為甚麼會寫這封書信
[00:04:37.680 --> 00:04:41.360]  然後還會有三個論點和論證
[00:04:41.360 --> 00:04:44.840]  你們有時作文也要寫論點和論證
[00:04:44.840 --> 00:04:47.920]  然後還會給建議
[00:04:47.920 --> 00:04:50.560]  最後就會有個結論
[00:04:50.560 --> 00:04:52.640]  我想看看大家會不會發覺
[00:04:52.640 --> 00:04:55.240]  在引言和結論
[00:04:55.240 --> 00:04:57.240]  它是說甚麼呢?
[00:04:57.240 --> 00:04:58.360]  在這裡
[00:04:58.360 --> 00:05:00.440]  它好像一個三文字
[00:05:00.440 --> 00:05:01.280]  有兩樣東西
[00:05:01.280 --> 00:05:02.680]  有一樣東西是夾住了的
[00:05:02.680 --> 00:05:05.680]  引言和結論
[00:05:05.680 --> 00:05:06.280]  對了
[00:05:06.280 --> 00:05:07.720]  引言和結論
[00:05:07.720 --> 00:05:09.160]  我們都會看到
[00:05:09.160 --> 00:05:12.240]  它是宣告了神的東西
[00:05:12.240 --> 00:05:13.280]  它告訴我們
[00:05:13.280 --> 00:05:15.600]  我們未認識神之前
[00:05:15.600 --> 00:05:18.240]  神已經是愛我們了
[00:05:18.240 --> 00:05:22.600]  神已經是將耶穌基督
[00:05:22.600 --> 00:05:25.520]  道父承育身來為我們去受死
[00:05:25.520 --> 00:05:27.960]  去被釘實自駕
[00:05:27.960 --> 00:05:31.960]  它賜我們的保守和憐憫
[00:05:31.960 --> 00:05:34.800]  中間它就說
[00:05:34.800 --> 00:05:40.480]  信徒是要為真道奮鬥
[00:05:40.480 --> 00:05:42.160]  最後
[00:05:42.160 --> 00:05:43.600]  它也會說
[00:05:43.600 --> 00:05:46.400]  神會怎樣呢?
[00:05:46.400 --> 00:05:49.400]  祂會藉著耶穌基督的大能
[00:05:49.400 --> 00:05:50.680]  權柄
[00:05:50.680 --> 00:05:51.760]  保守
[00:05:51.760 --> 00:05:54.440]  憐憫我們
[00:05:54.440 --> 00:05:56.160]  我們很清晰地看到
[00:05:56.160 --> 00:05:58.120]  信徒就在中間
[00:05:58.120 --> 00:06:02.120]  但是神就會在外面保護著我們
[00:06:02.120 --> 00:06:03.960]  但是如果今天我講完25節
[00:06:03.960 --> 00:06:05.800]  就應該沒有時間了
[00:06:05.800 --> 00:06:09.280]  我們會專注看建議的
[00:06:09.280 --> 00:06:11.280]  我們會看7節
[00:06:11.280 --> 00:06:15.160]  17到23節
[00:06:15.160 --> 00:06:18.920]  我們先看看當時的背景
[00:06:18.920 --> 00:06:20.600]  第一世紀的基督徒
[00:06:20.600 --> 00:06:23.720]  去面對一些什麼樣的情況呢?
[00:06:23.720 --> 00:06:25.480]  有自由主義
[00:06:25.480 --> 00:06:29.200]  大家都高舉要自由的
[00:06:29.200 --> 00:06:31.800]  有希羅文化
[00:06:31.800 --> 00:06:35.040]  大家知道什麼叫希羅文化吧?
[00:06:35.040 --> 00:06:36.920]  你們應該知道
[00:06:36.920 --> 00:06:38.720]  古希臘文化
[00:06:38.720 --> 00:06:40.720]  古羅馬文化
[00:06:40.720 --> 00:06:45.560]  希臘文化當時通常是講哲學
[00:06:45.560 --> 00:06:48.720]  很多頭腦上的知識
[00:06:48.720 --> 00:06:51.520]  羅馬文化是一些階級觀念
[00:06:51.520 --> 00:06:53.320]  很重的
[00:06:53.320 --> 00:06:56.400]  還有一個叫做洛斯底主義
[00:06:56.400 --> 00:06:59.520]  有沒有人聽過洛斯底主義?
[00:06:59.520 --> 00:07:02.480]  當時的人很追求知識
[00:07:02.480 --> 00:07:04.480]  其實洛斯底這個字
[00:07:04.480 --> 00:07:05.760]  Noxus
[00:07:05.760 --> 00:07:08.080]  是希臘文講知識的
[00:07:08.080 --> 00:07:11.280]  當時的人不是從書本上的知識
[00:07:11.280 --> 00:07:12.840]  他們很深信
[00:07:12.840 --> 00:07:15.520]  他們覺得比較靈異
[00:07:15.520 --> 00:07:16.640]  神秘一點
