
[00:00:00.000 --> 00:00:03.000]  我們要一起來思考的一個主題叫做
[00:00:03.000 --> 00:00:07.000]  在禱告中操練信心
[00:00:07.000 --> 00:00:09.000]  真的是非常感謝主
[00:00:09.000 --> 00:00:13.000]  祂賜給了我們禱告的權柄
[00:00:13.000 --> 00:00:14.000]  有一節的經句
[00:00:14.000 --> 00:00:17.000]  相信大家不會陌生
[00:00:17.000 --> 00:00:19.000]  這節的經句就叫做
[00:00:19.000 --> 00:00:23.000]  常常禱告 常常信心
[00:00:23.000 --> 00:00:25.000]  常常禱告 常常信心
[00:00:25.000 --> 00:00:30.000]  相信大家不會陌生
[00:00:30.000 --> 00:00:33.000]  常常禱告 不可灰心
[00:00:33.000 --> 00:00:37.000]  這節經句經常出現在各樣的擺台
[00:00:37.000 --> 00:00:42.000]  卡片 書籤等等的上面
[00:00:42.000 --> 00:00:47.000]  那麼它也是出自於今天我們要思考的這段經文當中
[00:00:47.000 --> 00:00:51.000]  路加福音的十八章一至八節當中
[00:00:51.000 --> 00:00:56.000]  那麼這節經句來自於主耶穌基督的一個比喻
[00:00:56.000 --> 00:01:02.000]  這個比喻叫做寡婦和法官的比喻
[00:01:02.000 --> 00:01:06.000]  那麼在開始之前我也會為大家讀出這段經文
[00:01:06.000 --> 00:01:12.000]  帶領大家來重溫一下這段經文的記載
[00:01:12.000 --> 00:01:15.000]  路加福音十八章一至八節
[00:01:15.000 --> 00:01:21.000]  耶穌設一個比喻是要人常常禱告不可灰心
[00:01:21.000 --> 00:01:28.000]  說某城裡有一個官不懼怕上帝也不尊重世人
[00:01:28.000 --> 00:01:34.000]  那城裡有個寡婦纏到他那裡說
[00:01:34.000 --> 00:01:38.000]  我有一個對頭求你給我伸冤
[00:01:38.000 --> 00:01:42.000]  他多日不准後來心裡說
[00:01:42.000 --> 00:01:47.000]  我雖不懼怕上帝也不尊重世人
[00:01:47.000 --> 00:01:50.000]  只因這寡婦煩擾我
[00:01:50.000 --> 00:01:55.000]  我就給她伸冤吧免得她來纏磨我
[00:01:55.000 --> 00:02:00.000]  主說你們聽這不義之官所說的話
[00:02:00.000 --> 00:02:03.000]  上帝的選民晝夜呼籲他
[00:02:03.000 --> 00:02:07.000]  他縱然為他們忍了多時
[00:02:07.000 --> 00:02:10.000]  豈不終究給他們伸冤嗎
[00:02:10.000 --> 00:02:16.000]  我告訴你們要快快的給他們伸冤了
[00:02:16.000 --> 00:02:19.000]  然而人子來的時候
[00:02:19.000 --> 00:02:23.000]  欲得見世上有信德嗎
[00:02:23.000 --> 00:02:27.000]  這節經文相信很多弟兄姊妹都很熟悉
[00:02:27.000 --> 00:02:29.000]  那麼也讀過很多遍
[00:02:29.000 --> 00:02:33.000]  其中的那一句常常禱告不可灰心
[00:02:33.000 --> 00:02:35.000]  也是我們的一個鼓勵
[00:02:35.000 --> 00:02:38.000]  那麼在這段經文當中
[00:02:38.000 --> 00:02:43.000]  常常也會有一個被人容易誤解的地方
[00:02:43.000 --> 00:02:47.000]  大家看了這段經文就想到說
[00:02:47.000 --> 00:02:50.000]  寡婦對這個不義的官
[00:02:50.000 --> 00:02:52.000]  她去煩擾他
[00:02:52.000 --> 00:02:54.000]  不斷地去纏磨他
[00:02:54.000 --> 00:02:57.000]  何況是我們的父了
[00:02:57.000 --> 00:02:59.000]  我們的上帝了
[00:02:59.000 --> 00:03:01.000]  我們也去纏擾他
[00:03:01.000 --> 00:03:05.000]  那是不是父就什麼都因於我們了呢
[00:03:05.000 --> 00:03:08.000]  那麼如果大家有這樣一個誤解
[00:03:08.000 --> 00:03:10.000]  我相信今天這篇的訊息
[00:03:10.000 --> 00:03:13.000]  對大家是一個非常好的提醒
[00:03:13.000 --> 00:03:15.000]  那麼相信如果弟兄姊妹
[00:03:15.000 --> 00:03:18.000]  家裡面有小朋友的話
[00:03:18.000 --> 00:03:20.000]  我們父母和小朋友之間
[00:03:20.000 --> 00:03:23.000]  就會有這樣的一種的關係
[00:03:23.000 --> 00:03:25.000]  舉一個例子給大家看看
[00:03:25.000 --> 00:03:29.000]  大家一聽就會有這樣的一個感受
[00:03:29.000 --> 00:03:31.000]  例如說小朋友在家了
[00:03:31.000 --> 00:03:34.000]  他突然有一天就跟你說了
[00:03:34.000 --> 00:03:35.000]  媽媽爸爸
[00:03:35.000 --> 00:03:36.000]  舉個例子
[00:03:36.000 --> 00:03:39.000]  當然很多情況他都會跟你說
[00:03:39.000 --> 00:03:41.000]  我不想去上學了
[00:03:41.000 --> 00:03:43.000]  好辛苦啊
[00:03:43.000 --> 00:03:45.000]  上學期那麼早
[00:03:45.000 --> 00:03:47.000]  功課壓力又大
[00:03:47.000 --> 00:03:49.000]  老師好像又很嚴厲
[00:03:49.000 --> 00:03:51.000]  怎麼辦啊
[00:03:51.000 --> 00:03:54.000]  作為愛孩子的父母
[00:03:54.000 --> 00:03:58.000]  當然很體貼孩子他的那個的感受
[00:03:58.000 --> 00:04:01.000]  但是我相信父母不會有
[00:04:01.000 --> 00:04:03.000]  就是因為孩子
[00:04:03.000 --> 00:04:05.000]  一說再說
[00:04:05.000 --> 00:04:07.000]  再說三說
[00:04:07.000 --> 00:04:08.000]  終於跟孩子說
[00:04:08.000 --> 00:04:10.000]  好了好了孩子乖了
[00:04:10.000 --> 00:04:12.000]  那我們就不去上學了
