
[00:00:00.000 --> 00:00:01.800]  用姐妹平安
[00:00:01.800 --> 00:00:04.120]  感恩我們能夠一起相聚
[00:00:04.120 --> 00:00:06.880]  能夠在神的家來聆聽神的話
[00:00:06.880 --> 00:00:09.880]  求上帝用祂的愛來祝福我們
[00:00:09.880 --> 00:00:11.880]  我們一起同心禱告
[00:00:11.880 --> 00:00:16.280]  天父上帝 我們滿心感謝贊美禰
[00:00:16.280 --> 00:00:20.440]  因為每一個主日都是禰為我們所預備
[00:00:20.440 --> 00:00:23.760]  我們每次來都經歷禰滿滿的祝福
[00:00:23.760 --> 00:00:25.520]  我們感謝禰 贊美禰
[00:00:25.520 --> 00:00:28.560]  我們求禰在今天也是一樣的祝福我們
[00:00:28.560 --> 00:00:30.040]  特別是我們的心
[00:00:30.040 --> 00:00:31.920]  因為耶穌教導我們
[00:00:31.920 --> 00:00:34.240]  我們的心要像一片好土
[00:00:34.240 --> 00:00:36.480]  才能夠領受禰的道
[00:00:36.480 --> 00:00:39.120]  才能夠讓聖靈來幫助我們
[00:00:39.120 --> 00:00:41.240]  正確地理解禰的信息
[00:00:41.240 --> 00:00:43.880]  以致我們的生命被禰的道建立
[00:00:43.880 --> 00:00:47.720]  我們就能夠活出禰為我們預備的平安跟喜樂
[00:00:47.720 --> 00:00:48.800]  我們感謝禰
[00:00:48.800 --> 00:00:51.320]  禱告奉耶穌基督的聖名祈求
[00:00:51.320 --> 00:00:52.600]  Amen
[00:00:52.600 --> 00:00:53.840]  好 弟兄姐妹
[00:00:53.840 --> 00:00:58.280]  今天很想跟大家分享回顧與展望
[00:00:58.280 --> 00:01:01.040]  先看看這句話
[00:01:01.040 --> 00:01:05.120]  未經反省的人生是不值得活的
[00:01:05.120 --> 00:01:07.160]  它的翻譯比較難聽一點
[00:01:07.160 --> 00:01:11.200]  不過它的英文也是比較震撼
[00:01:11.200 --> 00:01:14.720]  它說 The unexamined life is not worth living
[00:01:14.720 --> 00:01:17.240]  我大學的時候 記得聽到這句話的時候
[00:01:17.240 --> 00:01:19.360]  印象就非常非常深刻
[00:01:19.360 --> 00:01:21.000]  那麼一直就記住
[00:01:21.000 --> 00:01:24.440]  知不知道是誰說的?
[00:01:24.440 --> 00:01:26.680]  有沒有人知道是誰說的呢?
[00:01:26.680 --> 00:01:28.160]  應該有啊 有一些
[00:01:28.160 --> 00:01:31.120]  好 就是他
[00:01:31.120 --> 00:01:35.200]  他是誰呢?
[00:01:35.200 --> 00:01:38.920]  他就是蘇格拉底
[00:01:38.920 --> 00:01:40.000]  Socrates
[00:01:40.000 --> 00:01:41.400]  當時沒有照片
[00:01:41.400 --> 00:01:45.320]  沒辦法 只能夠繪畫 雕塑
[00:01:45.320 --> 00:01:47.720]  那麼他說的這句話
[00:01:47.720 --> 00:01:51.480]  使我常常就想到
[00:01:51.480 --> 00:01:52.880]  人生真的
[00:01:52.880 --> 00:01:56.960]  如果沒有定時定時地回想一下
[00:01:56.960 --> 00:01:58.680]  不知道自己怎麼過了
[00:01:58.680 --> 00:02:00.680]  可能混混沌沌地過了也不知道
[00:02:00.680 --> 00:02:02.000]  方向也不清楚
[00:02:02.000 --> 00:02:04.960]  所以這個句話從我大學到今天
[00:02:04.960 --> 00:02:07.960]  常常就幫助了我很多
[00:02:07.960 --> 00:02:12.600]  所以今天我要跟大家分享的一篇講道
[00:02:12.600 --> 00:02:15.880]  是我二十多年講道以來從來沒有做過的
[00:02:15.880 --> 00:02:21.880]  就是我要跟大家一起回顧我們過去半年
[00:02:21.880 --> 00:02:26.440]  我跟大家經歷過的上帝給我們的講道
[00:02:26.440 --> 00:02:28.680]  當然我不會重新地講一遍
