
[00:00:00.000 --> 00:00:03.800]  我首先想問一個問題
[00:00:03.800 --> 00:00:06.920]  今天我們看到講到的題目是
[00:00:06.920 --> 00:00:09.120]  要尋求多人的得救
[00:00:09.120 --> 00:00:12.160]  什麼是尋求多人的得救呢?
[00:00:12.160 --> 00:00:16.400]  其實就是我們要去傳福音
[00:00:16.400 --> 00:00:21.720]  我們要去活出一個愛人的生命
[00:00:21.720 --> 00:00:23.440]  我有一條熱身題
[00:00:23.440 --> 00:00:25.680]  看到大家都開始熱身
[00:00:25.680 --> 00:00:30.560]  我們怎樣去跟別人分享這個好消息呢?
[00:00:30.560 --> 00:00:32.640]  我給你一分鐘
[00:00:32.640 --> 00:00:34.000]  給一個答案
[00:00:34.000 --> 00:00:38.640]  你會怎樣去跟別人分享神的好消息呢?
[00:00:38.640 --> 00:00:41.320]  你是在Instagram
[00:00:41.320 --> 00:00:44.080]  你去發帖文去分享你的信仰
[00:00:44.080 --> 00:00:48.920]  還是你去跟你的朋友說
[00:00:48.920 --> 00:00:52.160]  你是怎樣去傳福音的呢?
[00:00:52.160 --> 00:00:53.840]  好,現在給大家一分鐘
[00:00:53.840 --> 00:00:58.000]  跟你旁邊的那一組討論一下
[00:00:58.000 --> 00:00:59.680]  你們是怎樣傳福音
[00:00:59.680 --> 00:01:00.760]  不用太長
[00:01:00.760 --> 00:01:02.760]  一個簡短的答案就可以了
[00:01:02.760 --> 00:01:04.240]  因為我想了解一下
[00:01:04.240 --> 00:01:07.600]  大家是怎樣傳福音
[00:01:07.600 --> 00:01:12.800]  怎樣去分享主耶穌給我們的好消息
[00:01:12.800 --> 00:01:15.160]  好,一分鐘很快就過了
[00:01:15.160 --> 00:01:16.600]  問一下大專生
[00:01:16.600 --> 00:01:19.360]  你們是怎樣去跟別人分享
[00:01:19.360 --> 00:01:21.600]  耶穌這個好消息呢?
[00:01:21.600 --> 00:01:23.560]  怎樣跟別人傳福音呢?
[00:01:23.560 --> 00:01:27.560]  直接說出這個福音給他們聽
[00:01:27.560 --> 00:01:29.560]  直接說出
[00:01:29.560 --> 00:01:32.560]  這個也是非常標準的答案
[00:01:32.560 --> 00:01:34.560]  還有呢?
[00:01:34.560 --> 00:01:36.560]  發帖文
[00:01:36.560 --> 00:01:38.160]  你會的
[00:01:38.160 --> 00:01:40.960]  你會建議可以發帖文
[00:01:40.960 --> 00:01:45.560]  可以在自己的社交媒體分享神的福音
[00:01:45.560 --> 00:01:46.560]  還有呢?
[00:01:46.560 --> 00:01:48.560]  跟同學分享
[00:01:48.560 --> 00:01:52.560]  給他們一些聖經的根據
[00:01:52.560 --> 00:01:57.560]  好,他說會分享一些聖經的根據給朋友
[00:01:57.560 --> 00:01:59.560]  在社交媒體上傳福音
[00:01:59.560 --> 00:02:04.560]  還有叫父母一起研討
[00:02:04.560 --> 00:02:06.560]  之後再分享給其他人
[00:02:06.560 --> 00:02:09.560]  他會跟父母溝通一下
[00:02:09.560 --> 00:02:10.560]  怎樣去傳福音
[00:02:10.560 --> 00:02:12.560]  然後又會分享
[00:02:12.560 --> 00:02:15.560]  可能跟朋友一起分享
[00:02:15.560 --> 00:02:17.560]  會跟朋友吃飯
[00:02:17.560 --> 00:02:20.560]  跟朋友吃飯也會跟他們分享福音
[00:02:20.560 --> 00:02:22.560]  我會跟他們傳福音
[00:02:22.560 --> 00:02:25.560]  也會在Instagram發帖
[00:02:25.560 --> 00:02:26.560]  你會發信息給他們
[00:02:26.560 --> 00:02:27.560]  鼓勵他們去傳福音
[00:02:27.560 --> 00:02:29.560]  當他們遇到困難的時候
[00:02:29.560 --> 00:02:31.560]  OK,很好
[00:02:31.560 --> 00:02:33.560]  給掌聲,很好
[00:02:33.560 --> 00:02:36.560]  你會給一些根據鼓勵他們
[00:02:36.560 --> 00:02:38.560]  當他們遇到困難的時候
[00:02:38.560 --> 00:02:39.560]  非常好
[00:02:39.560 --> 00:02:40.560]  WhatsApp他們
[00:02:40.560 --> 00:02:42.560]  WhatsApp跟他們傳福音
[00:02:42.560 --> 00:02:45.560]  在Instagram發帖
[00:02:45.560 --> 00:02:50.560]  在Instagram的Bio發帖
[00:02:50.560 --> 00:02:52.560]  大家都很有創意
[00:02:52.560 --> 00:02:55.560]  聽到很多人都會用Instagram
[00:02:55.560 --> 00:02:59.560]  去分享福音
[00:02:59.560 --> 00:03:02.560]  我們繼續去看
[00:03:02.560 --> 00:03:06.560]  現在有哥倫多的教會
[00:03:06.560 --> 00:03:07.560]  我們看到
[00:03:07.560 --> 00:03:10.560]  其實我們在這幾個月
[00:03:10.560 --> 00:03:15.560]  都學習了很多關於哥倫多教會的問題
[00:03:15.560 --> 00:03:20.560]  或者一些他們要更正的東西
[00:03:20.560 --> 00:03:24.560]  因為今天老年班在這裡
[00:03:24.560 --> 00:03:26.560]  也想有一點再回顧
[00:03:26.560 --> 00:03:29.560]  其實哥倫多前書就好像一封書信
[00:03:29.560 --> 00:03:31.560]  有沒有人在這裡寫信呢?
[00:03:31.560 --> 00:03:33.560]  有沒有人寫信呢?
[00:03:33.560 --> 00:03:35.560]  寫Postcard
[00:03:35.560 --> 00:03:37.560]  我以前也有寫信
[00:03:37.560 --> 00:03:41.560]  所以保羅其實也有寫信
[00:03:41.560 --> 00:03:44.560]  給哥倫多這個教會
[00:03:44.560 --> 00:03:46.560]  他講什麼呢?
[00:03:46.560 --> 00:03:48.560]  他好像一開始
[00:03:48.560 --> 00:03:50.560]  就會有一些Introduction
[00:03:50.560 --> 00:03:52.560]  跟他們Greetings
[00:03:52.560 --> 00:03:54.560]  然後也會跟他們說
[00:03:54.560 --> 00:03:58.560]  你們都是一個資源很豐富的教會
[00:03:58.560 --> 00:04:06.560]  但是有一堆要改善的東西
[00:04:06.560 --> 00:04:08.560]  要改善的東西
[00:04:08.560 --> 00:04:09.560]  我們在下一頁
[00:04:09.560 --> 00:04:11.560]  就會看到有什麼問題呢?
[00:04:11.560 --> 00:04:13.560]  有些分黨分派
[00:04:13.560 --> 00:04:18.560]  又鬥又爭又紛爭
[00:04:18.560 --> 00:04:20.560]  然後這個Team
[00:04:20.560 --> 00:04:22.560]  不是你Groupwork那些分組
