
[00:00:00.000 --> 00:00:01.880]  各位explorer早安
[00:00:01.880 --> 00:00:06.560]  今天我們繼續一個關於情緒的分享
[00:00:06.560 --> 00:00:11.200]  上兩次Iron Mox有提到
[00:00:11.200 --> 00:00:15.240]  這個系列是講和情緒相處
[00:00:15.240 --> 00:00:18.320]  這次還有兩次
[00:00:18.320 --> 00:00:24.080]  下一次是講另一個情緒
[00:00:24.080 --> 00:00:30.080]  但今天講的情緒 我知道有些人對題目我真的受傷了
[00:00:30.080 --> 00:00:33.440]  其實靈感來自一首不知N年前的歌
[00:00:33.440 --> 00:00:35.440]  想問有沒有人聽過這首歌
[00:00:35.440 --> 00:00:37.440]  有啊
[00:00:37.440 --> 00:00:42.800]  雖然有些人知道我做過VIRA的粉絲
[00:00:42.800 --> 00:00:44.800]  但我都會一筆勾聽
[00:00:44.800 --> 00:00:48.240]  所以這首歌是很久之前的一首
[00:00:48.240 --> 00:00:50.880]  應該不知二十多年前的歌
[00:00:50.880 --> 00:00:57.560]  但如果聽過的人就知道是關於受傷 傷心的經歷
[00:00:57.560 --> 00:00:59.560]  我不是在播歌 也不會唱
[00:00:59.560 --> 00:01:03.320]  因為我怕歌喉嚇到別人 所以不會唱
[00:01:03.320 --> 00:01:07.880]  說到受傷或者令我們不開心的經歷
[00:01:07.880 --> 00:01:10.720]  不單是不開心 而是傷心的經歷
[00:01:10.720 --> 00:01:13.920]  我不知道你最深刻的感覺是哪個
[00:01:13.920 --> 00:01:18.640]  我們先從一些簡單的
[00:01:18.640 --> 00:01:24.960]  用十秒時間想想你最深刻的 身體上受傷的經歷
[00:01:24.960 --> 00:01:26.960]  例如斷手斷腳
[00:01:26.960 --> 00:01:29.960]  給大家十秒時間想想
[00:01:29.960 --> 00:01:34.440]  你身體上最深刻受傷的經歷
[00:01:34.440 --> 00:01:43.920]  有沒有人試過跌斷手或腳
[00:01:47.200 --> 00:01:52.080]  跌斷手 但不是咬齒
[00:01:52.080 --> 00:01:55.080]  我剛才說跌斷手 不是咬齒
[00:01:55.080 --> 00:01:57.080]  好 骨斷
[00:01:57.080 --> 00:02:00.080]  有沒有人是咬齒
[00:02:00.080 --> 00:02:02.080]  有 也有
[00:02:02.080 --> 00:02:07.600]  有沒有人是擦傷 刮傷 燒傷
[00:02:07.600 --> 00:02:11.600]  為什麼後面兩個人不停舉手
[00:02:11.600 --> 00:02:15.040]  為什麼你們不停舉手 你們是做什麼來的
[00:02:15.040 --> 00:02:21.040]  心理上的受傷經歷 和做運動有關
[00:02:21.040 --> 00:02:25.040]  心理是這樣 再給十秒時間
[00:02:25.040 --> 00:02:29.040]  你覺得心靈上最深刻受傷的經歷
[00:02:29.040 --> 00:02:38.040]  心靈上
[00:02:38.040 --> 00:02:43.040]  當然你也可以說跌傷腳 令你心靈上受傷
[00:02:44.040 --> 00:02:49.040]  好 我不問大家了
[00:02:49.040 --> 00:02:51.040]  我不需要大家分享
[00:02:51.040 --> 00:02:54.040]  因為有時候這些經歷不一定每個人都可以分享
[00:02:54.040 --> 00:02:57.040]  所以我不會叫大家分享
[00:02:57.040 --> 00:02:59.040]  為什麼這樣問呢
[00:02:59.040 --> 00:03:03.040]  大概身體上的受傷 我們都知道有復原的一天
[00:03:03.040 --> 00:03:06.040]  很少是不復原的
[00:03:06.040 --> 00:03:10.040]  即是你斷了骨 也會有時間去復原
[00:03:10.040 --> 00:03:13.040]  但很多時候我們的心靈
[00:03:13.040 --> 00:03:16.040]  即是我們的內心情緒的原因
[00:03:16.040 --> 00:03:18.040]  其實可以很複雜
[00:03:18.040 --> 00:03:20.040]  為什麼說複雜呢
[00:03:20.040 --> 00:03:23.040]  因為我不知道你們想到的是什麼經歷
[00:03:23.040 --> 00:03:26.040]  但對我來說 我去預備這篇訊息的時候
[00:03:26.040 --> 00:03:28.040]  我想到很多經歷
[00:03:28.040 --> 00:03:31.040]  有些是關於自己 當然有些是自己的因素
[00:03:31.040 --> 00:03:33.040]  有些是和人有關
[00:03:33.040 --> 00:03:35.040]  有些是被其他人傷害的
[00:03:35.040 --> 00:03:37.040]  真的被其他人傷害
[00:03:37.040 --> 00:03:39.040]  有些可能是環境
[00:03:39.040 --> 00:03:41.040]  有些可能不是在於誰人所做的事
[00:03:41.040 --> 00:03:43.040]  而是環境的轉變
[00:03:43.040 --> 00:03:48.040]  其實在聖經中大概有這兩種不同的情況
[00:03:48.040 --> 00:03:51.040]  有時候人的傷心的元氣
[00:03:51.040 --> 00:03:53.040]  可以是自己帶來的
[00:03:53.040 --> 00:03:55.040]  其實下一次我說的情緒
[00:03:55.040 --> 00:03:58.040]  除了傷心之外 今次說傷心 下次說憤怒
[00:03:58.040 --> 00:04:01.040]  大概這些負面情緒在聖經中
[00:04:01.040 --> 00:04:04.040]  的確其中一件事是因為自己犯罪的
[00:04:04.040 --> 00:04:06.040]  簡單來說是自己帶來的
[00:04:06.040 --> 00:04:09.040]  帶來的東西就下次再討論
[00:04:09.040 --> 00:04:11.040]  自己帶來的東西怎麼辦呢
[00:04:11.040 --> 00:04:14.040]  但有時候的確要承認不是自己帶來的
[00:04:14.040 --> 00:04:17.040]  沒有人會自找苦吃
[00:04:17.040 --> 00:04:21.040]  但有時候我們面對處境 或者面對環境
[00:04:21.040 --> 00:04:22.040]  甚至面對人也好
[00:04:22.040 --> 00:04:24.040]  可能我們覺得受傷
[00:04:24.040 --> 00:04:28.040]  未必完全是我們的緣故
[00:04:28.040 --> 00:04:32.040]  今天我們看一篇詩篇去想這個題目
[00:04:32.040 --> 00:04:35.040]  今天看的詩篇是詩篇42篇
[00:04:35.040 --> 00:04:37.040]  大致上這篇詩篇
[00:04:37.040 --> 00:04:41.040]  使人覺得受傷或者傷心的經歷
[00:04:41.040 --> 00:04:45.040]  可能可以歸類為環境或者際遇
[00:04:45.040 --> 00:04:47.040]  令他經歷的事
[00:04:47.040 --> 00:04:49.040]  少一點是他自己的事
[00:04:49.040 --> 00:04:51.040]  這首詩大致上分為兩個部分
[00:04:51.040 --> 00:04:53.040]  第一節是一到五節
[00:04:53.040 --> 00:04:56.040]  第二部分是六到十一節
[00:04:56.040 --> 00:04:58.040]  為什麼說分為兩部分呢
[00:04:58.040 --> 00:05:02.040]  如果你手上有聖經 而你在看詩篇
[00:05:02.040 --> 00:05:05.040]  你可能會看到為什麼通常分為這兩個部分
[00:05:05.040 --> 00:05:08.040]  因為這兩個部分都有一個相似的句子
[00:05:08.040 --> 00:05:09.040]  它說什麼呢
[00:05:09.040 --> 00:05:12.040]  它說我的心啊 你為何沮喪
[00:05:12.040 --> 00:05:15.040]  為何要憂愁呢
[00:05:15.040 --> 00:05:16.040]  應當仰望神
[00:05:16.040 --> 00:05:18.040]  因為我還要稱讚祂
[00:05:18.040 --> 00:05:20.040]  祂是我的神 我的拯救
[00:05:20.040 --> 00:05:22.040]  這個我們待會再看一看
[00:05:22.040 --> 00:05:24.040]  在看下去之前
[00:05:24.040 --> 00:05:27.040]  我們先讀第一部分的經文
[00:05:27.040 --> 00:05:30.040]  我們可能想到受傷
[00:05:30.040 --> 00:05:33.040]  當然聖經沒有直接用受傷這個字
[00:05:33.040 --> 00:05:34.040]  即是我很傷心 我很受傷
[00:05:34.040 --> 00:05:35.040]  是很少的
[00:05:35.040 --> 00:05:39.040]  但例如詩篇或者很多聖經裏面
[00:05:39.040 --> 00:05:44.040]  詩人或作者是用不同的方法去描寫各種情緒
[00:05:44.040 --> 00:05:46.040]  我們先讀第一部分
[00:05:46.040 --> 00:05:48.040]  第一部分是這樣的
[00:05:48.040 --> 00:05:50.040]  如果你手上有了
[00:05:50.040 --> 00:05:52.040]  可以一起讀
[00:05:52.040 --> 00:05:54.040]  我用和合本的版本
[00:05:54.040 --> 00:05:55.040]  你可以一起讀
[00:05:55.040 --> 00:05:57.040]  好 一二三
[00:05:57.040 --> 00:06:00.040]  神啊 我的心切無理
[00:06:00.040 --> 00:06:02.040]  如鹿切無溪水
[00:06:02.040 --> 00:06:04.040]  我的心渴想神
[00:06:04.040 --> 00:06:06.040]  就是永生神
[00:06:06.040 --> 00:06:09.040]  我幾時得朝見神呢
[00:06:09.040 --> 00:06:12.040]  我晝夜以眼淚當飲食
[00:06:12.040 --> 00:06:14.040]  人不住地對我說
[00:06:14.040 --> 00:06:17.040]  你的神在哪裡呢
[00:06:17.040 --> 00:06:20.040]  我從前與眾人同住
[00:06:20.040 --> 00:06:22.040]  用歡呼稱讚的聲音
[00:06:22.040 --> 00:06:25.040]  令他們到神的殿裡
[00:06:25.040 --> 00:06:27.040]  大家守節
[00:06:27.040 --> 00:06:29.040]  我追想這些事
[00:06:29.040 --> 00:06:32.040]  我的心極其悲傷
[00:06:32.040 --> 00:06:35.040]  我的心啊 你為何憂悶
[00:06:35.040 --> 00:06:38.040]  為何在我裏面煩躁
[00:06:38.040 --> 00:06:40.040]  應當仰望神
[00:06:40.040 --> 00:06:42.040]  因他笑臉幫助我
[00:06:42.040 --> 00:06:45.040]  我還要稱讚他
[00:06:45.040 --> 00:06:47.040]  可能這首詩
[00:06:47.040 --> 00:06:51.040]  我估計絕大部分人可能真的沒有讀過
[00:06:51.040 --> 00:06:52.040]  我知道我們很多explorer
[00:06:52.040 --> 00:06:53.040]  未必讀很多舊約
[00:06:53.040 --> 00:06:55.040]  甚至講詩篇的部分
[00:06:55.040 --> 00:06:57.040]  但就算你沒有讀詩篇也好
[00:06:57.040 --> 00:06:59.040]  大概剛才第一句
[00:06:59.040 --> 00:07:01.040]  你可能也聽過
[00:07:01.040 --> 00:07:03.040]  有沒有人聽過第一句
[00:07:03.040 --> 00:07:05.040]  如鹿學無溪水
[00:07:05.040 --> 00:07:06.040]  有些人可能有
[00:07:06.040 --> 00:07:08.040]  那為何會聽過呢
[00:07:08.040 --> 00:07:11.040]  因為有一首很古舊
[00:07:11.040 --> 00:07:13.040]  但又幾優美的詩歌
[00:07:13.040 --> 00:07:14.040]  就是用這個題目
[00:07:14.040 --> 00:07:17.040]  如鹿去渡學無溪水
[00:07:17.040 --> 00:07:19.040]  同樣我不會唱
[00:07:19.040 --> 00:07:20.040]  因為歌喉不好
[00:07:20.040 --> 00:07:21.040]  我就不唱
[00:07:21.040 --> 00:07:24.040]  你可以去搜尋這首歌
[00:07:24.040 --> 00:07:26.040]  但如果你聽完這首歌
[00:07:26.040 --> 00:07:28.040]  簡單來說
[00:07:28.040 --> 00:07:29.040]  聽完這首歌
[00:07:29.040 --> 00:07:30.040]  你的想法就是
[00:07:30.040 --> 00:07:32.040]  這是一個很優美的環境
[00:07:32.040 --> 00:07:33.040]  很舒服
[00:07:33.040 --> 00:07:36.040]  好像真的躺在草地上
[00:07:36.040 --> 00:07:38.040]  有溪水
[00:07:38.040 --> 00:07:39.040]  真真有溪水
[00:07:39.040 --> 00:07:42.040]  但我們剛才讀了五節
[00:07:42.040 --> 00:07:44.040]  讀了五節就知道
[00:07:44.040 --> 00:07:46.040]  原來第一節後面的東西
[00:07:46.040 --> 00:07:48.040]  根本不是那個場景
[00:07:48.040 --> 00:07:51.040]  我不是說詩歌有問題
[00:07:51.040 --> 00:07:53.040]  而是那首詩歌反映的
[00:07:53.040 --> 00:07:56.040]  不是詩人真正身處的處境
[00:07:56.040 --> 00:08:01.040]  詩人是在面對人生的狂風巨浪
[00:08:01.040 --> 00:08:02.040]  所以你剛才看到的字
[00:08:02.040 --> 00:08:05.040]  叫悲傷、憂愁
[00:08:05.040 --> 00:08:06.040]  那些字
[00:08:06.040 --> 00:08:09.040]  就好像神很遙遠
[00:08:09.040 --> 00:08:11.040]  剛才人家說人不絕對
[00:08:11.040 --> 00:08:13.040]  他問你的神在哪裡
[00:08:13.040 --> 00:08:15.040]  你的神壞了嗎
[00:08:15.040 --> 00:08:16.040]  他在哪裡
[00:08:16.040 --> 00:08:17.040]  他去了哪裡
[00:08:17.040 --> 00:08:19.040]  可能我們不是很明顯
[00:08:19.040 --> 00:08:21.040]  無緣無故有人這樣問他
[00:08:21.040 --> 00:08:24.040]  但大概在看這篇詩的時候
[00:08:24.040 --> 00:08:25.040]  第四節
[00:08:25.040 --> 00:08:27.040]  當詩人回想場景的時候
[00:08:27.040 --> 00:08:31.040]  他給了不同的學者一些提示
[00:08:31.040 --> 00:08:34.040]  嘗試理解這首詩的背景
[00:08:34.040 --> 00:08:36.040]  第四節說什麼呢
[00:08:36.040 --> 00:08:38.040]  剛才第四節是這樣說的
[00:08:38.040 --> 00:08:39.040]  第四節他說
[00:08:39.040 --> 00:08:42.040]  我從前和眾人同往
[00:08:42.040 --> 00:08:45.040]  用歡呼稱讚的聲音
[00:08:45.040 --> 00:08:49.040]  領他們到神的殿
[00:08:49.040 --> 00:08:50.040]  大家守節
[00:08:50.040 --> 00:08:52.040]  我追想這些事
[00:08:52.040 --> 00:08:55.040]  我的心極其悲傷
[00:08:55.040 --> 00:08:57.040]  如果就這樣讀這節
[00:08:57.040 --> 00:09:00.040]  似乎詩人想像的是敬拜神的場景
[00:09:00.040 --> 00:09:03.040]  當然在舊約的時代
[00:09:03.040 --> 00:09:06.040]  敬拜神不是今天我們那種
[00:09:06.040 --> 00:09:08.040]  今天我們會有領唱
[00:09:08.040 --> 00:09:10.040]  我們會有不同的樂手
[00:09:10.040 --> 00:09:12.040]  帶領我們一起敬拜
[00:09:12.040 --> 00:09:14.040]  但舊約就有些不同
[00:09:14.040 --> 00:09:16.040]  舊約不是有一個舞台站
[00:09:16.040 --> 00:09:21.040]  然後大家在台下一起唱
[00:09:21.040 --> 00:09:23.040]  舊約更多是一堆人
[00:09:23.040 --> 00:09:27.040]  一起進入神的聖殿
[00:09:27.040 --> 00:09:29.040]  甚至有些人
[00:09:29.040 --> 00:09:31.040]  都像在台上
[00:09:31.040 --> 00:09:33.040]  但他們不是很穩定地站著
[00:09:33.040 --> 00:09:36.040]  他們就是帶著一些人走進去場地
[00:09:36.040 --> 00:09:38.040]  去唱歌
[00:09:38.040 --> 00:09:39.040]  擊鼓
