
[00:00:00.000 --> 00:00:02.000]  天父 我們的主
[00:00:02.000 --> 00:00:05.000]  當我們來到你的施恩寶座前的時候
[00:00:05.000 --> 00:00:09.000]  我們就感恩 獻上贊美
[00:00:09.000 --> 00:00:12.000]  因著我們知道主你的救贖
[00:00:12.000 --> 00:00:16.000]  因為我們也更加清晰自己的身份
[00:00:16.000 --> 00:00:22.000]  主啊 我們是你用重價所買贖回來的
[00:00:22.000 --> 00:00:24.000]  我們是你的兒女
[00:00:24.000 --> 00:00:26.000]  我們是你的親人
[00:00:26.000 --> 00:00:28.000]  所買贖回來的
[00:00:28.000 --> 00:00:30.000]  我們是你的兒女
[00:00:30.000 --> 00:00:33.000]  求主你引領我們人生的時候
[00:00:33.000 --> 00:00:37.000]  也用你的真道和話語提醒我們
[00:00:37.000 --> 00:00:40.000]  建立我們 幫助我們
[00:00:40.000 --> 00:00:42.000]  今天我們要講到的是
[00:00:42.000 --> 00:00:47.000]  以掃與雅各這樣一個親兄弟的關係
[00:00:47.000 --> 00:00:50.000]  要進入到他的家庭背景當中
[00:00:50.000 --> 00:00:54.000]  主啊 你認識我們每一個人
[00:00:54.000 --> 00:00:56.000]  你就用他們的背景
[00:00:56.000 --> 00:01:01.000]  他們所經歷的來檢查提醒
[00:01:01.000 --> 00:01:04.000]  和建立我們每一位弟兄姊妹
[00:01:04.000 --> 00:01:06.000]  以至於我們的每一位
[00:01:06.000 --> 00:01:08.000]  每一位的家庭
[00:01:08.000 --> 00:01:10.000]  我們的屬靈的大家庭
[00:01:10.000 --> 00:01:15.000]  都是用主的愛和真理所建立起來的
[00:01:15.000 --> 00:01:18.000]  願我口中的話語
[00:01:18.000 --> 00:01:20.000]  眾弟兄姊妹的心懷意念
[00:01:20.000 --> 00:01:23.000]  都得蒙天父上帝你的願納
[00:01:23.000 --> 00:01:27.000]  同心禱告奉主明求 阿們
[00:01:27.000 --> 00:01:29.000]  感謝主
[00:01:29.000 --> 00:01:32.000]  那麼講到以掃與雅各
