
[00:00:00.000 --> 00:00:02.000]  大於兄 只願為平安
[00:00:02.640 --> 00:00:05.040]  我可以在開始之前祈禱嗎?
[00:00:05.040 --> 00:00:10.480]  耶穌,我們感謝祢,讓我們能夠在祢的身邊
[00:00:10.480 --> 00:00:15.920]  在祢的身邊
[00:00:15.920 --> 00:00:21.160]  在祢的身邊,讓我們能夠如此美麗地被歌頌
[00:00:21.160 --> 00:00:27.640]  我們可能還很年輕,但我們並不看低祢們
[00:00:27.640 --> 00:00:31.200]  因為祢們為我們設下了例子,祂們對我們如此愛你
[00:00:32.080 --> 00:00:34.080]  祂們對你如此慈悲
[00:00:34.080 --> 00:00:41.480]  事實上,我們坐在這裡,無論我們多少歲
[00:00:41.480 --> 00:00:46.840]  從0到99,100歲,甚至更多
[00:00:46.840 --> 00:00:49.280]  我們都是祢的孩子
[00:00:49.280 --> 00:00:53.080]  幫助我們記住這一點
[00:00:53.080 --> 00:00:57.520]  幫助我們在我們的信仰中,做得像孩子一樣
[00:00:57.520 --> 00:01:00.000]  在我們的信仰中,做得簡單
[00:01:00.600 --> 00:01:02.600]  不要太幼稚
[00:01:02.600 --> 00:01:08.520]  耶穌,我們祈禱祢,我們相信祢,我們愛祢
[00:01:08.520 --> 00:01:11.240]  我們祈求祢今天會說出來
[00:01:11.240 --> 00:01:14.520]  對我們所有人來說
[00:01:14.520 --> 00:01:16.520]  耶穌,我們只想從祢身邊聽到
[00:01:16.520 --> 00:01:18.520]  所以我祈求我口中的言語
[00:01:18.520 --> 00:01:21.200]  我的心中的冥想
[00:01:21.200 --> 00:01:25.640]  我的兄弟姐妹的心,都會為祢感到滿意
[00:01:25.640 --> 00:01:28.560]  我們歡迎祢在這裡,耶穌
[00:01:28.800 --> 00:01:30.800]  在祢的名字裡,我們祈禱
[00:01:30.800 --> 00:01:32.800]  阿們
[00:01:32.800 --> 00:01:36.800]  有一件事,英文方面沒有的東西,是一張圖片
[00:01:36.800 --> 00:01:38.800]  我為你們準備了一些圖片
[00:01:38.800 --> 00:01:41.800]  因為有些翻譯,希望能幫助你們
[00:01:41.800 --> 00:01:45.800]  了解我今天想要和你們聊的內容
[00:01:45.800 --> 00:01:48.800]  我先問一個問題
[00:01:48.800 --> 00:01:51.800]  你生活中想要的東西是什麼?
[00:01:51.800 --> 00:01:55.800]  這個夏假,我的家人和孩子
[00:01:55.800 --> 00:01:58.800]  他們都會看到一部電影,叫做《阿拉丁》
[00:01:58.800 --> 00:02:01.800]  是一部舊的電影,從我小時候看的電影
[00:02:01.800 --> 00:02:04.800]  和一部新的電影,叫做《威爾·史密斯》
[00:02:04.800 --> 00:02:06.800]  我們都知道阿拉丁的故事
[00:02:06.800 --> 00:02:08.800]  他得到了三個願望
[00:02:08.800 --> 00:02:10.800]  如果只有一個願望?
[00:02:10.800 --> 00:02:12.800]  如果他走進來
[00:02:12.800 --> 00:02:15.800]  那位天使,或者說耶穌走進來
[00:02:15.800 --> 00:02:19.800]  說:我只想給你一個願望
