
[00:00:00.000 --> 00:00:03.440]  上星期Johnny跟我們講了《創世紀》第一章
[00:00:03.440 --> 00:00:05.440]  講了神如何創造世界
[00:00:05.440 --> 00:00:06.640]  在第六天
[00:00:06.640 --> 00:00:08.640]  他說神創造了人類
[00:00:08.640 --> 00:00:12.040]  我們跟神有關係
[00:00:12.040 --> 00:00:13.240]  我們有角色
[00:00:13.240 --> 00:00:14.600]  有規矩要守
[00:00:14.600 --> 00:00:16.240]  我們要生養眾多
[00:00:16.240 --> 00:00:17.600]  我們要休息
[00:00:17.600 --> 00:00:20.000]  今天我們就放大
[00:00:20.000 --> 00:00:22.000]  放大到第二章
[00:00:22.000 --> 00:00:28.880]  我們看看上帝對人的設計是怎樣
[00:00:28.880 --> 00:00:30.560]  因為我們是受造物
[00:00:30.560 --> 00:00:32.560]  凡是一樣被創造出來的東西
[00:00:32.560 --> 00:00:36.160]  背後一定有一個設計的概念
[00:00:36.160 --> 00:00:38.680]  譬如你們的智能手機
[00:00:38.680 --> 00:00:40.280]  不是叫你拿出來
[00:00:40.280 --> 00:00:42.920]  叫你想起你的智能手機
[00:00:42.920 --> 00:00:45.240]  譬如你們家裡的智能手機
[00:00:45.240 --> 00:00:46.600]  它有一個功能
[00:00:46.600 --> 00:00:50.040]  可以開啟很多背景應用程式
[00:00:50.040 --> 00:00:51.160]  我想問一下
[00:00:51.160 --> 00:00:52.560]  你們的手機
[00:00:52.560 --> 00:00:53.280]  你不要看
[00:00:53.280 --> 00:00:54.280]  你想而已
[00:00:54.280 --> 00:00:58.480]  你的手機裡面有多少個背景應用程式同時開啟
[00:00:59.080 --> 00:01:01.680]  多少人是開啟少於10個的
[00:01:01.680 --> 00:01:08.560]  少於10個人開啟少於10個背景應用程式
[00:01:08.560 --> 00:01:09.320]  我看到
[00:01:09.320 --> 00:01:12.880]  多少是開啟20個的
[00:01:12.880 --> 00:01:16.440]  你後面有很多應用程式在運作
[00:01:16.440 --> 00:01:17.680]  有些有20個
[00:01:17.680 --> 00:01:20.240]  不過你不用看你的手機
[00:01:20.240 --> 00:01:21.400]  好像很多未舉手的
[00:01:21.400 --> 00:01:22.520]  有些人開啟20多個
[00:01:22.520 --> 00:01:23.000]  30多個
[00:01:23.000 --> 00:01:23.520]  40多個
[00:01:23.520 --> 00:01:24.920]  我告訴你
[00:01:24.920 --> 00:01:26.280]  我是開啟多少個
[00:01:26.280 --> 00:01:28.760]  我是開啟零個的
[00:01:29.360 --> 00:01:32.360]  我是有一點點強迫症的
[00:01:32.360 --> 00:01:33.640]  我一用完我一定要關掉
[00:01:33.640 --> 00:01:35.600]  我覺得這樣才有手尾
[00:01:35.600 --> 00:01:36.480]  很奇怪的
[00:01:36.480 --> 00:01:37.440]  我的手機開啟出來
[00:01:37.440 --> 00:01:39.560]  是一個背景應用程式都沒有的
[00:01:39.560 --> 00:01:41.000]  有時候我先生就說
