
[00:00:00.000 --> 00:00:06.000]  我們今天繼續講從數學看神的智慧的講道系列。
[00:00:06.000 --> 00:00:10.000]  我們已經講了好幾次了,這個世界是極其不穩定的,
[00:00:10.000 --> 00:00:14.000]  只有上帝是永恆不變的,
[00:00:14.000 --> 00:00:18.000]  才使得我們的人生有真正的依靠,
[00:00:18.000 --> 00:00:20.000]  上帝纔有能力永恆不變,
[00:00:20.000 --> 00:00:26.000]  上帝纔有能力不被其他的因素來左右。
[00:00:26.000 --> 00:00:30.000]  從這個世界裏面的創造,
[00:00:30.000 --> 00:00:32.000]  我們也可以看到它的規律,
[00:00:32.000 --> 00:00:35.000]  它創造了我們有思考的能力,
[00:00:35.000 --> 00:00:37.000]  它創造了我們有愛的能力,
[00:00:37.000 --> 00:00:40.000]  它也創造了我們能夠發現數學,
[00:00:40.000 --> 00:00:43.000]  你有沒有發現這件事情也是很奇妙的,
[00:00:43.000 --> 00:00:45.000]  我們人會發現數學這件事情,
[00:00:45.000 --> 00:00:48.000]  然後我們就有很多厲害的專家,
[00:00:48.000 --> 00:00:50.000]  就會開始的去研究,
[00:00:50.000 --> 00:00:53.000]  就看見很多事情能夠使用數學,
[00:00:53.000 --> 00:00:56.000]  使得我們的生活能夠大大的改善,
[00:00:56.000 --> 00:00:58.000]  因爲你有了精準的計算,
[00:00:58.000 --> 00:01:04.000]  你才能夠知道我不斷的把這些狀態建上去,
[00:01:04.000 --> 00:01:06.000]  有沒有危險,對嗎?
[00:01:06.000 --> 00:01:07.000]  我們有了數學,
[00:01:07.000 --> 00:01:15.000]  我們真的是使人類的整個文明的發展完全是躍進,
[00:01:15.000 --> 00:01:16.000]  大躍進,
[00:01:16.000 --> 00:01:19.000]  無法用言語來形容那種的躍進,
[00:01:19.000 --> 00:01:20.000]  數學纔有飛機,
[00:01:20.000 --> 00:01:22.000]  數學纔有各樣的東西,
[00:01:22.000 --> 00:01:24.000]  飲食什麼都是數學,
[00:01:24.000 --> 00:01:27.000]  那麼在上帝的創造裏面,
[00:01:27.000 --> 00:01:29.000]  數學的規律有一些是什麼呢?
[00:01:29.000 --> 00:01:30.000]  一加一等於二,
[00:01:30.000 --> 00:01:33.000]  那麼我們當中的數學博士就告訴我,
[00:01:33.000 --> 00:01:36.000]  這個叫做 axiomatic,
[00:01:36.000 --> 00:01:38.000]  這是什麼 axiomatic?
[00:01:38.000 --> 00:01:41.000]  axiomatic 就是不證自明的,
[00:01:41.000 --> 00:01:44.000]  有些規律是不需要證明的,
[00:01:44.000 --> 00:01:46.000]  你不需要去證明它的,
[00:01:46.000 --> 00:01:48.000]  一加一等於二,
[00:01:48.000 --> 00:01:51.000]  axiomatic 就是這樣子,
[00:01:51.000 --> 00:01:52.000]  你在沙灘上,
[00:01:52.000 --> 00:01:56.000]  你發現有人的腳印,
[00:01:56.000 --> 00:01:58.000]  鞋的腳印,
[00:01:58.000 --> 00:02:00.000]  你不需要去證明,
[00:02:00.000 --> 00:02:02.000]  你都可以有一個結論是什麼呢?
