
[00:00:00.000 --> 00:00:05.880]  NAS可以理解成為有CPU丶有RAM丶有網絡功能的硬碟
[00:00:05.880 --> 00:00:09.220]  如果沒有聽過什麼是NAS的話
[00:00:09.220 --> 00:00:13.700]  我會強烈建議大家參考我之前所做的影片
[00:00:13.700 --> 00:00:17.540]  我會把它們放在影片右上方的資訊卡中
[00:00:17.540 --> 00:00:26.100]  在這段影片中會包含NAS的硬件設置丶軟件的設置丶系統上的基本操作
[00:00:26.100 --> 00:00:33.020]  我會在影片中註明各部分的時間讓大家方便跳到自己需要的地方
[00:00:33.020 --> 00:00:40.300]  對於各位很害怕丶不懂得如何設置NAS的大叔丶或者年輕人
[00:00:40.300 --> 00:00:45.620]  甚至不是買Synology NAS的觀眾都是一段有用的影片
[00:00:45.620 --> 00:00:49.900]  不單止買了NAS後可以跟著這段影片進行NAS的設置
[00:00:49.900 --> 00:00:54.540]  我也會建議還沒有買NAS的人觀看這段影片
[00:00:55.020 --> 00:00:57.900]  從而了解到更多關於NAS的東西
[00:00:57.900 --> 00:01:00.140]  那我們現在開始吧
[00:01:00.140 --> 00:01:04.140]  今次用來示範的是Synology的DS218+
[00:01:04.140 --> 00:01:07.580]  是一個有兩個HDD插槽的NAS
[00:01:07.580 --> 00:01:10.380]  首先要做的就是安裝硬碟
[00:01:10.380 --> 00:01:13.980]  而硬碟是不包含在這個包裝中
[00:01:13.980 --> 00:01:16.380]  是需要自己另外購買的
[00:01:16.380 --> 00:01:19.580]  我們正常都會買相應數量的硬碟
[00:01:19.580 --> 00:01:22.380]  去配合NAS的硬碟插槽數量
[00:01:22.380 --> 00:01:25.900]  而它們都會是容量相同的新硬碟
[00:01:25.900 --> 00:01:29.740]  就好像今次所用的NAS是一個兩個插槽的NAS
[00:01:29.740 --> 00:01:31.580]  會買兩個硬碟
[00:01:31.580 --> 00:01:35.500]  而這兩個硬碟都會是容量相同的硬碟
[00:01:35.500 --> 00:01:42.540]  今次我們會繼續用硬碟製造商專為NAS而製的3.5吋硬碟
[00:01:42.540 --> 00:01:44.860]  雖然用其他硬碟都可以
[00:01:44.860 --> 00:01:49.020]  但NAS專用的硬碟普遍都會有較強的穩定性
[00:01:49.020 --> 00:01:50.860]  和更長的保修期
[00:01:50.860 --> 00:01:52.460]  安裝硬碟上
[00:01:52.460 --> 00:01:56.940]  根據機體上的不同會有兩種安裝方法
[00:01:56.940 --> 00:02:00.380]  第一種就是像我的DS718+一樣
[00:02:00.380 --> 00:02:03.020]  把硬碟安裝到硬碟架
[00:02:03.020 --> 00:02:05.420]  然後推進去NAS中
[00:02:05.420 --> 00:02:08.300]  第二種就是要把NAS拆開
[00:02:08.300 --> 00:02:12.140]  然後把硬碟安裝在NAS中的方式
[00:02:12.140 --> 00:02:15.900]  而今次的DS218+是屬於前者
[00:02:15.900 --> 00:02:17.420]  安裝好硬碟後
[00:02:17.420 --> 00:02:20.300]  下一步就是插上電源線
[00:02:20.300 --> 00:02:24.380]  和把上網線連接到NAS和路由器上
[00:02:24.380 --> 00:02:28.620]  安放NAS的位置我會建議在角落
[00:02:28.620 --> 00:02:31.180]  不容易被人碰到的地方
[00:02:31.180 --> 00:02:34.140]  按下開機鍵後
[00:02:34.140 --> 00:02:36.540]  我們就要開始連接NAS
[00:02:36.540 --> 00:02:39.660]  並且安裝NAS專用的系統
[00:02:39.660 --> 00:02:45.020]  你可以在電腦上的瀏覽器輸入find-synology.com
[00:02:45.020 --> 00:02:49.100]  或者在手機上安裝DS Finder的程式
[00:02:49.100 --> 00:02:53.020]  就可以找到在同一個區域網絡中的NAS
[00:02:53.020 --> 00:02:58.700]  NAS和電腦或者手提裝置是需要連線在同一個路由器上
[00:02:58.700 --> 00:03:03.180]  這個DS Finder的手機程式在安裝完系統後
[00:03:03.180 --> 00:03:04.780]  還可以用來管理NAS
[00:03:04.780 --> 00:03:10.140]  之後就可以跟著畫面的指示開始安裝NAS上的系統
[00:03:10.140 --> 00:03:12.620]  等待好系統安裝完成後
[00:03:12.620 --> 00:03:17.260]  下一步就是設定好管理員的帳號和系統的名稱
[00:03:17.260 --> 00:03:21.100]  這些設定都可以在日後更改
[00:03:21.100 --> 00:03:26.220]  但稍後你會需要用到這個帳號來登入你的NAS
[00:03:26.220 --> 00:03:27.980]  設定好後
[00:03:27.980 --> 00:03:31.020]  下一步就是快速連線的設定
[00:03:31.020 --> 00:03:36.780]  快速連線是Synology一個用於方便你連線回自己的NAS服務
[00:03:36.780 --> 00:03:40.540]  無論是在家丶公司丶街外
[00:03:40.540 --> 00:03:43.900]  也可以利用它來連線回NAS中
[00:03:43.900 --> 00:03:48.380]  例如我設定NAS的快速連線ID是NASBookStore
[00:03:48.380 --> 00:03:56.700]  以後我就可以很簡單利用快速連線.to/NASBookStore這個網址來連線回NAS中
[00:03:56.700 --> 00:04:03.500]  在手機程式上也可以利用快速連線ID來連線回NAS上
[00:04:03.500 --> 00:04:07.420]  你可以在不設置NAS的網域的情況下
[00:04:07.420 --> 00:04:10.220]  利用快速連線ID來連線回NAS
[00:04:10.220 --> 00:04:12.700]  而不需要記住NAS的IP
[00:04:12.700 --> 00:04:16.060]  這樣就完成了NAS系統的安裝
[00:04:16.060 --> 00:04:20.140]  就可以登入到DSM的介面開始操作NAS
[00:04:20.140 --> 00:04:24.540]  DSM的介面和我們正在用的電腦其實是相近的
[00:04:24.540 --> 00:04:28.060]  一樣會有桌面讓你存放程式的捷徑
[00:04:28.060 --> 00:04:34.220]  會有工作列讓你找回已經開啟和已經安裝好的程式
[00:04:34.220 --> 00:04:38.540]  打開程式後一樣可以拖拉和放大縮小視窗
[00:04:38.540 --> 00:04:43.340]  大家可以運用和一般電腦相近的邏輯來操作DSM
[00:04:43.340 --> 00:04:44.940]  開始用NAS之前
[00:04:44.940 --> 00:04:48.300]  第一件事就是要設定好NAS的儲存空間
[00:04:48.300 --> 00:04:50.940]  去設定硬碟儲存資料的方式
[00:04:50.940 --> 00:04:55.020]  在左上方開啟儲存空間管理員開始設定
[00:04:55.020 --> 00:05:00.300]  在設定之前我會向大家推薦一個Synology的計算器
[00:05:00.300 --> 00:05:05.980]  可能大家覺得我這次把2TB的硬碟放進去
[00:05:05.980 --> 00:05:08.780]  即是總共有4TB的容量
[00:05:08.780 --> 00:05:13.900]  但是我們會把部分的容量用作資料保護的用途
[00:05:13.900 --> 00:05:18.460]  並不會把所有的容量用作檔案的儲存
[00:05:18.460 --> 00:05:22.620]  降低因為硬碟損壞而令資料遺失的風險
[00:05:22.620 --> 00:05:27.740]  這也是為什麼NAS會比普通的硬碟更可靠的原因
[00:05:27.740 --> 00:05:31.180]  這次的NAS我會用2個2TB的硬碟
[00:05:31.180 --> 00:05:35.420]  所以我會按這個2TB硬碟的同時
[00:05:35.420 --> 00:05:38.940]  然後就可以在下方選擇RAID形態
[00:05:38.940 --> 00:05:44.540]  RAID形態簡單來說就是如何分配硬碟的容量
[00:05:44.540 --> 00:05:48.860]  去平衡資料的安全性丶容量和效能
[00:05:48.860 --> 00:05:52.940]  大部分人只會使用一種RAID形態
[00:05:52.940 --> 00:05:57.820]  不過進階的用戶在用超過2個硬碟插槽的NAS的時候
[00:05:57.820 --> 00:06:01.980]  有機會會用多過一種RAID形態
[00:06:01.980 --> 00:06:07.420]  這個工具可以讓你很直觀地了解到哪一個模式最適合自己
[00:06:07.420 --> 00:06:10.940]  當中有三種顏色來標示容量的去向
[00:06:10.940 --> 00:06:16.300]  有未使用空間丶保護所需容量和可用空間
[00:06:16.300 --> 00:06:22.300]  未使用空間就是代表安裝了進去NAS但是未能使用的空間
[00:06:22.300 --> 00:06:25.500]  而我們會避免未使用空間的出現
[00:06:25.500 --> 00:06:30.460]  保護所需容量就是代表這個模式下你需要犧牲多少的容量
[00:06:30.460 --> 00:06:34.940]  來降低因為硬碟而令資料遺失的風險
[00:06:34.940 --> 00:06:39.420]  而可用空間就是代表實際可以用到的空間
[00:06:39.420 --> 00:06:44.860]  我會建議新手使用Synology的SHR或者SHRE
[00:06:44.860 --> 00:06:49.260]  而SHRE會比SHR更安全
[00:06:49.260 --> 00:06:57.100]  因為SHRE在兩個硬碟同時損壞的情況下還可以保持資料的完整
[00:06:57.100 --> 00:07:03.020]  而SHR只容許一個硬碟損壞的情況下保留資料的完整性
[00:07:03.020 --> 00:07:06.540]  而SHRE也需要更多保護所需容量
[00:07:06.540 --> 00:07:12.460]  代表你需要付出更多成本來獲取更高的安全性
[00:07:12.460 --> 00:07:14.380]  如果想了解更多的話
[00:07:14.380 --> 00:07:19.340]  你可以按這個箭嘴的圖示來看每一個模式的介紹
[00:07:19.340 --> 00:07:23.580]  回到儲存空間管理員
[00:07:23.580 --> 00:07:27.180]  因為這台NAS是一台比較入門的型號
