
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹,大家逐內平安。
[00:00:07.000 --> 00:00:12.000]  真是感謝主啊,我們是一個兩文三語的大家庭。
[00:00:12.000 --> 00:00:16.000]  我也非常的感恩啊,今天可以來到大家當中,
[00:00:16.000 --> 00:00:20.000]  和大家來分享上帝的話語。
[00:00:20.000 --> 00:00:25.000]  那麼今天呢,我們要講的,跟隨我們講到的這個系列,
[00:00:25.000 --> 00:00:28.000]  要講的是生命計。
[00:00:28.000 --> 00:00:33.000]  那麼在今天這一段很長的經文當中呢,
[00:00:33.000 --> 00:00:38.000]  我把它拆分成四個分段,四個主題。
[00:00:38.000 --> 00:00:45.000]  以恩典和真理的角度,我們一起來認識神,
[00:00:45.000 --> 00:00:52.000]  認識神的子民,也包括更多認識同為神子民的我們。
[00:00:52.000 --> 00:00:58.000]  那麼感謝主,也讓我們一起同心的禱告。
[00:00:58.000 --> 00:01:02.000]  天父上帝,我們感謝讚美你。
[00:01:02.000 --> 00:01:07.000]  不論外界的境況如何,你就讓我們在你裡面,
[00:01:07.000 --> 00:01:13.000]  有平安,有喜樂,還可以活出主你的生命樣式,
[00:01:13.000 --> 00:01:17.000]  把這份祝福和愛來分享。
[00:01:17.000 --> 00:01:22.000]  感謝主,今天又到我們相聚的時刻。
[00:01:22.000 --> 00:01:25.000]  師啊,求主你來帶領和幫助。
[00:01:25.000 --> 00:01:34.000]  唯靠主你的感動,讓語言不會成為我們明白主訊息的隔閡,
[00:01:34.000 --> 00:01:40.000]  反而是透過我們這樣一個大家庭的兩文三語,
[00:01:40.000 --> 00:01:44.000]  成為我們彼此生命的祝福。
[00:01:44.000 --> 00:01:50.000]  用不同的角度,更多的來認識主,認識神的子民,
[00:01:50.000 --> 00:01:53.000]  也認識我們自己。
[00:01:53.000 --> 00:01:58.000]  願我口中的言語,眾弟兄姊妹的心懷意念,
[00:01:58.000 --> 00:02:00.000]  都得蒙善助你的悅納。
[00:02:00.000 --> 00:02:03.000]  同心禱告,奉主明求。
[00:02:03.000 --> 00:02:05.000]  Amen。
[00:02:05.000 --> 00:02:12.000]  好,我會用四個分段,每一個分段我都會挑選一節的經文,
[00:02:12.000 --> 00:02:16.000]  來和大家一起來分享這個主題。
[00:02:16.000 --> 00:02:20.000]  首先,我們的第一點,第一個小主題了。
[00:02:20.000 --> 00:02:25.000]  我們要思想這個主題的時候,我們就得到提醒了。
[00:02:25.000 --> 00:02:33.000]  我們的人生的境遇裡面,人生當中一定就要明白真正的原因。
[00:02:33.000 --> 00:02:40.000]  這個分段呢,是九章的一至六節,成為這樣一個小的段落。
[00:02:40.000 --> 00:02:44.000]  其中選了一節的經文,是這樣說的。
[00:02:44.000 --> 00:02:50.000]  你當知道耶和華你的上帝將這美地賜你為業,
[00:02:50.000 --> 00:02:56.000]  並不是因你的意,你本是應著景象的百姓。
[00:02:56.000 --> 00:03:01.000]  突然一個感嘆號出現。究竟原因是什麼?
[00:03:01.000 --> 00:03:05.000]  不是因為我們自己做得有多好,
[00:03:05.000 --> 00:03:12.000]  而是有主在帶領,有主的權柄,有主的恩典。
[00:03:12.000 --> 00:03:17.000]  那麼講到這裡呢,就要講到其中的領袖,摩西。
[00:03:17.000 --> 00:03:23.000]  他在重申這些訊息的時候,他非常了解他的族群。
[00:03:23.000 --> 00:03:30.000]  所以他也反覆地說,你要聽,心裡不可說。
[00:03:30.000 --> 00:03:38.000]  他很清楚當時的以色列民,耳朵聽了,好像進不去,
[00:03:38.000 --> 00:03:43.000]  心裡面還在嘀咕,那究竟說什麼呢?
[00:03:43.000 --> 00:03:49.000]  以色列啊,你要聽,你今日要過約旦河,
[00:03:49.000 --> 00:03:58.000]  你心裡不可說,耶和華領我得這地,是因我的意。
[00:03:58.000 --> 00:04:05.000]  各位弟兄姊妹,我們的生命,其實也要被這節經文所提醒。
[00:04:05.000 --> 00:04:12.000]  究竟上帝的真道和話語,有沒有真的寄靈到了我們的耳朵,
[00:04:12.000 --> 00:04:15.000]  讓我們有這個福分可以聽到,
[00:04:15.000 --> 00:04:21.000]  同樣也會進入我們的心裡,成為我們的生命呢?
[00:04:21.000 --> 00:04:26.000]  所以生命要轉化,生命要轉化。
[00:04:26.000 --> 00:04:32.000]  當時的以色列民,就是這樣硬著頸相的百姓,
[00:04:32.000 --> 00:04:38.000]  一直生命不扭轉,就算經歷了各樣的恩典,
[00:04:38.000 --> 00:04:45.000]  他還是他,他還沒有轉變,遇到了各種的境況,
[00:04:45.000 --> 00:04:48.000]  生命還不能提升。
[00:04:48.000 --> 00:04:52.000]  所以講到這裡,生命一定要轉化,
[00:04:52.000 --> 00:05:00.000]  要由耳進入內心,既然聽,就要聽得明白。
[00:05:00.000 --> 00:05:08.000]  這個聲音就好像在我們的心裡一樣,既聽,就明白。
[00:05:08.000 --> 00:05:13.000]  那麼我們第一點主題,明白真正的原因,
[00:05:13.000 --> 00:05:19.000]  我們從這一點呢,可以看到上帝很多的屬性。
[00:05:19.000 --> 00:05:24.000]  第一點,看到上帝的聖吉,
[00:05:24.000 --> 00:05:27.000]  他要除去一切的罪惡,
[00:05:27.000 --> 00:05:31.000]  在經文的九章四支五節裡面就這樣說了,
[00:05:31.000 --> 00:05:37.000]  趕那些當地的民出去,是因為這些國家的惡,
[00:05:37.000 --> 00:05:42.000]  讓你們得這地,不是因為你們的意義,
[00:05:42.000 --> 00:05:46.000]  也不是你們心理正直。
[00:05:46.000 --> 00:05:53.000]  看到上帝的聖吉,我們也看到上帝的信使,
[00:05:53.000 --> 00:05:57.000]  其中第六節,九章第六節讓我們看到,
