
[00:00:00.000 --> 00:00:04.000]  (片尾有字幕,請看影片資訊欄)
[00:00:04.000 --> 00:00:08.500]  感謝主我們又一起來到祂的聖殿來聽祂的話語
[00:00:08.500 --> 00:00:10.500]  讓我們一起同心禱告
[00:00:10.500 --> 00:00:17.000]  親愛的父神我們感謝祢在這個聖餐的主日
[00:00:17.000 --> 00:00:22.000]  我們能夠一起聚集在祢的殿來聆聽祢的話語
[00:00:22.000 --> 00:00:23.500]  請祢打開我們的心
[00:00:23.500 --> 00:00:26.500]  讓我們真的是明白祢所要提醒我們的
[00:00:26.500 --> 00:00:30.500]  以致我們的生命能夠被祢的真道來建立跟改變
[00:00:30.500 --> 00:00:34.500]  明白祢造我們的人生原來是這麼的有意義
[00:00:34.500 --> 00:00:36.000]  充實跟精彩
[00:00:36.000 --> 00:00:37.000]  我們感謝祢
[00:00:37.000 --> 00:00:40.000]  禱告奉主耶穌基督的聖名祈求
[00:00:40.000 --> 00:00:41.000]  Amen
[00:00:41.000 --> 00:00:49.000]  好,那麼上一次我們是看到了耶穌騎驢進入耶路撒冷
[00:00:49.000 --> 00:00:53.000]  大家都記得我們上次看馬可福音第35講的時候
[00:00:53.000 --> 00:00:54.500]  就講到這一段
[00:00:54.500 --> 00:00:57.000]  那時候我們學到了幾個重要的功課
[00:00:57.000 --> 00:01:02.000]  包括原來耶穌是一個真實的歷史人物
[00:01:02.000 --> 00:01:05.000]  有些人以為耶穌是一個神話
[00:01:05.000 --> 00:01:06.000]  有些朋友
[00:01:06.000 --> 00:01:08.000]  但是原來有這麼多的資料顯示
[00:01:08.000 --> 00:01:10.000]  耶穌是一個真實的歷史人物
[00:01:10.000 --> 00:01:14.000]  耶穌是自願甘心犧牲自己的主
[00:01:14.000 --> 00:01:17.500]  耶穌是按著預言出現在歷史中的主
[00:01:17.500 --> 00:01:19.000]  祂不只是一個歷史人物
[00:01:19.000 --> 00:01:22.500]  還有幾百年前就講祂來的時候是怎樣的
[00:01:22.500 --> 00:01:25.500]  祂都按著預言來出現
[00:01:25.500 --> 00:01:28.500]  第四就是耶穌是帶來拯救的主
[00:01:28.500 --> 00:01:32.500]  第五就是耶穌是世人的真正的君王
[00:01:32.500 --> 00:01:34.500]  我們上次也問大家
[00:01:34.500 --> 00:01:36.500]  你既然知道耶穌是這樣的一位主
[00:01:36.500 --> 00:01:41.500]  你現在是不是應該更願意地來認識耶穌
[00:01:41.500 --> 00:01:44.500]  你在主面前應該如何回應神
[00:01:44.500 --> 00:01:48.500]  今天我們要看下面的這段經文
[00:01:48.500 --> 00:01:50.500]  在12節到26節
[00:01:50.500 --> 00:01:53.500]  耶穌把人趕出聖殿
[00:01:53.500 --> 00:01:55.500]  聖殿是一個神聖的地方
[00:01:55.500 --> 00:01:57.500]  聖殿是一個很重要的地方
[00:01:57.500 --> 00:01:59.500]  清淨神的地方
[00:01:59.500 --> 00:02:02.500]  在歷史裡面竟然記載了這樣的一件事情
[00:02:02.500 --> 00:02:06.500]  就是耶穌把人家趕出聖殿
[00:02:06.500 --> 00:02:08.500]  我們要問一個問題
[00:02:08.500 --> 00:02:10.500]  那個就是
[00:02:10.500 --> 00:02:12.500]  今天這個不是很快
[00:02:12.500 --> 00:02:16.500]  問題就是有沒有可能
[00:02:16.500 --> 00:02:21.500]  有的在教會的人最後是不能進入天堂的
