
[00:00:00.000 --> 00:00:05.000]  【佛教授的授課】
[00:00:05.000 --> 00:00:07.000]  親愛的天父,我們感謝你。
[00:00:07.000 --> 00:00:14.000]  你每周都要向你的孩子來說話,我們感恩。
[00:00:14.000 --> 00:00:17.000]  我們祈求你給我們一顆謙卑的心,
[00:00:17.000 --> 00:00:20.000]  讓我們不管是講的人還是聽的人,
[00:00:20.000 --> 00:00:24.000]  都能夠從你的話語領受你對我們說的話。
[00:00:24.000 --> 00:00:25.000]  我們感謝你。
[00:00:25.000 --> 00:00:29.000]  禱告奉主耶穌的名祈求。阿們。
[00:00:29.000 --> 00:00:36.000]  好,弟兄姐妹,今天我想跟大家分享的是德勝的秘訣這個題目。
[00:00:36.000 --> 00:00:41.000]  德勝呢,我就簡單的給它一個定義,
[00:00:41.000 --> 00:00:45.000]  就是能夠完成人生中的任務。
[00:00:45.000 --> 00:00:47.000]  不管你人生中的任務是什麼,
[00:00:47.000 --> 00:00:52.000]  你在你的生命中有什麼角色,都有各項的任務,
[00:00:52.000 --> 00:00:55.000]  可能是在家裡,可能是在職場,
[00:00:55.000 --> 00:01:00.000]  你能夠去完成它呢,就是過一個德勝的人生。
[00:01:00.000 --> 00:01:04.000]  也包括了你自己,對自己的生命,
[00:01:04.000 --> 00:01:08.000]  要到一個怎麼樣的跟上帝很親密的關係,
[00:01:08.000 --> 00:01:11.000]  也是一個最重要的人生任務。
[00:01:11.000 --> 00:01:15.000]  到底你能不能夠活出一個合成心意的生命來,
[00:01:15.000 --> 00:01:17.000]  這也是一個任務。
[00:01:17.000 --> 00:01:22.000]  那麼如果能夠成功的做到呢,就是能夠德勝。
[00:01:22.000 --> 00:01:25.000]  那麼當然一定會有困難,
[00:01:25.000 --> 00:01:28.000]  那麼一切阻止我們德勝的呢,
[00:01:28.000 --> 00:01:31.000]  就是攔阻呢,就是我們要遇到的困難。
[00:01:31.000 --> 00:01:35.000]  今天呢,我很高興要跟大家分享呢,
[00:01:35.000 --> 00:01:38.000]  歷代至上第十四章這段經文。
[00:01:38.000 --> 00:01:41.000]  我相信當中有很多上帝的智慧,
[00:01:41.000 --> 00:01:44.000]  使我們能夠從中來學習。
[00:01:44.000 --> 00:01:47.000]  那麼我呢,會跟大家呢,
[00:01:47.000 --> 00:01:51.000]  以一種很細細的讀這段經文的方式呢,
[00:01:51.000 --> 00:01:54.000]  讓我們一起來體會上帝的話語。
[00:01:54.000 --> 00:01:57.000]  到後面呢,我會總結五個功課,
[00:01:57.000 --> 00:01:59.000]  跟大家一起分享,
