
[00:00:00.000 --> 00:00:02.000]  (字幕: 李卓人)
[00:00:02.000 --> 00:00:06.440]  我們今天的主題是
[00:00:06.440 --> 00:00:09.240]  "主宰靈性的宇宙"
[00:00:09.240 --> 00:00:11.240]  主宰靈性的宇宙
[00:00:11.240 --> 00:00:16.440]  我們今年開始讀哪本書呢?
[00:00:16.440 --> 00:00:17.160]  知道嗎?
[00:00:17.160 --> 00:00:19.160]  Mark的書
[00:00:19.160 --> 00:00:20.760]  如同你所見的下一個頁
[00:00:20.760 --> 00:00:21.640]  Mark的書
[00:00:21.640 --> 00:00:23.640]  我們學習了很多東西
[00:00:23.640 --> 00:00:27.320]  耶穌主宰了靈性的宇宙
[00:00:27.320 --> 00:00:29.880]  祂可以治癒病人
[00:00:29.880 --> 00:00:34.880]  可以把人變成石頭和麵包
[00:00:34.880 --> 00:00:36.880]  祂可以給予五千人
[00:00:36.880 --> 00:00:38.880]  祂也是聖誕老人
[00:00:38.880 --> 00:00:42.880]  上週我們學到耶穌是聖誕老人
[00:00:42.880 --> 00:00:44.880]  今天我們要學到
[00:00:44.880 --> 00:00:48.880]  耶穌是主宰靈性的宇宙
[00:00:48.880 --> 00:00:50.880]  主宰靈性的宇宙
[00:00:50.880 --> 00:00:53.880]  我們一起讀Mark 4
[00:00:53.880 --> 00:00:55.880]  一起讀
[00:00:55.880 --> 00:00:57.880]  1,2,3
[00:00:57.880 --> 00:00:59.880]  (翻譯)
[00:00:59.880 --> 00:01:01.880]  (翻譯)
[00:01:01.880 --> 00:01:30.880]  (看著畫面)
[00:01:30.880 --> 00:01:52.880]  (看著畫面)
[00:01:52.880 --> 00:01:56.880]  耶穌去了新的地區
[00:01:56.880 --> 00:01:59.880]  (看著畫面)
[00:01:59.880 --> 00:02:07.880]  很多人想祂被治癒
[00:02:07.880 --> 00:02:12.880]  有些人有不潔的靈魂
[00:02:12.880 --> 00:02:16.880]  我們知道聖靈有聖靈
[00:02:16.880 --> 00:02:20.880]  但也有不潔的靈魂
[00:02:20.880 --> 00:02:24.880]  不潔的靈魂跟祂說
[00:02:24.880 --> 00:02:29.880]  You are the son of God
[00:02:29.880 --> 00:02:34.880]  不潔的靈魂知道耶穌是誰
[00:02:34.880 --> 00:02:36.880]  我問你們
[00:02:36.880 --> 00:02:40.880]  Do you believe in the spiritual realm?
[00:02:40.880 --> 00:02:43.880]  That there is unclean spirits
[00:02:43.880 --> 00:02:46.880]  That there is demons, angels
[00:02:46.880 --> 00:02:50.880]  誰覺得有靈魂的?
[00:02:50.880 --> 00:02:54.880]  因為有靈魂的
[00:02:54.880 --> 00:02:56.880]  這些女孩沒想過
[00:02:56.880 --> 00:03:00.880]  只有有靈魂的
[00:03:00.880 --> 00:03:02.880]  (看著畫面)
[00:03:02.880 --> 00:03:04.880]  (看著畫面)
[00:03:04.880 --> 00:03:06.880]  聖經說
[00:03:06.880 --> 00:03:22.880]  (看著畫面)
[00:03:22.880 --> 00:03:24.880]  聖經很清楚說
[00:03:24.880 --> 00:03:28.880]  是有靈魂的
[00:03:28.880 --> 00:03:29.880]  (看著畫面)
[00:03:29.880 --> 00:03:33.880]  下一個畫面是一個回答機
[00:03:33.880 --> 00:03:37.880]  有一次我小時候在彈琴
[00:03:37.880 --> 00:03:40.880]  (彈琴)
[00:03:40.880 --> 00:03:42.880]  有個回答機
[00:03:42.880 --> 00:03:45.880]  誰以前有個回答機?
[00:03:45.880 --> 00:03:47.880]  Mentors應該有吧
[00:03:47.880 --> 00:03:50.880]  有人打來
[00:03:50.880 --> 00:03:52.880]  你不聽電話
[00:03:52.880 --> 00:03:56.880]  就自動錄音回答
[00:03:56.880 --> 00:03:58.880]  Message
[00:03:58.880 --> 00:04:00.880]  我彈琴的時候
[00:04:00.880 --> 00:04:02.880]  我小時候像你們一樣
[00:04:02.880 --> 00:04:04.880]  有個Message是這樣的
[00:04:04.880 --> 00:04:07.880]  黃牧師
[00:04:07.880 --> 00:04:11.880]  為什麼你不聽電話?
[00:04:11.880 --> 00:04:14.880]  我像你們這個年紀
[00:04:14.880 --> 00:04:17.880]  你覺得你的反應會怎樣?
[00:04:17.880 --> 00:04:21.880]  這個人有什麼問題?
[00:04:21.880 --> 00:04:24.880]  我爸爸回來的時候
[00:04:24.880 --> 00:04:26.880]  我爸爸是牧師
[00:04:26.880 --> 00:04:28.880]  他就解釋了
[00:04:28.880 --> 00:04:30.880]  Johnny你還好嗎?
[00:04:30.880 --> 00:04:32.880]  因為這個回答機
[00:04:32.880 --> 00:04:34.880]  是我幫這個人
